region,country,version,ip,prefixlength
afrinic,AO,ipv4,80.88.9.0,24
afrinic,AO,ipv4,102.165.190.0,24
afrinic,AO,ipv4,102.213.54.0,24
afrinic,AO,ipv4,102.214.127.0,24
afrinic,AO,ipv4,102.219.30.0,24
afrinic,AO,ipv4,102.219.226.0,24
afrinic,AO,ipv4,102.223.3.0,24
afrinic,AO,ipv4,192.12.111.0,24
afrinic,AO,ipv4,196.1.15.0,24
afrinic,AO,ipv4,196.6.255.0,24
afrinic,AO,ipv4,196.11.189.0,24
afrinic,AO,ipv4,196.11.234.0,24
afrinic,AO,ipv4,196.13.109.0,24
afrinic,AO,ipv4,196.13.204.0,24
afrinic,AO,ipv4,196.13.243.0,24
afrinic,AO,ipv4,196.41.77.0,24
afrinic,AO,ipv4,196.43.197.0,24
afrinic,AO,ipv4,196.43.210.0,24
afrinic,AO,ipv4,196.43.223.0,24
afrinic,AO,ipv4,196.46.21.0,24
afrinic,AO,ipv4,196.49.6.0,24
afrinic,AO,ipv4,196.216.161.0,24
afrinic,AO,ipv4,196.216.248.0,23
afrinic,AO,ipv4,196.223.1.0,24
afrinic,AO,ipv4,196.223.13.0,24
afrinic,AO,ipv4,196.223.19.0,24
afrinic,AO,ipv4,204.8.204.0,24
afrinic,AO,ipv6,2001:43f8:390::,48
afrinic,AO,ipv6,2001:43f8:391::,48
afrinic,AO,ipv6,2001:43f8:400::,40
afrinic,AO,ipv6,2001:43f8:760::,48
afrinic,AO,ipv6,2001:43f8:7c0::,48
afrinic,AO,ipv6,2001:43f8:9d0::,48
afrinic,AO,ipv6,2001:43f8:a80::,48
afrinic,AO,ipv6,2001:43f8:dc0::,48
afrinic,AO,ipv6,2001:43f8:1100::,48
afrinic,BF,ipv4,102.68.125.0,24
afrinic,BF,ipv4,102.219.92.0,24
afrinic,BF,ipv4,192.12.116.0,24
afrinic,BF,ipv4,192.136.55.0,24
afrinic,BF,ipv4,192.136.56.0,24
afrinic,BF,ipv4,192.136.57.0,24
afrinic,BF,ipv4,196.13.207.0,24
afrinic,BF,ipv4,196.43.247.0,24
afrinic,BF,ipv4,196.49.19.0,24
afrinic,BF,ipv4,196.49.74.0,24
afrinic,BF,ipv4,196.60.76.0,24
afrinic,BF,ipv4,196.223.47.0,24
afrinic,BF,ipv6,2001:43f8:3d0::,48
afrinic,BF,ipv6,2001:43f8:a50::,48
afrinic,BF,ipv6,2001:43f8:b60::,48
afrinic,BF,ipv6,2001:43f8:b61::,48
afrinic,BF,ipv6,2001:43f8:1190::,48
afrinic,BF,ipv6,2001:43fd:4000::,48
afrinic,BI,ipv4,196.13.223.0,24
afrinic,BI,ipv4,196.49.3.0,24
afrinic,BI,ipv4,196.223.3.0,24
afrinic,BI,ipv4,196.223.36.0,24
afrinic,BI,ipv6,2001:43f8:990::,48
afrinic,BI,ipv6,2001:43f8:991::,48
afrinic,BJ,ipv4,196.49.8.0,24
afrinic,BJ,ipv4,196.192.16.0,20
afrinic,BJ,ipv4,196.223.40.0,24
afrinic,BJ,ipv6,2001:43f8:9a0::,48
afrinic,BJ,ipv6,2001:43f8:af0::,48
afrinic,BJ,ipv6,2001:43f8:af1::,48
afrinic,BW,ipv4,102.219.206.0,24
afrinic,BW,ipv4,196.49.24.0,24
afrinic,BW,ipv4,196.60.4.0,24
afrinic,BW,ipv4,196.216.163.0,24
afrinic,BW,ipv6,2001:43f8:2a0::,48
afrinic,CD,ipv4,102.36.144.0,24
afrinic,CD,ipv4,102.36.180.0,24
afrinic,CD,ipv4,156.0.198.0,24
afrinic,CD,ipv4,192.145.188.0,22
afrinic,CD,ipv4,193.110.104.0,23
afrinic,CD,ipv4,196.1.137.0,24
afrinic,CD,ipv4,196.13.110.0,24
afrinic,CD,ipv4,196.41.67.0,24
afrinic,CD,ipv4,196.49.68.0,23
afrinic,CD,ipv4,196.49.76.0,23
afrinic,CD,ipv4,196.60.64.0,24
afrinic,CD,ipv4,196.60.78.0,24
afrinic,CD,ipv4,196.60.92.0,24
afrinic,CD,ipv4,196.216.216.0,23
afrinic,CD,ipv4,196.223.28.0,24
afrinic,CD,ipv6,2001:43f8:3c0::,48
afrinic,CD,ipv6,2001:43f8:3c1::,48
afrinic,CD,ipv6,2001:43f8:1460::,48
afrinic,CD,ipv6,2001:43ff:6000::,48
afrinic,CF,ipv4,196.216.160.0,24
afrinic,CG,ipv4,196.43.240.0,24
afrinic,CG,ipv4,196.49.56.0,24
afrinic,CG,ipv4,196.49.60.0,24
afrinic,CG,ipv4,196.60.56.0,24
afrinic,CG,ipv4,196.223.32.0,24
afrinic,CG,ipv6,2001:43f8:6a0::,48
afrinic,CG,ipv6,2001:43f8:6a1::,48
afrinic,CG,ipv6,2001:43f8:6a2::,48
afrinic,CG,ipv6,2001:43f8:6a3::,48
afrinic,CI,ipv4,102.135.191.0,24
afrinic,CI,ipv4,102.216.100.0,22
afrinic,CI,ipv4,102.221.152.0,24
afrinic,CI,ipv4,102.222.82.0,23
afrinic,CI,ipv4,102.223.249.0,24
afrinic,CI,ipv4,102.223.252.0,23
afrinic,CI,ipv4,193.221.218.0,24
afrinic,CI,ipv4,196.10.122.0,23
afrinic,CI,ipv4,196.41.75.0,24
afrinic,CI,ipv4,196.49.0.0,24
afrinic,CI,ipv4,196.216.226.0,23
afrinic,CI,ipv4,196.223.4.0,24
afrinic,CI,ipv6,2001:43f8:940::,48
afrinic,CI,ipv6,2001:43f8:b20::,48
afrinic,CI,ipv6,2001:43f8:b70::,48
afrinic,CI,ipv6,2001:43f8:14a0::,48
afrinic,CI,ipv6,2001:43f8:1630::,48
