region,ip,prefixlength
apnic,2400:1980::,32
apnic,2400:3080::,32
apnic,2400:5180::,32
apnic,2400:8b20::,32
apnic,2400:9cc0::,32
apnic,2400:bdc0::,32
apnic,2400:d5c0::,32
apnic,2400:e500::,32
apnic,2400:e501::,32
apnic,2400:e640::,32
apnic,2401:8080::,32
apnic,2402:2880::,32
apnic,2402:3440::,32
apnic,2402:4e40::,32
apnic,2402:e080::,32
apnic,2403:3e40::,32
apnic,2404:6240::,32
apnic,2404:9b00::,32
apnic,2404:9f40::,32
apnic,2405:2240::,32
apnic,2405:cd40::,32
apnic,2406:3940::,32
apnic,2406:5700::,32
apnic,2406:d100::,32
apnic,2407:6b40::,32
