region,ip,prefixlength,org
apnic,103.167.234.0,23,n/a
ripencc,5.206.232.0,21,al.telkos;TelKos L.L.C
ripencc,31.22.48.0,20,al.amc-sha;ONE ALBANIA SH.A.
ripencc,31.41.33.0,24,al.albahost;Albanian Hosting SH.P.K.
ripencc,31.44.64.0,20,n/a
ripencc,31.171.152.0,21,al.keminet-ltd;Keminet SHPK
ripencc,31.222.40.0,21,al.pronet;Pronet sh.p.k.
ripencc,37.26.64.0,21,al.telkos;TelKos L.L.C
ripencc,37.26.80.0,21,n/a
ripencc,37.35.64.0,21,al.artmotion;ARTMOTION SH.P.K.
ripencc,37.139.112.0,21,n/a
ripencc,37.252.221.0,24,al.korabinet;KORABI-NET SHPK
ripencc,45.10.192.0,22,n/a
ripencc,45.66.252.0,22,al.keminet-ltd;Keminet SHPK
ripencc,45.80.48.0,22,al.albcomputers;Alb Computers & Distribution shpk
ripencc,45.84.116.0,22,al.elsatech;ELSA-TECH SH.P.K.
ripencc,45.84.236.0,22,al.info-telecom;INFO-Telecom Shpk
ripencc,45.90.80.0,22,al.bss;Business Strategic Solution SHPK
ripencc,45.93.220.0,22,al.digicom3;Digicom SHPK
ripencc,45.142.24.0,22,al.keminet-ltd;Keminet SHPK
ripencc,45.157.124.0,22,al.ilirkurti3;Ilir Kurti
ripencc,46.19.224.0,21,al.kujtesa;Kujtesa Net Sh.p.k.
ripencc,46.99.0.0,16,al.ipko;IPKO Telecommunications LLC
ripencc,46.183.120.0,21,al.mcnetworking;MC NETWORKING Sh.p.k.
ripencc,46.252.32.0,20,al.planet;4ALB shpk
ripencc,46.255.144.0,21,n/a
ripencc,66.186.194.0,23,n/a
ripencc,66.186.198.0,23,n/a
ripencc,77.83.120.0,22,al.fiberconn;FiberConn (SH.P.K)
ripencc,77.242.16.0,20,n/a
ripencc,77.247.88.0,21,al.ermal;Tele.Co.Albania SHPK
ripencc,77.247.248.0,21,al.vip;DOTNET SH.P.K
ripencc,79.98.112.0,21,n/a
ripencc,79.106.0.0,16,al.atnet;Albtelecom Sh.a.
ripencc,79.171.48.0,21,n/a
ripencc,79.174.24.0,22,n/a
ripencc,80.65.216.0,22,al.ilirkurti3;Ilir Kurti
ripencc,80.78.64.0,20,n/a
ripencc,80.80.160.0,20,al.ipko;IPKO Telecommunications LLC
ripencc,80.90.80.0,20,al.digicom3;Digicom SHPK
ripencc,80.91.112.0,20,n/a
ripencc,81.21.232.0,22,n/a
ripencc,81.26.200.0,21,al.digicom3;Digicom SHPK
ripencc,82.114.64.0,19,al.kujtesa;Kujtesa Net Sh.p.k.
ripencc,84.20.64.0,19,al.pronet;Pronet sh.p.k.
ripencc,84.22.32.0,19,al.artmotion;ARTMOTION SH.P.K.
ripencc,85.209.248.0,22,n/a
ripencc,87.238.208.0,21,al.telkos;TelKos L.L.C
ripencc,88.214.16.0,22,n/a
ripencc,91.132.172.0,22,n/a
ripencc,91.187.96.0,19,al.ipko;IPKO Telecommunications LLC
ripencc,91.212.96.0,24,n/a
ripencc,91.217.6.0,23,n/a
ripencc,91.217.72.0,23,n/a
ripencc,91.239.145.0,24,n/a
