region,version,ip,prefixlength,org
arin,ipv4,199.103.104.0,23,n/a
ripencc,ipv4,2.56.160.0,22,at.kraftcom;Bernhard Kraft
ripencc,ipv4,2.56.208.0,22,at.ktnet;KT-NET Communications GmbH
ripencc,ipv4,2.57.48.0,22,at.cosysdata;COSYS DATA GmbH
ripencc,ipv4,2.57.104.0,22,n/a
ripencc,ipv4,2.57.156.0,22,at.cashpoint;CASHPOINT Solutions GmbH
ripencc,ipv4,2.57.180.0,22,n/a
ripencc,ipv4,2.57.252.0,22,n/a
ripencc,ipv4,2.58.144.0,22,at.kriener-hosting1;Kriener Hosting GmbH
ripencc,ipv4,2.59.116.0,24,n/a
ripencc,ipv4,2.59.172.0,22,n/a
ripencc,ipv4,5.11.0.0,21,n/a
ripencc,ipv4,5.44.208.0,21,n/a
ripencc,ipv4,5.45.144.0,22,n/a
ripencc,ipv4,5.104.216.0,21,at.infotech;Infotech EDV-Systeme GmbH
ripencc,ipv4,5.132.128.0,18,at.internex;interneX GmbH
ripencc,ipv4,5.159.0.0,21,at.energieag;Energie AG Oberoesterreich Telekom GmbH
ripencc,ipv4,5.180.12.0,22,n/a
ripencc,ipv4,5.181.148.0,22,n/a
ripencc,ipv4,5.181.228.0,22,at.wienerlinien;WIENER LINIEN GmbH & Co KG
ripencc,ipv4,5.182.232.0,22,at.brandstaetter-consult1;BRANDSTAETTER Consulting GmbH
ripencc,ipv4,5.183.172.0,24,n/a
ripencc,ipv4,5.183.173.0,24,at.nessus;Nessus GmbH
ripencc,ipv4,5.183.174.0,23,at.nessus;Nessus GmbH
ripencc,ipv4,5.183.204.0,22,n/a
ripencc,ipv4,5.183.216.0,22,at.digimagical;Digimagical GmbH
ripencc,ipv4,5.183.244.0,22,n/a
ripencc,ipv4,5.198.144.0,20,at.internex;interneX GmbH
ripencc,ipv4,5.206.200.0,21,n/a
ripencc,ipv4,5.252.12.0,22,at.conova;conova communications GmbH
ripencc,ipv4,5.253.136.0,22,n/a
ripencc,ipv4,5.253.216.0,22,at.wvnet;WVNET Information und Kommunikation GmbH
ripencc,ipv4,5.254.184.0,21,at.hdc;Huemer Data Center GmbH
ripencc,ipv4,31.7.92.0,22,n/a
