region,ip,prefixlength
apnic,103.7.192.0,23
apnic,103.8.121.0,24
apnic,103.9.181.0,24
apnic,103.9.220.0,23
apnic,103.9.224.0,24
apnic,103.11.136.0,22
apnic,103.12.72.0,22
apnic,103.12.82.0,23
apnic,103.12.166.0,24
apnic,103.12.247.0,24
apnic,103.14.72.0,23
apnic,103.14.109.0,24
apnic,103.14.193.0,24
apnic,103.15.142.0,24
apnic,103.15.224.0,23
apnic,103.16.226.0,23
apnic,103.17.68.0,22
apnic,103.18.180.0,24
apnic,103.19.36.0,24
apnic,103.20.228.0,23
apnic,103.22.96.0,23
apnic,103.23.31.0,24
apnic,103.26.138.0,23
apnic,103.29.104.0,23
apnic,103.29.238.0,23
apnic,103.30.60.0,23
apnic,103.30.169.0,24
apnic,103.31.108.0,24
apnic,103.35.156.0,23
apnic,103.35.158.0,24
apnic,103.35.159.0,24
apnic,103.36.254.0,23
apnic,103.37.126.0,23
apnic,103.39.196.0,23
apnic,103.40.82.0,23
apnic,103.40.226.0,23
apnic,103.41.111.0,24
apnic,103.42.4.0,23
apnic,103.42.152.0,22
apnic,103.43.52.0,22
apnic,103.43.93.0,24
apnic,103.43.230.0,24
apnic,103.44.76.0,22
apnic,103.46.148.0,22
apnic,103.48.119.0,24
apnic,103.48.160.0,23
apnic,103.56.0.0,23
apnic,103.57.151.0,24
apnic,103.58.108.0,23
apnic,103.58.180.0,23
apnic,103.59.233.0,24
apnic,103.62.140.0,22
apnic,103.63.234.0,23
apnic,103.66.24.0,23
apnic,103.66.140.0,23
apnic,103.68.104.0,24
apnic,103.70.228.0,22
apnic,103.72.109.0,24
apnic,103.72.214.0,23
apnic,103.73.56.0,24
apnic,103.73.216.0,23
apnic,103.76.154.0,23
apnic,103.79.117.0,24
apnic,103.79.224.0,22
apnic,103.81.55.0,24
apnic,103.81.68.0,22
apnic,103.82.94.0,23
apnic,103.83.196.0,24
apnic,103.84.156.0,22
apnic,103.85.216.0,22
apnic,103.87.36.0,24
apnic,103.88.136.0,23
apnic,103.91.54.0,24
apnic,103.91.104.0,23
apnic,103.93.18.0,24
apnic,103.93.120.0,24
apnic,103.94.246.0,23
apnic,103.95.38.0,24
apnic,103.95.108.0,23
apnic,103.96.234.0,23
apnic,103.97.44.0,23
apnic,103.98.135.0,24
apnic,103.99.176.0,23
apnic,103.100.244.0,24
apnic,103.103.6.0,23
apnic,103.103.239.0,24
apnic,103.104.242.0,23
apnic,103.105.74.0,23
apnic,103.107.122.0,24
apnic,103.107.184.0,24
apnic,103.108.221.0,24
apnic,103.109.52.0,22
apnic,103.109.105.0,24
apnic,103.110.5.0,24
apnic,103.110.78.0,23
apnic,103.110.224.0,22
apnic,103.111.116.0,23
apnic,103.111.126.0,24
apnic,103.112.147.0,24
apnic,103.114.54.0,24
apnic,103.114.168.0,22
apnic,103.114.174.0,23
apnic,103.117.11.0,24
apnic,103.117.142.0,23
apnic,103.118.0.0,23
apnic,103.118.18.0,24
apnic,103.118.19.0,24
apnic,103.120.6.0,24
apnic,103.120.48.0,24
apnic,103.121.194.0,23
apnic,103.122.44.0,24
apnic,103.122.100.0,23
apnic,103.122.122.0,24
apnic,103.125.24.0,24
apnic,103.125.54.0,23
apnic,103.126.96.0,22
apnic,103.126.184.0,23
apnic,103.126.236.0,23
apnic,103.129.153.0,24
apnic,103.129.207.0,24
apnic,103.132.96.0,24
apnic,103.132.153.0,24
apnic,103.132.184.0,24
apnic,103.132.187.0,24
apnic,103.133.134.0,23
apnic,103.133.184.0,22
apnic,103.133.213.0,24
apnic,103.133.236.0,23
apnic,103.134.84.0,24
apnic,103.134.254.0,23
apnic,103.137.40.0,24
apnic,103.137.52.0,23
apnic,103.137.54.0,23
apnic,103.137.196.0,23
apnic,103.138.155.0,24
apnic,103.138.190.0,23
apnic,103.139.196.0,23
apnic,103.139.236.0,24
apnic,103.139.253.0,24
apnic,103.140.64.0,23
apnic,103.140.82.0,23
apnic,103.140.94.0,23
apnic,103.140.98.0,23
apnic,103.140.166.0,23
apnic,103.141.8.0,23
apnic,103.141.64.0,23
apnic,103.141.66.0,23
apnic,103.141.70.0,23
apnic,103.141.106.0,23
apnic,103.141.123.0,24
apnic,103.141.132.0,24
apnic,103.141.174.0,23
apnic,103.141.204.0,23
apnic,103.141.208.0,24
apnic,103.142.142.0,23
apnic,103.143.47.0,24
apnic,103.143.91.0,24
apnic,103.144.69.0,24
apnic,103.144.89.0,24
apnic,103.144.236.0,24
apnic,103.145.57.0,24
apnic,103.145.102.0,23
apnic,103.145.204.0,23
apnic,103.146.56.0,23
apnic,103.146.134.0,24
apnic,103.147.28.0,23
apnic,103.147.110.0,23
apnic,103.147.162.0,23
apnic,103.147.168.0,23
apnic,103.147.182.0,23
apnic,103.147.230.0,24
apnic,103.147.242.0,23
apnic,103.148.178.0,23
apnic,103.148.250.0,24
apnic,103.150.38.0,24
apnic,103.150.48.0,23
apnic,103.150.56.0,23
apnic,103.150.234.0,23
apnic,103.151.248.0,24
apnic,103.152.1.0,24
apnic,103.152.10.0,23
apnic,103.152.147.0,24
apnic,103.153.66.0,24
apnic,103.153.130.0,24
apnic,103.153.170.0,23
apnic,103.153.185.0,24
apnic,103.153.212.0,23
apnic,103.153.240.0,23
apnic,103.154.98.0,24
apnic,103.155.27.0,24
apnic,103.155.42.0,24
apnic,103.155.252.0,23
apnic,103.156.52.0,23
apnic,103.156.56.0,24
apnic,103.156.189.0,24
apnic,103.157.35.0,24
apnic,103.157.74.0,24
apnic,103.157.237.0,24
apnic,103.157.253.0,24
apnic,103.159.0.0,23
apnic,103.159.2.0,24
apnic,103.159.36.0,23
apnic,103.159.83.0,24
apnic,103.159.128.0,23
apnic,103.159.254.0,23
apnic,103.160.8.0,24
apnic,103.160.20.0,24
apnic,103.160.137.0,24
apnic,103.160.158.0,24
apnic,103.161.68.0,23
apnic,103.161.182.0,23
apnic,103.162.86.0,23
apnic,103.162.110.0,23
apnic,103.163.96.0,23
apnic,103.163.168.0,23
apnic,103.163.210.0,23
apnic,103.164.88.0,24
apnic,103.164.160.0,24
apnic,103.165.48.0,23
apnic,103.165.161.0,24
apnic,103.166.47.0,24
apnic,103.166.193.0,24
apnic,103.167.21.0,24
apnic,103.167.120.0,23
apnic,103.168.208.0,24
apnic,103.169.158.0,23
apnic,103.169.160.0,23
apnic,103.169.181.0,24
apnic,103.170.78.0,23
apnic,103.171.140.0,23
apnic,103.172.190.0,24
apnic,103.173.60.0,23
apnic,103.175.56.0,23
apnic,103.175.127.0,24
apnic,103.177.19.0,24
apnic,103.177.72.0,23
apnic,103.177.142.0,23
apnic,103.177.186.0,23
