region,version,ip,prefixlength,org
arin,ipv4,192.69.64.0,24,n/a
arin,ipv4,199.103.123.0,24,n/a
arin,ipv4,199.103.124.0,22,n/a
arin,ipv4,204.79.170.0,24,n/a
arin,ipv4,204.79.204.0,24,n/a
arin,ipv4,204.231.231.0,24,n/a
ripencc,ipv4,2.56.171.0,24,n/a
ripencc,ipv4,2.57.40.0,22,n/a
ripencc,ipv4,2.58.108.0,22,be.denk-it;Denk-IT BVBA
ripencc,ipv4,2.59.64.0,22,be.x-plose;X-plose BVBA
ripencc,ipv4,5.23.128.0,17,be.telenet;Telenet BVBA
ripencc,ipv4,5.134.0.0,21,n/a
ripencc,ipv4,5.149.136.0,22,n/a
ripencc,ipv4,5.149.140.0,23,n/a
ripencc,ipv4,5.149.142.0,24,n/a
ripencc,ipv4,5.149.143.0,24,n/a
ripencc,ipv4,5.183.52.0,22,n/a
ripencc,ipv4,5.183.236.0,22,n/a
ripencc,ipv4,5.255.128.0,21,be.savaco;SAVACO NV
ripencc,ipv4,31.12.64.0,21,be.radionomy;Radionomy SA
ripencc,ipv4,31.14.50.0,23,n/a
ripencc,ipv4,31.22.16.0,21,n/a
ripencc,ipv4,31.24.112.0,21,be.4allsolutions;Zabun NV
ripencc,ipv4,31.24.249.0,24,be.mike;Mike Marchal
ripencc,ipv4,31.31.128.0,19,be.citymesh;Citymesh NV
ripencc,ipv4,31.193.40.0,21,n/a
ripencc,ipv4,31.193.176.0,21,n/a
ripencc,ipv4,37.19.8.0,21,n/a
ripencc,ipv4,37.44.240.0,22,be.mediterranean;Mediterranean Shipping Company Belgium N.V.
ripencc,ipv4,37.58.40.0,21,be.edb;Roularta Media Group NV
ripencc,ipv4,37.62.0.0,16,n/a
ripencc,ipv4,37.72.160.0,21,n/a
ripencc,ipv4,37.123.232.0,21,n/a
ripencc,ipv4,37.143.0.0,21,be.weepee;WeePee NV
ripencc,ipv4,37.148.176.0,21,n/a
ripencc,ipv4,37.184.0.0,15,n/a
ripencc,ipv4,37.208.56.0,21,n/a
ripencc,ipv4,37.208.88.0,21,n/a
ripencc,ipv4,37.228.72.0,21,n/a
ripencc,ipv4,37.230.120.0,21,n/a
ripencc,ipv4,45.13.100.0,22,"be.eucouncil;Council of the EU, General Secretariat"
ripencc,ipv4,45.13.116.0,22,n/a
ripencc,ipv4,45.85.20.0,22,n/a
ripencc,ipv4,45.85.28.0,22,n/a
ripencc,ipv4,45.86.92.0,22,be.centrea;Centrea cvba
ripencc,ipv4,45.87.76.0,22,be.devrandombe;Devrandom.be BV
ripencc,ipv4,45.88.56.0,22,be.punchpowertrainnv;Punch Powertrain NV
ripencc,ipv4,45.91.123.0,24,n/a
ripencc,ipv4,45.91.140.0,22,be.bankvanbreda;Bank J. Van Breda & Co NV
ripencc,ipv4,45.92.196.0,22,be.connectis;Connectis S.A.
ripencc,ipv4,45.129.68.0,22,be.tite-live;Tite-Live-Belgique Ltd
ripencc,ipv4,45.138.120.0,22,be.lclbelgium;LCL BELGIUM NV
ripencc,ipv4,45.138.168.0,22,be.colruyt;Colruyt Group Services NV
ripencc,ipv4,45.148.49.0,24,be.diogenius;Diogenius SPRL
ripencc,ipv4,45.149.64.0,22,n/a
ripencc,ipv4,45.149.96.0,22,be.comptafid;COMPTAFID-Benelux NV
ripencc,ipv4,45.152.68.0,22,be.wgetnetwork;William Gathoye
ripencc,ipv4,45.152.80.0,22,n/a
ripencc,ipv4,45.153.152.0,22,n/a
ripencc,ipv4,45.154.96.0,22,n/a
ripencc,ipv4,45.156.152.0,22,n/a
ripencc,ipv4,46.16.240.0,21,be.exxoss;EXXOSS SPRL
ripencc,ipv4,46.18.32.0,24,be.xenius;Xenius BVBA
ripencc,ipv4,46.18.33.0,24,n/a
ripencc,ipv4,46.18.34.0,23,n/a
ripencc,ipv4,46.18.36.0,22,n/a
ripencc,ipv4,46.19.0.0,21,n/a
ripencc,ipv4,46.28.40.0,21,be.weepee;WeePee NV
ripencc,ipv4,46.31.88.0,21,n/a
ripencc,ipv4,46.178.0.0,15,n/a
ripencc,ipv4,46.182.192.0,21,n/a
ripencc,ipv4,46.243.24.0,21,n/a
ripencc,ipv4,46.253.160.0,20,be.telenet;Telenet BVBA
ripencc,ipv4,62.3.50.0,24,n/a
ripencc,ipv4,62.4.128.0,19,n/a
ripencc,ipv4,62.4.160.0,19,n/a
ripencc,ipv4,62.4.192.0,18,n/a
ripencc,ipv4,62.88.0.0,17,n/a
ripencc,ipv4,62.112.14.0,23,be.gaming1;Gaming1 SRL
ripencc,ipv4,62.112.16.0,21,be.gaming1;Gaming1 SRL
ripencc,ipv4,62.112.29.0,24,n/a
ripencc,ipv4,62.112.31.0,24,n/a
ripencc,ipv4,62.122.36.0,22,n/a
ripencc,ipv4,62.197.64.0,18,be.brutele;Brutele SC
