region,ip,prefixlength
afrinic,41.78.48.0,22
afrinic,41.78.52.0,22
afrinic,41.138.96.0,19
afrinic,41.203.224.0,20
afrinic,41.216.144.0,20
afrinic,41.223.232.0,22
afrinic,102.23.0.0,18
afrinic,102.36.164.0,22
afrinic,102.67.96.0,19
afrinic,102.67.172.0,22
afrinic,102.68.32.0,21
afrinic,102.68.100.0,22
afrinic,102.68.188.0,22
afrinic,102.69.152.0,22
afrinic,102.176.176.0,22
afrinic,102.178.0.0,15
afrinic,102.180.0.0,16
afrinic,102.212.160.0,23
afrinic,102.214.40.0,22
afrinic,102.214.64.0,22
afrinic,102.216.120.0,22
afrinic,102.219.0.0,22
afrinic,102.222.56.0,22
afrinic,102.222.120.0,22
afrinic,102.223.102.0,24
afrinic,102.223.174.0,23
afrinic,105.235.176.0,20
afrinic,129.45.128.0,17
afrinic,154.65.60.0,22
afrinic,154.66.160.0,20
afrinic,160.226.184.0,22
afrinic,165.16.208.0,20
afrinic,196.28.240.0,20
afrinic,197.239.64.0,18
afrinic,212.52.128.0,19
