region,version,ip,prefixlength
ripencc,ipv4,31.41.16.0,22
ripencc,ipv4,31.41.20.0,22
ripencc,ipv4,62.44.96.0,19
ripencc,ipv4,62.182.112.0,21
ripencc,ipv4,79.110.112.0,21
ripencc,ipv4,81.161.240.0,20
ripencc,ipv4,83.97.24.0,21
ripencc,ipv4,83.97.64.0,21
ripencc,ipv4,83.142.16.0,21
ripencc,ipv4,83.143.144.0,21
ripencc,ipv4,83.143.176.0,21
ripencc,ipv4,83.143.248.0,21
ripencc,ipv4,84.201.192.0,20
ripencc,ipv4,84.201.224.0,20
ripencc,ipv4,85.255.128.0,20
ripencc,ipv4,85.255.160.0,20
ripencc,ipv4,87.239.152.0,21
ripencc,ipv4,91.90.192.0,22
ripencc,ipv4,91.192.236.0,22
ripencc,ipv4,91.193.156.0,22
ripencc,ipv4,91.193.200.0,22
ripencc,ipv4,91.195.24.0,23
ripencc,ipv4,91.196.124.0,22
ripencc,ipv4,91.196.224.0,22
ripencc,ipv4,91.198.119.0,24
ripencc,ipv4,91.198.132.0,24
ripencc,ipv4,91.198.181.0,24
ripencc,ipv4,91.199.128.0,24
ripencc,ipv4,91.199.150.0,24
ripencc,ipv4,91.199.237.0,24
ripencc,ipv4,91.201.172.0,22
ripencc,ipv4,91.204.156.0,22
ripencc,ipv4,91.206.20.0,23
ripencc,ipv4,91.206.138.0,23
ripencc,ipv4,91.207.190.0,23
ripencc,ipv4,91.208.63.0,24
ripencc,ipv4,91.209.8.0,24
ripencc,ipv4,91.209.146.0,24
ripencc,ipv4,91.210.88.0,22
ripencc,ipv4,91.210.188.0,22
ripencc,ipv4,91.211.108.0,22
ripencc,ipv4,91.211.188.0,22
ripencc,ipv4,91.211.232.0,22
ripencc,ipv4,91.212.13.0,24
ripencc,ipv4,91.212.17.0,24
ripencc,ipv4,91.212.37.0,24
ripencc,ipv4,91.212.233.0,24
ripencc,ipv4,91.212.235.0,24
ripencc,ipv4,91.213.12.0,24
ripencc,ipv4,91.213.152.0,24
ripencc,ipv4,91.215.152.0,22
ripencc,ipv4,91.215.216.0,22
ripencc,ipv4,91.216.71.0,24
ripencc,ipv4,91.216.95.0,24
ripencc,ipv4,91.216.174.0,24
ripencc,ipv4,91.216.253.0,24
ripencc,ipv4,91.217.148.0,24
ripencc,ipv4,91.217.205.0,24
ripencc,ipv4,91.218.80.0,22
ripencc,ipv4,91.220.189.0,24
ripencc,ipv4,91.222.20.0,22
ripencc,ipv4,91.223.66.0,24
ripencc,ipv4,91.223.123.0,24
ripencc,ipv4,91.226.182.0,23
ripencc,ipv4,91.228.38.0,24
ripencc,ipv4,91.230.6.0,23
ripencc,ipv4,91.230.192.0,22
ripencc,ipv4,91.230.230.0,24
ripencc,ipv4,91.230.231.0,24
ripencc,ipv4,91.232.209.0,24
ripencc,ipv4,91.233.32.0,24
ripencc,ipv4,91.234.19.0,24
ripencc,ipv4,91.234.21.0,24
ripencc,ipv4,91.234.92.0,22
ripencc,ipv4,91.235.164.0,24
ripencc,ipv4,91.235.248.0,22
ripencc,ipv4,91.236.144.0,22
ripencc,ipv4,91.237.56.0,22
ripencc,ipv4,91.237.102.0,23
ripencc,ipv4,91.238.106.0,24
ripencc,ipv4,91.238.199.0,24
ripencc,ipv4,91.238.204.0,23
ripencc,ipv4,91.238.251.0,24
ripencc,ipv4,91.238.255.0,24
ripencc,ipv4,91.239.13.0,24
ripencc,ipv4,91.239.47.0,24
ripencc,ipv4,91.240.255.0,24
ripencc,ipv4,91.244.181.0,24
ripencc,ipv4,91.245.192.0,24
ripencc,ipv4,91.246.12.0,24
ripencc,ipv4,91.247.36.0,23
ripencc,ipv4,109.94.110.0,24
ripencc,ipv4,176.116.144.0,24
ripencc,ipv4,185.1.30.0,24
ripencc,ipv4,185.1.40.0,24
ripencc,ipv4,185.1.56.0,24
ripencc,ipv4,185.1.137.0,24
ripencc,ipv4,185.1.156.0,24
ripencc,ipv4,185.1.226.0,23
ripencc,ipv4,192.58.32.0,22
ripencc,ipv4,192.92.129.0,24
ripencc,ipv4,192.162.231.0,24
ripencc,ipv4,193.0.213.0,24
ripencc,ipv4,193.9.16.0,24
ripencc,ipv4,193.16.102.0,24
ripencc,ipv4,193.16.157.0,24
ripencc,ipv4,193.16.246.0,24
ripencc,ipv4,193.17.229.0,24
ripencc,ipv4,193.19.147.0,24
ripencc,ipv4,193.19.172.0,22
ripencc,ipv4,193.22.103.0,24
ripencc,ipv4,193.22.248.0,24
ripencc,ipv4,193.24.240.0,22
ripencc,ipv4,193.25.162.0,23
ripencc,ipv4,193.26.216.0,24
ripencc,ipv4,193.28.250.0,24
ripencc,ipv4,193.29.55.0,24
ripencc,ipv4,193.30.228.0,22
ripencc,ipv4,193.35.40.0,24
ripencc,ipv4,193.35.46.0,24
ripencc,ipv4,193.37.238.0,24
ripencc,ipv4,193.41.64.0,22
ripencc,ipv4,193.41.182.0,23
ripencc,ipv4,193.41.188.0,22
ripencc,ipv4,193.43.26.0,24
ripencc,ipv4,193.47.74.0,24
ripencc,ipv4,193.84.86.0,24
ripencc,ipv4,193.93.24.0,22
ripencc,ipv4,193.104.79.0,24
ripencc,ipv4,193.104.165.0,24
ripencc,ipv4,193.105.60.0,24
ripencc,ipv4,193.105.148.0,24
ripencc,ipv4,193.105.196.0,24
ripencc,ipv4,193.107.36.0,22
ripencc,ipv4,193.107.68.0,22
ripencc,ipv4,193.108.24.0,24
ripencc,ipv4,193.108.32.0,23
ripencc,ipv4,193.109.54.0,23
ripencc,ipv4,193.109.61.0,24
ripencc,ipv4,193.110.132.0,24
ripencc,ipv4,193.110.159.0,24
ripencc,ipv4,193.110.216.0,21
ripencc,ipv4,193.111.89.0,24
ripencc,ipv4,193.111.194.0,23
ripencc,ipv4,193.138.67.0,24
ripencc,ipv4,193.142.0.0,24
ripencc,ipv4,193.150.67.0,24
ripencc,ipv4,193.151.20.0,22
ripencc,ipv4,193.151.80.0,22
ripencc,ipv4,193.161.192.0,24
ripencc,ipv4,193.169.31.0,24
ripencc,ipv4,193.169.198.0,23
ripencc,ipv4,193.178.152.0,23
ripencc,ipv4,193.178.166.0,24
ripencc,ipv4,193.178.222.0,24
ripencc,ipv4,193.186.38.0,24
ripencc,ipv4,193.192.48.0,23
ripencc,ipv4,193.192.56.0,23
ripencc,ipv4,193.194.140.0,23
ripencc,ipv4,193.194.156.0,24
ripencc,ipv4,193.200.14.0,23
ripencc,ipv4,193.200.28.0,24
ripencc,ipv4,193.200.237.0,24
ripencc,ipv4,193.201.172.0,24
ripencc,ipv4,193.201.240.0,22
ripencc,ipv4,193.202.108.0,24
ripencc,ipv4,193.203.198.0,23
ripencc,ipv4,193.218.0.0,24
ripencc,ipv4,193.228.152.0,24
ripencc,ipv4,193.254.29.0,24
ripencc,ipv4,194.0.32.0,24
ripencc,ipv4,194.0.235.0,24
ripencc,ipv4,194.1.147.0,24
ripencc,ipv4,194.8.4.0,24
ripencc,ipv4,194.8.53.0,24
ripencc,ipv4,194.8.60.0,24
ripencc,ipv4,194.9.66.0,23
ripencc,ipv4,194.34.12.0,24
ripencc,ipv4,194.48.206.0,24
ripencc,ipv4,194.50.76.0,24
ripencc,ipv4,194.50.122.0,24
ripencc,ipv4,194.54.140.0,22
ripencc,ipv4,194.63.136.0,22
ripencc,ipv4,194.79.12.0,22
ripencc,ipv4,194.88.228.0,23
ripencc,ipv4,194.88.250.0,23
ripencc,ipv4,194.110.205.0,24
ripencc,ipv4,194.124.229.0,24
ripencc,ipv4,194.145.63.0,24
ripencc,ipv4,194.145.160.0,22
ripencc,ipv4,194.146.232.0,22
ripencc,ipv4,194.153.118.0,24
ripencc,ipv4,194.153.145.0,24
ripencc,ipv4,194.169.231.0,24
ripencc,ipv4,194.187.132.0,22
ripencc,ipv4,194.187.196.0,22
ripencc,ipv4,194.246.110.0,23
ripencc,ipv4,195.8.222.0,23
ripencc,ipv4,195.10.193.0,24
ripencc,ipv4,195.20.24.0,22
ripencc,ipv4,195.22.146.0,23
ripencc,ipv4,195.24.88.0,21
ripencc,ipv4,195.28.182.0,23
ripencc,ipv4,195.35.84.0,24
ripencc,ipv4,195.39.198.0,23
ripencc,ipv4,195.39.212.0,23
ripencc,ipv4,195.42.142.0,23
ripencc,ipv4,195.47.193.0,24
ripencc,ipv4,195.54.44.0,23
ripencc,ipv4,195.64.160.0,23
ripencc,ipv4,195.66.125.0,24
ripencc,ipv4,195.68.200.0,23
ripencc,ipv4,195.68.214.0,23
ripencc,ipv4,195.69.108.0,22
ripencc,ipv4,195.69.120.0,22
ripencc,ipv4,195.69.164.0,22
ripencc,ipv4,195.72.112.0,24
ripencc,ipv4,195.74.85.0,24
ripencc,ipv4,195.85.215.0,24
ripencc,ipv4,195.88.74.0,23
ripencc,ipv4,195.88.140.0,24
ripencc,ipv4,195.88.141.0,24
ripencc,ipv4,195.110.24.0,23
