region,ip,prefixlength
ripencc,2001:7f8:6::,48
ripencc,2001:678:3c::,48
ripencc,2001:67c:e4::,48
ripencc,2001:7f8:58::,48
ripencc,2001:7f8:8e::,48
ripencc,2001:7f8:96::,48
ripencc,2001:7f8:98::,48
ripencc,2001:7f8:9f::,48
ripencc,2001:7f8:db::,48
ripencc,2001:7f8:e8::,48
ripencc,2001:678:100::,48
ripencc,2001:678:16c::,48
ripencc,2001:678:5f8::,48
ripencc,2001:678:7e0::,48
ripencc,2001:678:7e4::,48
ripencc,2001:678:904::,48
ripencc,2001:678:908::,48
ripencc,2001:678:924::,48
ripencc,2001:678:958::,48
ripencc,2001:678:cc4::,48
ripencc,2001:678:f08::,48
ripencc,2001:678:ff8::,48
ripencc,2001:67c:51c::,48
ripencc,2001:67c:530::,48
ripencc,2001:67c:b34::,48
ripencc,2001:67c:11e0::,48
ripencc,2001:67c:14a4::,48
ripencc,2001:67c:15e0::,48
ripencc,2001:67c:16b8::,48
ripencc,2001:67c:1bfc::,48
ripencc,2001:67c:20d0::,47
ripencc,2001:67c:2154::,48
ripencc,2001:67c:21bc::,48
ripencc,2001:67c:21c8::,48
ripencc,2001:67c:220c::,48
ripencc,2001:67c:23ec::,48
ripencc,2001:67c:23fc::,48
ripencc,2001:67c:292c::,48
ripencc,2001:67c:2948::,48
ripencc,2001:67c:294c::,48
ripencc,2001:67c:29f0::,48
ripencc,2001:67c:2c40::,48
ripencc,2001:67c:2c88::,47
ripencc,2001:67c:2c90::,46
ripencc,2001:67c:2ce4::,48
ripencc,2001:67c:2df0::,48
ripencc,2001:67c:2e90::,48
ripencc,2001:67c:2f4c::,48
ripencc,2001:67c:2f5c::,48
ripencc,2001:67c:2f6c::,48
ripencc,2001:67c:2ff8::,48
