region,ip,prefixlength,org
ripencc,2001:1a40::,32,n/a
ripencc,2a00:6600::,32,n/a
ripencc,2a00:dde0::,32,bh.rapid;Rapid Telecommunications W.L.L.
ripencc,2a01:4600::,32,bh.viacloud;ViaCloud WLL
ripencc,2a01:4900::,32,bh.etisalcom;Etisalcom Bahrain Company W.L.L.
ripencc,2a01:5d80::,32,n/a
ripencc,2a02:2578::,32,n/a
ripencc,2a02:c3c0::,29,n/a
ripencc,2a02:c400::,29,n/a
ripencc,2a02:d080::,29,bh.gib;Gulf International Bank B.S.C. Exempt Joint Stock Company (Resident)
ripencc,2a02:f040::,29,bh.menazain;MENA LEVANT W.L.L
ripencc,2a03:1c00::,29,n/a
ripencc,2a04:8ac0::,29,n/a
ripencc,2a07:93c0::,29,bh.international;international payment services B.S.C.
ripencc,2a0e:6700::,29,n/a
