region,version,ip,prefixlength
apnic,ipv4,43.225.40.0,22
apnic,ipv4,43.225.136.0,22
apnic,ipv4,43.251.128.0,22
apnic,ipv4,45.126.140.0,22
apnic,ipv4,103.4.188.0,22
apnic,ipv4,103.12.208.0,23
apnic,ipv4,103.16.120.0,22
apnic,ipv4,103.17.24.0,22
apnic,ipv4,103.18.172.0,22
apnic,ipv4,103.139.109.0,24
apnic,ipv4,103.224.96.0,22
apnic,ipv4,103.230.64.0,22
apnic,ipv4,139.5.184.0,22
apnic,ipv4,192.94.122.0,24
apnic,ipv4,202.12.26.0,24
apnic,ipv4,202.59.230.0,24
apnic,ipv4,202.90.36.0,24
apnic,ipv6,2001:df1:ba00::,48
apnic,ipv6,2001:df1:f800::,48
apnic,ipv6,2001:df2:8000::,48
apnic,ipv6,2001:df5:4800::,48
apnic,ipv6,2001:df6:1a80::,48
