region,version,ip,prefixlength
lacnic,ipv4,45.4.68.0,22
lacnic,ipv4,45.4.96.0,24
lacnic,ipv4,45.5.14.0,24
lacnic,ipv4,45.5.204.0,22
lacnic,ipv4,45.6.52.0,22
lacnic,ipv4,45.7.60.0,22
lacnic,ipv4,45.65.201.0,24
lacnic,ipv4,45.65.253.0,24
lacnic,ipv4,45.71.4.0,24
lacnic,ipv4,45.71.6.0,24
lacnic,ipv4,45.71.214.0,23
lacnic,ipv4,45.160.76.0,23
lacnic,ipv4,45.161.208.0,23
lacnic,ipv4,45.162.68.0,22
lacnic,ipv4,45.162.124.0,24
lacnic,ipv4,45.162.127.0,24
lacnic,ipv4,45.163.184.0,22
lacnic,ipv4,45.165.153.0,24
lacnic,ipv4,45.165.232.0,22
lacnic,ipv4,45.166.79.0,24
lacnic,ipv4,45.166.120.0,22
lacnic,ipv4,45.167.16.0,24
lacnic,ipv4,45.168.81.0,24
lacnic,ipv4,45.168.144.0,22
lacnic,ipv4,45.168.148.0,22
lacnic,ipv4,45.169.97.0,24
lacnic,ipv4,45.169.162.0,24
lacnic,ipv4,45.169.252.0,24
lacnic,ipv4,45.171.50.0,23
lacnic,ipv4,45.171.83.0,24
lacnic,ipv4,45.171.100.0,22
lacnic,ipv4,45.171.116.0,23
lacnic,ipv4,45.171.119.0,24
lacnic,ipv4,45.171.190.0,24
lacnic,ipv4,45.171.191.0,24
lacnic,ipv4,45.172.48.0,22
lacnic,ipv4,45.172.216.0,23
lacnic,ipv4,45.173.13.0,24
lacnic,ipv4,45.173.45.0,24
lacnic,ipv4,45.173.46.0,24
lacnic,ipv4,45.173.47.0,24
lacnic,ipv4,45.173.162.0,23
lacnic,ipv4,45.173.172.0,22
lacnic,ipv4,45.173.248.0,22
lacnic,ipv4,45.174.9.0,24
lacnic,ipv4,45.174.128.0,24
lacnic,ipv4,45.175.23.0,24
lacnic,ipv4,45.175.220.0,22
lacnic,ipv4,45.177.168.0,22
lacnic,ipv4,45.177.199.0,24
lacnic,ipv4,45.177.230.0,23
lacnic,ipv4,45.178.242.0,24
lacnic,ipv4,45.178.243.0,24
lacnic,ipv4,45.179.61.0,24
lacnic,ipv4,45.179.62.0,23
lacnic,ipv4,45.179.199.0,24
lacnic,ipv4,45.180.113.0,24
lacnic,ipv4,45.180.178.0,24
lacnic,ipv4,45.181.4.0,23
lacnic,ipv4,45.181.7.0,24
lacnic,ipv4,45.181.92.0,22
lacnic,ipv4,45.181.172.0,22
lacnic,ipv4,45.182.40.0,24
lacnic,ipv4,45.183.104.0,23
lacnic,ipv4,45.183.204.0,22
lacnic,ipv4,45.183.222.0,23
lacnic,ipv4,45.183.244.0,23
lacnic,ipv4,45.183.246.0,24
lacnic,ipv4,45.184.144.0,22
lacnic,ipv4,45.185.42.0,24
lacnic,ipv4,45.185.149.0,24
lacnic,ipv4,45.185.150.0,23
lacnic,ipv4,45.186.142.0,24
lacnic,ipv4,45.186.143.0,24
lacnic,ipv4,45.187.216.0,22
lacnic,ipv4,45.187.249.0,24
lacnic,ipv4,45.188.59.0,24
lacnic,ipv4,45.188.218.0,24
lacnic,ipv4,45.189.100.0,22
