region,version,ip,prefixlength
afrinic,ipv4,41.74.48.0,20
afrinic,ipv4,41.75.0.0,20
afrinic,ipv4,41.76.240.0,21
afrinic,ipv4,41.77.88.0,21
afrinic,ipv4,41.79.32.0,22
afrinic,ipv4,41.79.136.0,22
afrinic,ipv4,41.87.160.0,19
afrinic,ipv4,41.138.72.0,21
afrinic,ipv4,41.190.244.0,22
afrinic,ipv4,41.191.64.0,22
afrinic,ipv4,41.191.216.0,22
afrinic,ipv4,41.216.208.0,21
afrinic,ipv4,41.223.72.0,22
afrinic,ipv4,41.223.140.0,22
afrinic,ipv4,41.223.192.0,22
afrinic,ipv4,83.143.24.0,21
afrinic,ipv4,102.134.84.0,22
afrinic,ipv4,102.134.136.0,22
afrinic,ipv4,102.134.160.0,20
afrinic,ipv4,102.141.112.0,21
afrinic,ipv4,102.165.128.0,19
afrinic,ipv4,102.214.126.0,24
afrinic,ipv4,102.215.0.0,22
afrinic,ipv4,102.219.75.0,24
afrinic,ipv4,102.222.8.0,22
afrinic,ipv4,102.222.48.0,22
afrinic,ipv4,102.222.173.0,24
afrinic,ipv4,105.235.240.0,20
afrinic,ipv4,129.205.192.0,18
afrinic,ipv4,154.0.16.0,21
afrinic,ipv4,154.70.144.0,21
afrinic,ipv4,154.73.36.0,22
afrinic,ipv4,154.73.84.0,22
afrinic,ipv4,156.38.4.0,22
afrinic,ipv4,156.38.16.0,20
afrinic,ipv4,168.167.0.0,16
afrinic,ipv4,169.255.80.0,22
afrinic,ipv4,196.45.164.0,22
afrinic,ipv4,196.61.208.0,21
afrinic,ipv4,197.231.192.0,22
afrinic,ipv4,197.234.208.0,21
afrinic,ipv6,2c0f:4780::,32
afrinic,ipv6,2c0f:e970::,32
afrinic,ipv6,2c0f:e9d8::,32
afrinic,ipv6,2c0f:ef38::,32
afrinic,ipv6,2c0f:f160::,32
afrinic,ipv6,2c0f:f250::,32
afrinic,ipv6,2c0f:f328::,32
afrinic,ipv6,2c0f:f678::,32
afrinic,ipv6,2c0f:f718::,32
afrinic,ipv6,2c0f:f728::,32
afrinic,ipv6,2c0f:f8d8::,32
afrinic,ipv6,2c0f:f9c0::,32
afrinic,ipv6,2c0f:fac8::,32
afrinic,ipv6,2c0f:ff00::,32
