region,version,ip,prefixlength,org
ripencc,ipv4,5.100.192.0,19,"by.best;""BeST"" CJSC"
ripencc,ipv4,31.24.88.0,21,n/a
ripencc,ipv4,37.17.0.0,17,n/a
ripencc,ipv4,37.44.64.0,18,n/a
ripencc,ipv4,37.45.0.0,16,n/a
ripencc,ipv4,37.212.0.0,14,n/a
ripencc,ipv4,46.28.96.0,21,n/a
ripencc,ipv4,46.53.128.0,17,n/a
ripencc,ipv4,46.56.0.0,17,n/a
ripencc,ipv4,46.56.128.0,17,n/a
ripencc,ipv4,46.182.48.0,21,n/a
ripencc,ipv4,46.191.0.0,17,"by.best;""BeST"" CJSC"
ripencc,ipv4,46.216.0.0,16,n/a
ripencc,ipv4,77.74.32.0,21,n/a
ripencc,ipv4,78.140.252.0,22,n/a
ripencc,ipv4,79.98.48.0,21,by.iptel;IP TelCom LLC
ripencc,ipv4,79.170.104.0,21,n/a
ripencc,ipv4,80.94.160.0,20,n/a
ripencc,ipv4,80.94.224.0,20,by.iptel;IP TelCom LLC
ripencc,ipv4,80.249.80.0,20,n/a
ripencc,ipv4,81.30.80.0,20,"by.best;""BeST"" CJSC"
ripencc,ipv4,81.91.190.0,23,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,ipv4,82.209.192.0,18,n/a
ripencc,ipv4,86.57.128.0,17,n/a
ripencc,ipv4,87.252.224.0,19,n/a
ripencc,ipv4,91.149.128.0,18,n/a
ripencc,ipv4,93.84.0.0,15,n/a
ripencc,ipv4,93.125.0.0,17,n/a
ripencc,ipv4,93.177.124.0,24,"by.hoster;Reliable Software, Ltd."
ripencc,ipv4,93.189.224.0,21,by.persik-ltd;LTD Personal Interactive Communications
ripencc,ipv4,93.191.96.0,21,n/a
ripencc,ipv4,94.154.118.0,24,n/a
ripencc,ipv4,95.128.64.0,21,by.iptel;IP TelCom LLC
ripencc,ipv4,95.130.80.0,21,n/a
ripencc,ipv4,109.126.128.0,18,"by.best;""BeST"" CJSC"
ripencc,ipv4,128.65.0.0,18,n/a
ripencc,ipv4,128.140.240.0,20,n/a
ripencc,ipv4,134.17.0.0,16,n/a
ripencc,ipv4,146.19.254.0,24,n/a
ripencc,ipv4,164.177.192.0,18,"by.best;""BeST"" CJSC"
ripencc,ipv4,176.60.0.0,16,n/a
ripencc,ipv4,178.120.0.0,13,n/a
ripencc,ipv4,178.154.0.0,17,"by.best;""BeST"" CJSC"
ripencc,ipv4,178.159.44.0,22,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,ipv4,178.159.240.0,21,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,ipv4,178.163.128.0,17,n/a
ripencc,ipv4,178.168.128.0,17,n/a
ripencc,ipv4,178.172.128.0,17,n/a
ripencc,ipv4,185.6.24.0,22,"by.best;""BeST"" CJSC"
ripencc,ipv4,185.11.76.0,22,"by.ntec;Republican Unitary Enterprise ""National Traffic Exchange Center"""
ripencc,ipv4,185.15.156.0,22,n/a
ripencc,ipv4,185.20.112.0,22,n/a
ripencc,ipv4,185.32.224.0,22,by.becloud;Belarusian Cloud Technologies LLC
ripencc,ipv4,185.47.152.0,23,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,ipv4,185.53.72.0,22,"by.ktmaz;""KT MAZ""LLC"
ripencc,ipv4,185.61.104.0,22,n/a
ripencc,ipv4,185.65.137.0,24,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,ipv4,185.66.68.0,22,n/a
ripencc,ipv4,185.70.12.0,22,n/a
ripencc,ipv4,185.79.16.0,22,by.transoil;Gomeltransneft Druzhba OJSC
ripencc,ipv4,185.99.142.0,23,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,ipv4,185.123.184.0,22,"by.ktmaz;""KT MAZ""LLC"
ripencc,ipv4,185.128.200.0,22,"by.ktmaz;""KT MAZ""LLC"
ripencc,ipv4,185.137.116.0,22,n/a
ripencc,ipv4,185.152.136.0,22,n/a
ripencc,ipv4,185.158.216.0,22,n/a
ripencc,ipv4,185.179.80.0,22,"by.hoster;Reliable Software, Ltd."
ripencc,ipv4,185.183.120.0,22,n/a
ripencc,ipv4,185.186.208.0,22,by.megadata;MEGADATA LLC
ripencc,ipv4,185.203.152.0,22,by.jllccosmos;COSMOS TV JLLC
ripencc,ipv4,185.204.116.0,22,n/a
ripencc,ipv4,185.227.96.0,22,"by.by-nces;Republican Unitary Enterprise ""National Centre of Electronic Services"""
ripencc,ipv4,185.255.76.0,22,n/a
ripencc,ipv4,193.176.180.0,22,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,ipv4,194.158.192.0,19,n/a
ripencc,ipv4,195.50.0.0,19,n/a
ripencc,ipv4,195.222.64.0,19,n/a
ripencc,ipv4,212.98.160.0,19,n/a
ripencc,ipv4,213.184.224.0,19,n/a
ripencc,ipv4,217.21.32.0,20,n/a
ripencc,ipv4,217.21.48.0,20,n/a
ripencc,ipv4,217.23.112.0,20,n/a
ripencc,ipv6,2a02:bf0::,32,n/a
ripencc,ipv6,2a07:200::,29,n/a
ripencc,ipv6,2a10:dc0::,29,"by.hoster;Reliable Software, Ltd."
