region,ip,prefixlength
afrinic,41.77.220.0,22
afrinic,41.78.192.0,22
afrinic,41.78.196.0,22
afrinic,41.79.232.0,22
afrinic,41.189.192.0,19
afrinic,41.190.80.0,22
afrinic,41.190.232.0,22
afrinic,41.215.252.0,22
afrinic,41.222.196.0,22
afrinic,41.222.216.0,22
afrinic,41.223.104.0,22
afrinic,41.243.0.0,16
afrinic,45.221.4.0,22
afrinic,102.23.116.0,22
afrinic,102.36.168.0,22
afrinic,102.64.76.0,22
afrinic,102.67.60.0,22
afrinic,102.68.56.0,21
afrinic,102.68.152.0,22
afrinic,102.69.180.0,22
afrinic,102.135.176.0,21
afrinic,102.216.240.0,22
afrinic,102.217.16.0,22
afrinic,102.217.140.0,22
afrinic,102.220.56.0,22
afrinic,102.221.96.0,23
afrinic,102.222.228.0,22
afrinic,102.223.128.0,22
afrinic,102.223.176.0,22
afrinic,102.223.208.0,22
afrinic,154.72.52.0,22
afrinic,154.73.20.0,22
afrinic,156.0.88.0,22
afrinic,164.160.48.0,22
afrinic,169.159.208.0,20
afrinic,169.239.72.0,22
afrinic,169.239.156.0,22
afrinic,169.239.212.0,22
afrinic,169.255.64.0,22
afrinic,169.255.120.0,22
afrinic,169.255.188.0,22
afrinic,169.255.204.0,22
afrinic,196.61.72.0,22
afrinic,196.200.192.0,20
afrinic,197.149.184.0,22
afrinic,197.157.208.0,22
afrinic,197.189.0.0,17
afrinic,197.215.220.0,22
afrinic,197.231.252.0,22
