region,version,ip,prefixlength
afrinic,ipv4,102.36.144.0,24
afrinic,ipv4,102.36.180.0,24
afrinic,ipv4,156.0.198.0,24
afrinic,ipv4,192.145.188.0,22
afrinic,ipv4,193.110.104.0,23
afrinic,ipv4,196.1.137.0,24
afrinic,ipv4,196.13.110.0,24
afrinic,ipv4,196.41.67.0,24
afrinic,ipv4,196.49.68.0,23
afrinic,ipv4,196.49.76.0,23
afrinic,ipv4,196.60.64.0,24
afrinic,ipv4,196.60.78.0,24
afrinic,ipv4,196.60.92.0,24
afrinic,ipv4,196.216.216.0,23
afrinic,ipv4,196.223.28.0,24
afrinic,ipv6,2001:43f8:3c0::,48
afrinic,ipv6,2001:43f8:3c1::,48
afrinic,ipv6,2001:43f8:1460::,48
afrinic,ipv6,2001:43ff:6000::,48
