region,version,ip,prefixlength
afrinic,ipv4,41.75.64.0,20
afrinic,ipv4,102.64.116.0,22
afrinic,ipv4,102.129.64.0,19
afrinic,ipv4,102.141.0.0,18
afrinic,ipv4,102.213.232.0,22
afrinic,ipv4,102.220.244.0,22
afrinic,ipv4,102.223.220.0,22
afrinic,ipv4,160.113.0.0,16
afrinic,ipv4,164.160.16.0,22
afrinic,ipv4,169.255.72.0,22
afrinic,ipv4,197.149.136.0,22
afrinic,ipv4,197.157.252.0,22
afrinic,ipv4,197.214.128.0,17
afrinic,ipv4,197.255.176.0,20
afrinic,ipv6,2c0f:1180::,32
afrinic,ipv6,2c0f:7600::,32
afrinic,ipv6,2c0f:ead8::,32
afrinic,ipv6,2c0f:ef58::,32
afrinic,ipv6,2c0f:f048::,32
afrinic,ipv6,2c0f:f220::,32
afrinic,ipv6,2c0f:f568::,32
afrinic,ipv6,2c0f:f920::,32
