region,ip,prefixlength,org
apnic,2400:54a0::,32,n/a
arin,2602:807:e000::,40,n/a
ripencc,2a05:80::,29,n/a
ripencc,2a0b:80::,29,n/a
ripencc,2001:618::,32,n/a
ripencc,2001:620::,29,ch.switch;SWITCH
ripencc,2001:788::,29,"ch.saitis;Saitis Network, N.Desir"
ripencc,2001:8a8::,29,ch.cyberlink;Cyberlink AG
ripencc,2001:8e0::,29,ch.dolphins;Iway AG
ripencc,2001:918::,29,ch.unisource;Swisscom (Schweiz) AG
ripencc,2a00:c10::,32,ch.ton-net;TON Total optical Networks AG
ripencc,2a00:c38::,32,n/a
ripencc,2a00:d08::,32,ch.hiho;HiHo AG
ripencc,2a00:d28::,32,n/a
ripencc,2a00:d70::,32,n/a
ripencc,2a00:d80::,29,n/a
ripencc,2a00:db0::,32,n/a
ripencc,2a00:f90::,32,n/a
ripencc,2a01:200::,32,n/a
ripencc,2a01:208::,29,n/a
ripencc,2a01:228::,32,n/a
ripencc,2a01:278::,29,n/a
ripencc,2a01:2a8::,29,n/a
ripencc,2a01:2d0::,32,ch.worldsoft;Worldsoft AG
ripencc,2a01:330::,29,n/a
ripencc,2a01:528::,32,n/a
ripencc,2a01:5d8::,29,ch.novartis;Novartis AG
ripencc,2a01:6a8::,32,n/a
ripencc,2a01:760::,32,ch.databaar;Stadtantennen AG
ripencc,2a01:768::,32,ch.webland;Webland AG
ripencc,2a02:110::,32,n/a
ripencc,2a02:168::,30,n/a
ripencc,2a02:200::,29,n/a
ripencc,2a02:210::,32,ch.as5398;AS5398 SA
ripencc,2a02:2a8::,29,ch.trenka;Trenka Informatik AG
ripencc,2a02:368::,29,n/a
ripencc,2a02:370::,32,n/a
ripencc,2a02:388::,32,n/a
ripencc,2a02:3b0::,32,n/a
ripencc,2a02:410::,32,ch.virtualtec;Virtualtec Solutions AG
ripencc,2a02:418::,29,n/a
ripencc,2a02:428::,32,ch.ewb;Energy Water Bern
ripencc,2a02:448::,29,ch.isp-solutions;ISP Solutions SA
ripencc,2a02:5c0::,32,n/a
ripencc,2a02:620::,32,ch.wagner-ag;Wagner AG Informatik Dienstleistungen
ripencc,2a02:6a0::,32,ch.cana;Credit Suisse Group
ripencc,2a02:a90::,32,ch.unisource;Swisscom (Schweiz) AG
ripencc,2a02:ab0::,29,n/a
ripencc,2a02:cd8::,32,ch.abacus;Abacus Research AG
ripencc,2a02:d38::,29,n/a
ripencc,2a02:d58::,29,n/a
ripencc,2a02:de0::,32,ch.dreamlab;DreamLab Technologies Ltd.
ripencc,2a02:e60::,32,ch.nexanet;Nexanet AG
ripencc,2a02:e70::,32,ch.aew;LITECOM AG
ripencc,2a03:2a0::,29,n/a
ripencc,2a03:380::,32,ch.backbone1;Backbone Solutions AG
ripencc,2a03:580::,32,ch.cirrax;Cirrax GmbH
ripencc,2a03:f40::,32,n/a
ripencc,2a04:500::,29,ch.opsone;Ops One AG
ripencc,2a04:c40::,29,n/a
ripencc,2a04:cc0::,29,n/a
ripencc,2a04:f00::,29,ch.sportradar;Sportradar AG
ripencc,2a05:d00::,29,n/a
ripencc,2a06:980::,29,n/a
ripencc,2a06:ac0::,29,ch.elmec;Elmec Suisse SA
ripencc,2a06:c00::,29,ch.cloudscale;cloudscale.ch AG
ripencc,2a07:600::,29,n/a
ripencc,2a09:4c0::,29,n/a
ripencc,2a09:900::,29,ch.informaticon;Informaticon AG
ripencc,2a09:f00::,29,n/a
ripencc,2a0a:600::,29,n/a
ripencc,2a0c:180::,29,n/a
ripencc,2a0d:780::,29,n/a
ripencc,2a0d:d00::,29,n/a
ripencc,2a0f:680::,29,n/a
ripencc,2a10:a40::,29,ch.swissdatalink;Swiss Datalink AG
ripencc,2a10:e40::,29,ch.infoguard;InfoGuard AG
ripencc,2a13:180::,29,n/a
ripencc,2a13:440::,29,n/a
ripencc,2a13:bc0::,29,ch.simplysoft;Simplysoft GmbH
ripencc,2001:1458::,31,n/a
ripencc,2001:14a8::,32,n/a
ripencc,2001:1558::,32,n/a
ripencc,2001:1600::,29,ch.infomaniak;Infomaniak Network SA
ripencc,2001:1620::,30,n/a
ripencc,2001:1680::,29,n/a
ripencc,2001:1700::,27,ch.sunrise;Sunrise GmbH
ripencc,2001:1a88::,29,n/a
ripencc,2001:1b50::,29,n/a
ripencc,2001:4060::,32,ch.improware;ImproWare AG
ripencc,2001:40c0::,32,ch.safehost;Safe Host SA
ripencc,2001:4168::,32,n/a
ripencc,2001:41e0::,32,ch.sig-telecom;Services Industriels de Geneve
ripencc,2001:4b00::,29,ch.ticinocom;Ticinocom SA
ripencc,2001:4b20::,29,ch.ksz;Kantonsschule Zug
ripencc,2001:4b28::,32,n/a
ripencc,2001:4bf8::,32,n/a
ripencc,2001:4c78::,32,n/a
ripencc,2001:4d98::,32,ch.bluewindow;Swisscom (Schweiz) AG
ripencc,2a00:10c0::,32,ch.dolphins;Iway AG
ripencc,2a00:1128::,32,n/a
ripencc,2a00:17c8::,29,ch.postnetz;Die Schweizerische Post AG
ripencc,2a00:17e0::,32,ch.mironet;MiroNet AG
ripencc,2a00:1840::,32,ch.innet;DFI Service SA
ripencc,2a00:41c0::,32,n/a
ripencc,2a00:4740::,32,n/a
ripencc,2a00:4bc0::,29,ch.ch-sbb;Schweizerische Bundesbahnen SBB
ripencc,2a00:4ec0::,32,n/a
ripencc,2a00:5360::,32,ch.voe;VO Energies Multimedia SA
ripencc,2a00:5480::,29,n/a
ripencc,2a00:6340::,29,n/a
ripencc,2a00:6f20::,32,ch.alsenet;Alsenet SA
ripencc,2a00:7580::,32,ch.unicc;United Nations International Computing Centre
ripencc,2a00:77c0::,32,n/a
ripencc,2a00:79e0::,31,n/a
ripencc,2a00:81a0::,29,ch.swiss-network;Swiss Network SA
ripencc,2a00:82c0::,32,ch.cfs;CKW Fiber Services AG
ripencc,2a00:9480::,32,n/a
ripencc,2a00:9740::,32,ch.scibile;Scibile Network SA
ripencc,2a00:9840::,32,n/a
ripencc,2a00:9f80::,32,n/a
ripencc,2a00:9fe0::,29,ch.quickline;QuickLine Net AG
ripencc,2a00:a500::,32,ch.openbusiness;OpenBusiness Ltd
