region,ip,prefixlength
apnic,2001:df0:de40::,48
ripencc,2001:678:3::,48
ripencc,2001:67c:8::,48
ripencc,2001:7f8:c::,48
ripencc,2001:678:e0::,48
ripencc,2001:67c:94::,48
ripencc,2001:67c:c0::,48
ripencc,2001:67c:c8::,48
ripencc,2001:7f8:1c::,48
ripencc,2001:7f8:24::,48
ripencc,2001:7f8:b5::,48
ripencc,2001:7f8:bf::,48
ripencc,2001:7f8:ca::,48
ripencc,2001:7f8:cc::,48
ripencc,2001:7f8:d9::,48
ripencc,2001:7f8:e7::,48
ripencc,2001:678:11c::,48
ripencc,2001:678:1c4::,48
ripencc,2001:678:204::,48
ripencc,2001:678:28c::,48
ripencc,2001:678:294::,48
ripencc,2001:678:298::,48
ripencc,2001:678:328::,48
ripencc,2001:678:4c4::,48
ripencc,2001:678:588::,48
ripencc,2001:678:678::,48
ripencc,2001:678:744::,48
ripencc,2001:678:748::,48
ripencc,2001:678:75c::,48
ripencc,2001:678:7f0::,48
ripencc,2001:678:810::,48
ripencc,2001:678:824::,48
ripencc,2001:678:890::,48
ripencc,2001:678:8ec::,48
ripencc,2001:678:918::,48
ripencc,2001:678:9e4::,48
ripencc,2001:678:af8::,48
ripencc,2001:678:b84::,48
ripencc,2001:678:bfc::,48
ripencc,2001:678:ca0::,48
ripencc,2001:678:d08::,48
ripencc,2001:678:d78::,48
ripencc,2001:678:d98::,48
ripencc,2001:678:d9c::,48
ripencc,2001:678:e10::,48
ripencc,2001:678:e14::,48
ripencc,2001:678:e18::,48
ripencc,2001:678:e1c::,48
ripencc,2001:678:e44::,48
ripencc,2001:678:e48::,48
ripencc,2001:678:ec0::,48
ripencc,2001:678:ec4::,48
ripencc,2001:678:f9c::,48
ripencc,2001:678:fbc::,48
ripencc,2001:67c:160::,48
ripencc,2001:67c:168::,48
ripencc,2001:67c:170::,48
ripencc,2001:67c:204::,48
ripencc,2001:67c:234::,48
ripencc,2001:67c:260::,48
ripencc,2001:67c:268::,48
ripencc,2001:67c:2c4::,48
ripencc,2001:67c:2f0::,48
ripencc,2001:67c:2f8::,48
ripencc,2001:67c:340::,48
ripencc,2001:67c:358::,48
ripencc,2001:67c:370::,48
ripencc,2001:67c:37c::,48
ripencc,2001:67c:3d4::,48
ripencc,2001:67c:3fc::,48
ripencc,2001:67c:420::,48
ripencc,2001:67c:444::,48
ripencc,2001:67c:458::,48
ripencc,2001:67c:46c::,48
ripencc,2001:67c:470::,48
ripencc,2001:67c:474::,48
ripencc,2001:67c:47c::,48
ripencc,2001:67c:4b8::,48
ripencc,2001:67c:4f0::,48
ripencc,2001:67c:500::,48
ripencc,2001:67c:534::,48
ripencc,2001:67c:58c::,48
ripencc,2001:67c:5d8::,48
ripencc,2001:67c:5dc::,48
ripencc,2001:67c:638::,48
ripencc,2001:67c:66c::,48
ripencc,2001:67c:690::,48
ripencc,2001:67c:71c::,48
ripencc,2001:67c:7ac::,48
ripencc,2001:67c:7dc::,48
ripencc,2001:67c:8ac::,48
ripencc,2001:67c:8cc::,48
ripencc,2001:67c:8dc::,48
ripencc,2001:67c:90c::,48
ripencc,2001:67c:920::,48
ripencc,2001:67c:924::,48
ripencc,2001:67c:938::,48
ripencc,2001:67c:990::,48
ripencc,2001:67c:99c::,48
ripencc,2001:67c:9a0::,48
ripencc,2001:67c:9a4::,48
ripencc,2001:67c:9a8::,48
ripencc,2001:67c:9ac::,48
ripencc,2001:67c:9b0::,48
ripencc,2001:67c:a7c::,48
ripencc,2001:67c:ac0::,48
ripencc,2001:67c:b10::,48
ripencc,2001:7f8:111::,48
ripencc,2001:7f8:119::,48
ripencc,2001:67c:1028::,47
ripencc,2001:67c:1044::,48
ripencc,2001:67c:1090::,48
ripencc,2001:67c:10d4::,48
ripencc,2001:67c:10ec::,48
ripencc,2001:67c:111c::,48
ripencc,2001:67c:1128::,48
ripencc,2001:67c:11f0::,48
ripencc,2001:67c:1230::,46
ripencc,2001:67c:126c::,48
ripencc,2001:67c:1300::,48
ripencc,2001:67c:1368::,48
ripencc,2001:67c:136c::,48
ripencc,2001:67c:1388::,48
ripencc,2001:67c:13c0::,48
ripencc,2001:67c:1430::,48
ripencc,2001:67c:150c::,48
ripencc,2001:67c:1580::,48
ripencc,2001:67c:15dc::,48
ripencc,2001:67c:16dc::,48
ripencc,2001:67c:16e0::,48
ripencc,2001:67c:1730::,48
ripencc,2001:67c:1780::,48
ripencc,2001:67c:17a4::,48
ripencc,2001:67c:17b0::,48
ripencc,2001:67c:1818::,48
ripencc,2001:67c:18c4::,48
ripencc,2001:67c:1948::,48
ripencc,2001:67c:1984::,48
ripencc,2001:67c:19fc::,48
ripencc,2001:67c:1bd0::,48
ripencc,2001:67c:2068::,48
ripencc,2001:67c:20ac::,48
ripencc,2001:67c:20f8::,48
ripencc,2001:67c:21c0::,48
ripencc,2001:67c:2220::,48
ripencc,2001:67c:2230::,48
ripencc,2001:67c:2238::,48
ripencc,2001:67c:22e8::,48
ripencc,2001:67c:2350::,48
ripencc,2001:67c:2488::,48
ripencc,2001:67c:2540::,48
ripencc,2001:67c:258c::,48
ripencc,2001:67c:2614::,48
ripencc,2001:67c:2648::,48
ripencc,2001:67c:273c::,48
ripencc,2001:67c:2904::,48
ripencc,2001:67c:2984::,48
ripencc,2001:67c:29a8::,48
ripencc,2001:67c:2a5c::,48
ripencc,2001:67c:2b2c::,48
ripencc,2001:67c:2b54::,48
ripencc,2001:67c:2be0::,48
ripencc,2001:67c:2c08::,48
ripencc,2001:67c:2c0c::,48
ripencc,2001:67c:2c10::,48
ripencc,2001:67c:2c14::,48
ripencc,2001:67c:2c20::,48
ripencc,2001:67c:2c28::,48
ripencc,2001:67c:2c38::,48
ripencc,2001:67c:2ccc::,48
ripencc,2001:67c:2d70::,48
ripencc,2001:67c:2d80::,48
ripencc,2001:67c:2d8c::,48
ripencc,2001:67c:2de8::,48
ripencc,2001:67c:2e38::,48
ripencc,2001:67c:2e40::,48
ripencc,2001:67c:2e70::,48
ripencc,2001:67c:2f00::,48
ripencc,2001:67c:2f70::,48
ripencc,2001:67c:2f88::,48
ripencc,2001:67c:2f94::,48
ripencc,2001:67c:2f98::,48
ripencc,2001:67c:2fe0::,48
