region,version,ip,prefixlength
afrinic,ipv4,102.135.191.0,24
afrinic,ipv4,102.216.100.0,22
afrinic,ipv4,102.221.152.0,24
afrinic,ipv4,102.222.82.0,23
afrinic,ipv4,102.223.249.0,24
afrinic,ipv4,102.223.252.0,23
afrinic,ipv4,193.221.218.0,24
afrinic,ipv4,196.10.122.0,23
afrinic,ipv4,196.41.75.0,24
afrinic,ipv4,196.49.0.0,24
afrinic,ipv4,196.216.226.0,23
afrinic,ipv4,196.223.4.0,24
afrinic,ipv6,2001:43f8:940::,48
afrinic,ipv6,2001:43f8:b20::,48
afrinic,ipv6,2001:43f8:b70::,48
afrinic,ipv6,2001:43f8:14a0::,48
afrinic,ipv6,2001:43f8:1630::,48
afrinic,ipv6,2001:43ff:a000::,48
