region,ip,prefixlength
lacnic,45.68.16.0,22
lacnic,45.71.8.0,22
lacnic,45.161.44.0,22
lacnic,45.169.54.0,23
lacnic,45.176.192.0,24
lacnic,45.227.60.0,24
lacnic,45.227.131.0,24
lacnic,45.229.137.0,24
lacnic,45.229.247.0,24
lacnic,45.230.22.0,23
lacnic,45.234.156.0,22
lacnic,45.239.112.0,24
lacnic,138.0.12.0,22
lacnic,138.255.96.0,22
lacnic,146.83.0.0,16
lacnic,146.155.0.0,16
lacnic,152.74.0.0,16
lacnic,152.139.0.0,16
lacnic,156.97.0.0,16
lacnic,158.170.0.0,16
lacnic,158.251.0.0,16
lacnic,160.238.212.0,22
lacnic,161.25.0.0,16
lacnic,161.131.0.0,16
lacnic,161.238.0.0,16
lacnic,163.247.0.0,16
lacnic,163.250.0.0,16
lacnic,164.96.0.0,16
lacnic,164.98.0.0,16
lacnic,165.182.0.0,16
lacnic,165.183.0.0,16
lacnic,166.75.0.0,16
lacnic,166.110.0.0,16
lacnic,167.28.0.0,16
lacnic,168.231.0.0,16
lacnic,170.18.0.0,16
lacnic,170.150.140.0,22
lacnic,170.233.152.0,22
lacnic,179.0.2.0,24
lacnic,179.0.3.0,24
lacnic,179.0.8.0,24
lacnic,179.0.16.0,22
lacnic,179.0.152.0,22
lacnic,179.189.216.0,23
lacnic,179.189.220.0,23
lacnic,187.86.195.0,24
lacnic,190.124.24.0,22
lacnic,192.80.24.0,24
lacnic,192.141.64.0,22
lacnic,192.153.119.0,24
lacnic,192.203.158.0,24
lacnic,192.207.146.0,24
lacnic,192.231.110.0,24
lacnic,192.231.140.0,24
lacnic,192.245.60.0,24
lacnic,192.251.39.0,24
lacnic,198.2.16.0,20
lacnic,198.22.250.0,23
lacnic,198.41.32.0,21
lacnic,198.41.40.0,22
lacnic,198.41.44.0,23
lacnic,198.41.46.0,24
lacnic,199.103.102.0,24
lacnic,200.0.66.0,24
lacnic,200.0.82.0,24
lacnic,200.0.108.0,24
lacnic,200.0.115.0,24
lacnic,200.0.116.0,23
lacnic,200.0.120.0,24
lacnic,200.0.121.0,24
lacnic,200.0.122.0,23
lacnic,200.0.124.0,24
lacnic,200.0.140.0,23
lacnic,200.0.144.0,23
lacnic,200.0.146.0,24
lacnic,200.0.147.0,24
lacnic,200.0.150.0,23
lacnic,200.0.152.0,24
lacnic,200.0.153.0,24
lacnic,200.0.154.0,24
lacnic,200.0.155.0,24
lacnic,200.0.156.0,24
lacnic,200.0.157.0,24
lacnic,200.0.158.0,24
lacnic,200.0.159.0,24
lacnic,200.0.160.0,22
lacnic,200.0.174.0,24
lacnic,200.1.16.0,20
lacnic,200.1.115.0,24
lacnic,200.1.120.0,22
lacnic,200.1.128.0,24
lacnic,200.1.129.0,24
lacnic,200.1.130.0,24
lacnic,200.1.131.0,24
lacnic,200.1.132.0,22
lacnic,200.1.136.0,22
lacnic,200.1.140.0,22
lacnic,200.1.174.0,24
lacnic,200.2.0.0,21
lacnic,200.2.28.0,22
lacnic,200.2.72.0,21
lacnic,200.2.80.0,21
lacnic,200.2.88.0,23
lacnic,200.2.90.0,24
lacnic,200.2.91.0,24
lacnic,200.2.92.0,23
lacnic,200.2.94.0,23
lacnic,200.2.96.0,23
lacnic,200.2.98.0,24
lacnic,200.2.99.0,24
lacnic,200.2.104.0,21
lacnic,200.2.112.0,21
lacnic,200.6.18.0,24
lacnic,200.6.33.0,24
lacnic,200.6.53.0,24
lacnic,200.6.54.0,24
lacnic,200.6.64.0,24
lacnic,200.6.65.0,24
lacnic,200.6.66.0,23
lacnic,200.6.68.0,22
lacnic,200.6.72.0,22
lacnic,200.6.76.0,23
lacnic,200.6.78.0,24
lacnic,200.7.4.0,22
lacnic,200.9.3.0,24
lacnic,200.9.64.0,24
lacnic,200.9.73.0,24
lacnic,200.9.81.0,24
lacnic,200.9.97.0,24
lacnic,200.9.98.0,23
lacnic,200.9.100.0,24
lacnic,200.9.101.0,24
lacnic,200.9.108.0,22
lacnic,200.9.114.0,24
lacnic,200.9.122.0,24
lacnic,200.9.128.0,24
lacnic,200.9.141.0,24
lacnic,200.9.142.0,24
lacnic,200.9.145.0,24
lacnic,200.9.146.0,24
lacnic,200.9.150.0,24
lacnic,200.9.152.0,24
lacnic,200.9.153.0,24
lacnic,200.9.177.0,24
lacnic,200.9.178.0,23
lacnic,200.9.180.0,24
lacnic,200.9.193.0,24
lacnic,200.9.195.0,24
lacnic,200.9.196.0,23
lacnic,200.9.198.0,24
lacnic,200.9.201.0,24
lacnic,200.9.204.0,24
lacnic,200.9.205.0,24
lacnic,200.9.215.0,24
lacnic,200.9.225.0,24
lacnic,200.9.228.0,24
lacnic,200.9.230.0,23
lacnic,200.9.232.0,23
lacnic,200.9.234.0,24
lacnic,200.9.238.0,23
lacnic,200.9.240.0,23
lacnic,200.9.247.0,24
lacnic,200.9.250.0,23
lacnic,200.10.8.0,22
lacnic,200.10.12.0,23
lacnic,200.10.14.0,24
lacnic,200.10.16.0,21
lacnic,200.10.24.0,22
lacnic,200.10.158.0,24
lacnic,200.10.167.0,24
lacnic,200.10.168.0,22
lacnic,200.10.172.0,24
lacnic,200.10.182.0,24
lacnic,200.10.184.0,24
lacnic,200.10.190.0,24
lacnic,200.10.195.0,24
lacnic,200.10.208.0,24
lacnic,200.10.211.0,24
lacnic,200.10.220.0,22
lacnic,200.10.232.0,24
lacnic,200.10.238.0,24
lacnic,200.10.242.0,24
lacnic,200.10.251.0,24
lacnic,200.10.252.0,23
lacnic,200.10.255.0,24
lacnic,200.12.16.0,21
lacnic,200.12.24.0,22
lacnic,200.12.129.0,24
lacnic,200.12.130.0,24
lacnic,200.12.132.0,24
lacnic,200.12.140.0,23
lacnic,200.12.142.0,24
lacnic,200.12.143.0,24
lacnic,200.12.144.0,23
lacnic,200.12.147.0,24
