region,version,ip,prefixlength
afrinic,ipv4,102.135.189.0,24
afrinic,ipv4,102.218.252.0,22
afrinic,ipv4,102.220.222.0,24
afrinic,ipv4,102.223.6.0,24
afrinic,ipv4,192.145.186.0,23
afrinic,ipv4,196.3.90.0,24
afrinic,ipv4,196.49.38.0,24
afrinic,ipv4,196.49.84.0,24
afrinic,ipv4,196.60.6.0,24
afrinic,ipv4,196.60.7.0,24
afrinic,ipv4,196.60.84.0,24
afrinic,ipv4,196.216.212.0,24
afrinic,ipv6,2001:43f8:d70::,48
afrinic,ipv6,2001:43f8:d71::,48
afrinic,ipv6,2001:43f8:1470::,48
afrinic,ipv6,2001:43fc:a000::,48
afrinic,ipv6,2001:43fd:c000::,48
afrinic,ipv6,2001:43fe:c000::,48
afrinic,ipv6,2001:43ff:8000::,44
