region,ip,prefixlength
apnic,1.2.2.0,24
apnic,1.2.8.0,24
apnic,1.4.4.0,24
apnic,14.1.96.0,22
apnic,43.225.84.0,22
apnic,43.242.168.0,22
apnic,43.252.48.0,22
apnic,43.252.56.0,22
apnic,45.125.16.0,22
apnic,45.248.84.0,22
apnic,103.7.28.0,22
apnic,103.9.8.0,22
apnic,103.29.29.0,24
apnic,103.30.200.0,22
apnic,103.38.56.0,22
apnic,103.44.56.0,22
apnic,103.48.202.0,23
apnic,103.84.204.0,23
apnic,103.85.20.0,22
apnic,103.90.173.0,24
apnic,103.97.32.0,22
apnic,103.99.40.0,23
apnic,103.104.172.0,22
apnic,103.116.206.0,23
apnic,103.118.173.0,24
apnic,103.119.115.0,24
apnic,103.121.92.0,22
apnic,103.121.250.0,24
apnic,103.130.152.0,24
apnic,103.134.12.0,24
apnic,103.137.60.0,24
apnic,103.137.149.0,24
apnic,103.139.113.0,24
apnic,103.140.228.0,23
apnic,103.143.31.0,24
apnic,103.149.110.0,23
apnic,103.149.181.0,24
apnic,103.151.150.0,23
apnic,103.151.178.0,23
apnic,103.151.206.0,23
apnic,103.151.228.0,23
apnic,103.152.14.0,23
apnic,103.153.4.0,23
apnic,103.153.160.0,23
apnic,103.155.214.0,23
apnic,103.159.80.0,23
apnic,103.161.138.0,23
apnic,103.166.246.0,23
apnic,103.170.210.0,23
apnic,103.172.191.0,24
apnic,103.175.14.0,23
apnic,103.181.164.0,23
apnic,103.184.44.0,23
apnic,103.195.148.0,22
apnic,103.205.162.0,24
apnic,103.215.48.0,22
apnic,103.215.100.0,22
apnic,103.224.80.0,22
apnic,103.233.44.0,22
apnic,103.242.132.0,22
apnic,103.252.172.0,22
apnic,120.88.8.0,21
apnic,144.48.220.0,22
apnic,144.48.252.0,22
apnic,163.53.220.0,22
apnic,192.124.154.0,24
apnic,202.0.176.0,22
apnic,202.12.19.0,24
apnic,202.14.235.0,24
apnic,202.14.236.0,23
apnic,202.14.238.0,24
apnic,202.38.128.0,23
apnic,202.38.132.0,23
apnic,202.38.134.0,24
apnic,202.38.135.0,24
apnic,202.38.138.0,24
apnic,202.38.140.0,23
apnic,202.38.146.0,23
apnic,202.38.152.0,23
apnic,202.38.160.0,23
apnic,202.38.164.0,22
apnic,202.38.171.0,24
apnic,202.38.176.0,23
apnic,202.63.248.0,22
apnic,202.69.4.0,22
apnic,202.91.128.0,22
apnic,202.122.128.0,24
apnic,202.125.107.0,24
apnic,202.127.0.0,23
apnic,202.127.2.0,24
apnic,202.127.3.0,24
apnic,202.127.4.0,24
apnic,202.127.5.0,24
apnic,202.127.6.0,23
apnic,202.127.12.0,22
apnic,202.127.192.0,23
apnic,202.127.208.0,24
apnic,203.90.0.0,22
apnic,203.119.80.0,22
apnic,203.119.85.0,24
apnic,203.119.128.0,17
apnic,203.161.180.0,24
apnic,203.174.7.0,24
apnic,203.208.16.0,22
ripencc,91.234.36.0,24
