region,ip,prefixlength,org
lacnic,2802::,30,n/a
lacnic,2800:e0::,28,n/a
lacnic,2800:1d0::,32,n/a
lacnic,2800:1e0::,32,n/a
lacnic,2800:260::,28,n/a
lacnic,2800:310::,32,n/a
lacnic,2800:480::,29,n/a
lacnic,2800:490::,32,n/a
lacnic,2800:580::,32,n/a
lacnic,2800:5b0::,32,n/a
lacnic,2800:5c0::,32,n/a
lacnic,2800:680::,32,n/a
lacnic,2800:6e0::,32,n/a
lacnic,2800:800::,32,n/a
lacnic,2800:8b0::,32,n/a
lacnic,2800:950::,32,n/a
lacnic,2800:9f0::,32,n/a
lacnic,2800:ac0::,32,n/a
lacnic,2800:ae0::,32,n/a
lacnic,2800:b40::,32,n/a
lacnic,2800:b70::,32,n/a
lacnic,2803:190::,32,n/a
lacnic,2803:1e0::,32,n/a
lacnic,2803:240::,32,n/a
lacnic,2803:2a0::,32,n/a
lacnic,2803:310::,32,n/a
lacnic,2803:3e0::,32,n/a
lacnic,2803:960::,32,n/a
lacnic,2803:990::,32,n/a
lacnic,2803:a80::,32,n/a
lacnic,2803:b10::,32,n/a
lacnic,2803:c20::,32,n/a
lacnic,2803:c40::,32,n/a
lacnic,2803:d80::,29,n/a
lacnic,2803:e80::,32,n/a
lacnic,2001:13f8::,32,n/a
lacnic,2803:1010::,32,n/a
lacnic,2803:1210::,32,n/a
lacnic,2803:1240::,32,n/a
lacnic,2803:1580::,32,n/a
lacnic,2803:15c0::,32,n/a
lacnic,2803:1710::,32,n/a
lacnic,2803:1780::,32,n/a
lacnic,2803:17a0::,32,n/a
lacnic,2803:1800::,32,n/a
lacnic,2803:1840::,32,n/a
lacnic,2803:1860::,32,n/a
lacnic,2803:1990::,32,n/a
lacnic,2803:1a00::,32,n/a
lacnic,2803:1a90::,32,n/a
lacnic,2803:1c90::,32,n/a
lacnic,2803:1d10::,32,n/a
lacnic,2803:1e90::,32,n/a
lacnic,2803:2060::,32,n/a
lacnic,2803:2090::,32,n/a
lacnic,2803:2180::,32,n/a
lacnic,2803:21e0::,32,n/a
lacnic,2803:2310::,32,n/a
lacnic,2803:24c0::,32,n/a
lacnic,2803:2510::,32,n/a
lacnic,2803:2640::,32,n/a
lacnic,2803:26c0::,32,n/a
lacnic,2803:28c0::,32,n/a
lacnic,2803:2990::,32,n/a
lacnic,2803:2a80::,32,n/a
lacnic,2803:2ce0::,32,n/a
lacnic,2803:3190::,32,n/a
lacnic,2803:31a0::,32,n/a
lacnic,2803:33e0::,32,n/a
lacnic,2803:3960::,32,n/a
lacnic,2803:3d60::,32,n/a
lacnic,2803:3dc0::,32,n/a
lacnic,2803:3e80::,32,n/a
lacnic,2803:3fe0::,32,n/a
lacnic,2803:41a0::,32,n/a
lacnic,2803:4310::,32,n/a
lacnic,2803:4340::,32,n/a
lacnic,2803:4620::,32,n/a
lacnic,2803:4890::,32,n/a
lacnic,2803:4a90::,32,n/a
lacnic,2803:4d20::,32,n/a
lacnic,2803:4de0::,32,n/a
lacnic,2803:53e0::,32,n/a
lacnic,2803:5640::,32,n/a
lacnic,2803:5960::,32,n/a
lacnic,2803:5ae0::,32,n/a
lacnic,2803:5be0::,32,n/a
lacnic,2803:5d20::,32,n/a
lacnic,2803:5ea0::,32,n/a
lacnic,2803:5ee0::,32,n/a
lacnic,2803:5fa0::,32,n/a
lacnic,2803:6090::,32,n/a
lacnic,2803:6290::,32,n/a
lacnic,2803:6460::,32,n/a
lacnic,2803:6560::,32,n/a
lacnic,2803:6700::,32,n/a
lacnic,2803:6810::,32,n/a
lacnic,2803:6960::,32,n/a
lacnic,2803:6a60::,32,n/a
lacnic,2803:6c90::,32,n/a
lacnic,2803:6d10::,32,n/a
lacnic,2803:6f80::,32,n/a
lacnic,2803:6fa0::,32,n/a
lacnic,2803:7110::,32,n/a
lacnic,2803:7290::,32,n/a
lacnic,2803:74e0::,32,n/a
lacnic,2803:7640::,32,n/a
lacnic,2803:7820::,32,n/a
lacnic,2803:7ba0::,32,n/a
lacnic,2803:7c60::,32,n/a
lacnic,2803:7e60::,32,n/a
lacnic,2803:7f10::,32,n/a
lacnic,2803:8190::,32,n/a
lacnic,2803:8290::,32,n/a
lacnic,2803:8340::,32,n/a
lacnic,2803:8400::,32,n/a
lacnic,2803:84c0::,32,n/a
lacnic,2803:84e0::,32,n/a
lacnic,2803:8580::,32,n/a
lacnic,2803:85e0::,32,n/a
lacnic,2803:87a0::,32,n/a
lacnic,2803:8980::,32,n/a
lacnic,2803:8b00::,32,n/a
lacnic,2803:8b80::,32,n/a
lacnic,2803:8ca0::,32,n/a
lacnic,2803:9060::,32,n/a
lacnic,2803:9110::,32,n/a
lacnic,2803:9190::,32,n/a
lacnic,2803:9260::,32,n/a
lacnic,2803:9410::,32,n/a
lacnic,2803:9460::,32,n/a
lacnic,2803:94e0::,32,n/a
lacnic,2803:99e0::,32,n/a
lacnic,2803:9a80::,32,n/a
lacnic,2803:9f10::,32,n/a
lacnic,2803:a060::,32,n/a
lacnic,2803:a140::,32,n/a
lacnic,2803:a190::,32,n/a
lacnic,2803:a5c0::,32,n/a
lacnic,2803:a740::,32,n/a
