region,version,ip,prefixlength
lacnic,ipv4,45.71.156.0,22
lacnic,ipv4,45.234.112.0,22
lacnic,ipv4,131.72.112.0,22
lacnic,ipv4,131.221.144.0,22
lacnic,ipv4,138.99.212.0,22
lacnic,ipv4,138.219.140.0,22
lacnic,ipv4,161.0.96.0,20
lacnic,ipv4,161.22.48.0,21
lacnic,ipv4,170.245.0.0,22
lacnic,ipv4,186.2.176.0,20
lacnic,ipv4,186.148.216.0,21
lacnic,ipv4,186.190.232.0,22
lacnic,ipv4,186.190.240.0,20
lacnic,ipv4,190.2.128.0,19
lacnic,ipv4,190.2.160.0,19
lacnic,ipv4,190.4.128.0,19
lacnic,ipv4,190.4.160.0,19
lacnic,ipv4,190.13.120.0,21
lacnic,ipv4,190.88.0.0,18
lacnic,ipv4,190.88.64.0,18
lacnic,ipv4,190.88.128.0,17
lacnic,ipv4,190.105.192.0,22
lacnic,ipv4,190.112.224.0,20
lacnic,ipv4,190.112.240.0,20
lacnic,ipv4,190.121.208.0,20
lacnic,ipv4,190.121.240.0,20
lacnic,ipv4,190.123.20.0,22
lacnic,ipv4,190.185.0.0,18
lacnic,ipv4,200.6.56.0,21
lacnic,ipv4,200.26.192.0,20
lacnic,ipv4,200.26.208.0,20
lacnic,ipv4,200.124.128.0,20
lacnic,ipv4,200.124.144.0,20
lacnic,ipv4,216.152.160.0,20
lacnic,ipv6,2800:2e0::,32
lacnic,ipv6,2800:530::,32
lacnic,ipv6,2800:9e0::,32
lacnic,ipv6,2800:a20::,32
lacnic,ipv6,2803:1100::,32
lacnic,ipv6,2803:3040::,32
lacnic,ipv6,2803:3420::,32
lacnic,ipv6,2803:4500::,32
lacnic,ipv6,2803:4d80::,32
lacnic,ipv6,2803:9600::,32
lacnic,ipv6,2803:9f20::,32
lacnic,ipv6,2803:f500::,32
ripencc,ipv4,45.8.104.0,22
ripencc,ipv4,81.29.0.0,20
ripencc,ipv4,185.149.84.0,22
ripencc,ipv4,185.185.184.0,22
ripencc,ipv4,193.23.16.0,22
ripencc,ipv4,217.78.240.0,20
ripencc,ipv6,2a07:6640::,29
ripencc,ipv6,2a0b:5f80::,29
ripencc,ipv6,2a0f:5680::,29
