region,ip,prefixlength,org
arin,104.254.80.0,21,n/a
arin,137.98.0.0,16,n/a
arin,156.137.0.0,16,n/a
arin,165.72.0.0,16,n/a
arin,198.141.0.0,16,n/a
arin,199.40.0.0,15,n/a
arin,204.79.184.0,24,n/a
ripencc,2.58.204.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,2.59.220.0,22,n/a
ripencc,5.1.56.0,21,n/a
ripencc,5.39.200.0,22,n/a
ripencc,5.43.224.0,21,cz.host-telecom;Host-Telecom.com s.r.o.
ripencc,5.45.56.0,21,cz.asw;AVAST Software s.r.o.
ripencc,5.53.8.0,21,cz.poda;PODA a.s.
ripencc,5.59.0.0,16,n/a
ripencc,5.102.48.0,20,n/a
ripencc,5.104.16.0,21,"cz.klfree;FreeTel, s.r.o."
ripencc,5.145.104.0,21,"cz.spcss;Statni pokladna Centrum sdilenych sluzeb, s.p."
ripencc,5.145.144.0,21,n/a
ripencc,5.152.132.0,22,n/a
ripencc,5.180.196.0,22,n/a
ripencc,5.180.200.0,22,cz.bydzovsky;Bydzovsky s.r.o.
ripencc,5.181.92.0,22,cz.uvt;UVT Internet s.r.o.
ripencc,5.181.244.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,5.182.148.0,22,n/a
ripencc,5.183.12.0,22,n/a
ripencc,5.187.34.0,24,"cz.nic;CZ.NIC, z.s.p.o."
ripencc,5.198.128.0,22,"cz.adminit;AdminIT, s. r. o."
ripencc,5.198.132.0,22,n/a
ripencc,5.252.40.0,22,n/a
ripencc,31.7.240.0,21,n/a
ripencc,31.10.56.0,21,n/a
ripencc,31.14.72.0,22,cz.asw;AVAST Software s.r.o.
ripencc,31.15.8.0,21,n/a
ripencc,31.28.128.0,19,cz.poda;PODA a.s.
ripencc,31.30.0.0,16,n/a
ripencc,31.31.72.0,21,n/a
ripencc,31.31.224.0,19,n/a
ripencc,31.41.200.0,21,n/a
ripencc,31.47.96.0,20,"cz.klfree;FreeTel, s.r.o."
ripencc,31.148.0.0,16,cz.alfatelecom;ALFA TELECOM s.r.o.
ripencc,31.169.128.0,17,n/a
ripencc,31.170.176.0,21,n/a
ripencc,31.177.24.0,21,"cz.supro-net;SUPRO, spol. s r.o."
ripencc,31.186.184.0,21,"cz.unient;Spinoco Czech Republic, a.s."
ripencc,31.192.64.0,19,n/a
ripencc,31.222.0.0,20,n/a
ripencc,37.9.192.0,21,"cz.inext;InterneXt 2000, s.r.o."
ripencc,37.44.16.0,20,cz.matrigo;Matrigo s.r.o.
ripencc,37.44.208.0,22,cz.blue4;Edera Group a.s.
ripencc,37.46.80.0,21,"cz.ignum;Webglobe, s.r.o."
ripencc,37.46.208.0,21,n/a
ripencc,37.48.0.0,18,cz.radiomobil;T-Mobile Czech Republic a.s.
ripencc,37.77.145.0,24,cz.likemedia;Like Media s.r.o.
ripencc,37.77.149.0,24,cz.splynx10;Splynx s.r.o.
ripencc,37.77.224.0,19,"cz.wicnet;Wic-Net, s.r.o."
ripencc,37.140.220.0,24,cz.profisms;ProfiSMS s.r.o.
ripencc,37.143.112.0,21,n/a
ripencc,37.156.184.0,22,cz.asw;AVAST Software s.r.o.
ripencc,37.157.192.0,21,n/a
ripencc,37.188.128.0,17,n/a
ripencc,37.205.8.0,21,n/a
ripencc,37.221.68.0,22,"cz.inftele;Infinity Telecom, s.r.o."
ripencc,37.221.88.0,22,cz.ict;AUTOCONT a.s.
ripencc,37.221.116.0,22,cz.ixoxi;IXOXI s.r.o.
ripencc,37.221.240.0,20,n/a
ripencc,37.235.96.0,20,n/a
ripencc,45.8.40.0,22,"cz.wagpayment;W.A.G. PAYMENT SOLUTIONS, A.S."
ripencc,45.10.97.0,24,"cz.active24;ACTIVE 24, s.r.o."
ripencc,45.11.132.0,22,"cz.abak;ABAK, Co.Ltd."
ripencc,45.12.24.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.14.156.0,22,"cz.abak;ABAK, Co.Ltd."
ripencc,45.15.41.0,24,n/a
ripencc,45.15.56.0,22,cz.eurosignal2;Druzstvo EUROSIGNAL
ripencc,45.66.52.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.81.42.0,23,n/a
ripencc,45.81.92.0,22,n/a
ripencc,45.81.96.0,22,cz.vpsarea;GAMEKO.cz s.r.o.
ripencc,45.82.152.0,22,n/a
ripencc,45.82.156.0,22,n/a
ripencc,45.82.232.0,22,n/a
ripencc,45.83.112.0,22,n/a
ripencc,45.83.124.0,22,n/a
ripencc,45.83.132.0,22,n/a
ripencc,45.83.136.0,22,n/a
ripencc,45.83.144.0,22,n/a
ripencc,45.83.152.0,22,n/a
ripencc,45.83.212.0,22,"cz.abak;ABAK, Co.Ltd."
ripencc,45.84.28.0,22,cz.itservices;It services company s.r.o.
ripencc,45.84.164.0,22,n/a
ripencc,45.85.172.0,22,"cz.softexncp;SOFTEX NCP, s.r.o."
ripencc,45.85.252.0,22,cz.uvt;UVT Internet s.r.o.
ripencc,45.87.12.0,22,"cz.abak;ABAK, Co.Ltd."
ripencc,45.87.116.0,22,"cz.inftele;Infinity Telecom, s.r.o."
ripencc,45.87.236.0,22,"cz.cendis;CENDIS, s.p."
ripencc,45.89.88.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.90.100.0,22,"cz.h17;H17 Networks, s.r.o."
ripencc,45.91.0.0,22,cz.mtu;Martin Pustka
ripencc,45.91.28.0,22,cz.uvt;UVT Internet s.r.o.
ripencc,45.91.180.0,22,cz.pghub;Playground HUB s.r.o.
ripencc,45.92.236.0,22,n/a
ripencc,45.93.152.0,22,n/a
ripencc,45.129.24.0,22,cz.miramo;MIRAMO spol. s.r.o.
ripencc,45.129.104.0,22,cz.ineracz;INERA.CZ s.r.o.
ripencc,45.129.156.0,22,n/a
ripencc,45.130.248.0,22,"cz.tkrjasek;TKR Jasek, s.r.o."
ripencc,45.132.2.0,24,n/a
ripencc,45.132.148.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.132.160.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.133.137.0,24,n/a
ripencc,45.134.216.0,22,n/a
ripencc,45.135.84.0,22,n/a
ripencc,45.135.152.0,22,cz.globecorp;GLOBECORP a.s.
ripencc,45.135.180.0,22,n/a
ripencc,45.137.128.0,22,n/a
ripencc,45.138.104.0,22,n/a
ripencc,45.138.220.0,22,n/a
ripencc,45.139.36.0,22,n/a
ripencc,45.139.44.0,22,n/a
ripencc,45.139.56.0,22,n/a
ripencc,45.139.64.0,22,n/a
ripencc,45.139.88.0,22,n/a
ripencc,45.140.24.0,22,cz.vissado;Vissado s.r.o.
ripencc,45.140.40.0,22,cz.vissado;Vissado s.r.o.
ripencc,45.140.240.0,22,n/a
ripencc,45.141.248.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.142.48.0,22,n/a
ripencc,45.143.240.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.145.220.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.146.108.0,22,n/a
ripencc,45.147.164.0,22,n/a
ripencc,45.148.80.0,22,"cz.active24;ACTIVE 24, s.r.o."
ripencc,45.150.36.0,22,n/a
ripencc,45.153.160.0,22,n/a
ripencc,45.153.192.0,22,n/a
ripencc,45.155.12.0,22,cz.digiact;DIGITAL ACTION s.r.o.
ripencc,45.156.44.0,22,n/a
ripencc,45.156.112.0,22,cz.global;Global Tech Distribution s.r.o.
ripencc,45.158.88.0,22,n/a
ripencc,45.158.224.0,22,n/a
ripencc,45.159.108.0,22,cz.fibertelecom;FIBER TELECOM s.r.o.
ripencc,45.159.116.0,22,n/a
ripencc,46.8.4.0,22,n/a
ripencc,46.8.8.0,21,n/a
ripencc,46.8.16.0,20,n/a
ripencc,46.8.32.0,19,n/a
ripencc,46.8.64.0,19,n/a
ripencc,46.8.96.0,21,n/a
ripencc,46.8.104.0,21,n/a
ripencc,46.8.112.0,20,n/a
ripencc,46.8.128.0,19,n/a
ripencc,46.8.160.0,20,n/a
ripencc,46.8.176.0,21,n/a
ripencc,46.8.184.0,21,n/a
ripencc,46.8.192.0,23,n/a
ripencc,46.8.194.0,23,n/a
ripencc,46.8.196.0,22,n/a
ripencc,46.8.200.0,22,n/a
ripencc,46.8.204.0,22,n/a
ripencc,46.8.208.0,20,n/a
ripencc,46.8.224.0,19,n/a
ripencc,46.13.0.0,16,cz.radiomobil;T-Mobile Czech Republic a.s.
ripencc,46.16.120.0,21,cz.marcomeko;MaRcom-Eko s.r.o.
ripencc,46.23.48.0,20,n/a
ripencc,46.23.128.0,20,n/a
ripencc,46.28.104.0,21,n/a
ripencc,46.29.184.0,21,cz.coolhousing;Coolhousing s.r.o.
ripencc,46.29.224.0,21,n/a
ripencc,46.30.64.0,21,"cz.becolink;BECO Link,spol.s.r.o."
ripencc,46.30.88.0,21,cz.sukl;State Institute for Drug Control
ripencc,46.30.144.0,21,n/a
ripencc,46.30.232.0,21,cz.trionet;TRIOPTIMUM s.r.o.
ripencc,46.33.96.0,19,n/a
ripencc,46.36.32.0,19,n/a
ripencc,46.39.160.0,19,cz.nej;Nej.cz s.r.o.
ripencc,46.47.128.0,18,cz.poda;PODA a.s.
ripencc,46.135.0.0,16,n/a
ripencc,46.167.192.0,18,n/a
ripencc,46.183.56.0,21,n/a
ripencc,46.183.64.0,21,n/a
ripencc,46.226.16.0,21,n/a
ripencc,46.227.8.0,21,n/a
ripencc,46.227.168.0,21,cz.merit-group;MERIT GROUP a.s
ripencc,46.228.16.0,20,"cz.orkasystems;ORKA systems, s.r.o."
