region,ip,prefixlength
ripencc,31.130.168.0,21
ripencc,31.132.16.0,20
ripencc,31.133.8.0,21
ripencc,31.134.216.0,21
ripencc,46.149.112.0,20
ripencc,46.173.192.0,20
ripencc,46.174.16.0,21
ripencc,46.174.32.0,21
ripencc,46.174.56.0,21
ripencc,46.174.152.0,21
ripencc,46.175.88.0,21
ripencc,46.175.176.0,21
ripencc,62.182.232.0,21
ripencc,77.87.232.0,21
ripencc,77.87.240.0,21
ripencc,78.31.24.0,21
ripencc,79.110.32.0,20
ripencc,81.161.64.0,20
ripencc,81.162.192.0,20
ripencc,89.22.48.0,24
ripencc,89.22.64.0,19
ripencc,91.192.32.0,22
ripencc,91.193.132.0,22
ripencc,91.195.106.0,23
ripencc,91.195.202.0,23
ripencc,91.197.116.0,22
ripencc,91.199.164.0,24
ripencc,91.199.207.0,24
ripencc,91.202.52.0,22
ripencc,91.204.83.0,24
ripencc,91.205.195.0,24
ripencc,91.206.91.0,24
ripencc,91.207.188.0,23
ripencc,91.209.101.0,24
ripencc,91.210.16.0,22
ripencc,91.213.10.0,24
ripencc,91.213.122.0,24
ripencc,91.213.143.0,24
ripencc,91.213.160.0,24
ripencc,91.213.211.0,24
ripencc,91.214.156.0,22
ripencc,91.214.192.0,22
ripencc,91.215.12.0,22
ripencc,91.216.168.0,24
ripencc,91.216.179.0,24
ripencc,91.217.52.0,23
ripencc,91.217.96.0,23
ripencc,91.218.188.0,22
ripencc,91.218.232.0,22
ripencc,91.219.44.0,22
ripencc,91.219.244.0,22
ripencc,91.220.122.0,24
ripencc,91.220.201.0,24
ripencc,91.221.2.0,23
ripencc,91.221.46.0,23
ripencc,91.221.72.0,23
ripencc,91.221.148.0,23
ripencc,91.221.212.0,23
ripencc,91.222.52.0,22
ripencc,91.223.74.0,24
ripencc,91.224.48.0,23
ripencc,91.224.58.0,23
ripencc,91.224.90.0,23
ripencc,91.225.84.0,22
ripencc,91.225.128.0,22
ripencc,91.226.124.0,22
ripencc,91.226.216.0,22
ripencc,91.227.7.0,24
ripencc,91.227.96.0,23
ripencc,91.227.134.0,23
ripencc,91.227.232.0,22
ripencc,91.228.44.0,22
ripencc,91.228.100.0,24
ripencc,91.229.252.0,22
ripencc,91.230.94.0,23
ripencc,91.230.144.0,24
ripencc,91.231.28.0,22
ripencc,91.231.171.0,24
ripencc,91.232.82.0,24
ripencc,91.232.84.0,22
ripencc,91.232.212.0,22
ripencc,91.232.247.0,24
ripencc,91.233.208.0,22
ripencc,91.234.162.0,23
ripencc,91.234.248.0,22
ripencc,91.235.183.0,24
ripencc,91.235.200.0,23
ripencc,91.236.40.0,22
ripencc,91.237.51.0,24
ripencc,91.237.236.0,22
ripencc,91.239.187.0,24
ripencc,91.239.200.0,22
ripencc,91.239.236.0,23
ripencc,91.240.35.0,24
ripencc,91.241.8.0,22
ripencc,91.241.23.0,24
ripencc,91.245.0.0,22
ripencc,91.245.5.0,24
ripencc,91.245.6.0,23
ripencc,91.245.8.0,21
ripencc,91.245.24.0,21
ripencc,93.157.128.0,21
ripencc,146.102.0.0,16
ripencc,147.32.0.0,16
ripencc,147.33.0.0,16
ripencc,147.161.2.0,23
ripencc,147.228.0.0,16
ripencc,147.230.0.0,16
ripencc,147.231.0.0,16
ripencc,147.251.0.0,16
ripencc,158.194.0.0,16
ripencc,158.196.0.0,16
ripencc,160.216.0.0,16
ripencc,160.217.0.0,16
ripencc,171.25.176.0,24
ripencc,171.25.220.0,23
ripencc,171.25.222.0,24
ripencc,176.97.8.0,21
ripencc,176.97.240.0,21
ripencc,176.98.96.0,20
ripencc,176.98.244.0,22
ripencc,176.98.248.0,22
ripencc,176.98.252.0,22
ripencc,176.101.144.0,20
ripencc,176.102.72.0,21
ripencc,176.107.120.0,21
ripencc,176.114.240.0,20
ripencc,176.122.32.0,20
ripencc,176.123.12.0,22
ripencc,176.123.184.0,22
ripencc,176.124.184.0,22
ripencc,178.213.40.0,21
ripencc,178.213.152.0,21
ripencc,178.216.80.0,21
ripencc,178.216.144.0,21
ripencc,178.217.144.0,21
ripencc,178.217.240.0,21
ripencc,185.0.20.0,23
ripencc,185.1.25.0,24
ripencc,185.1.34.0,24
ripencc,185.1.83.0,24
ripencc,185.1.173.0,24
ripencc,188.191.130.0,23
ripencc,192.91.186.0,24
ripencc,192.108.126.0,24
ripencc,192.108.128.0,24
ripencc,192.108.129.0,24
ripencc,192.111.44.0,24
ripencc,192.124.170.0,22
ripencc,192.124.175.0,20
ripencc,192.124.209.0,24
ripencc,192.124.216.0,24
ripencc,192.146.204.0,24
ripencc,192.162.96.0,22
ripencc,193.0.231.0,24
ripencc,193.8.86.0,23
ripencc,193.16.104.0,24
ripencc,193.17.47.0,24
ripencc,193.17.248.0,22
ripencc,193.19.176.0,22
ripencc,193.29.206.0,24
ripencc,193.32.56.0,24
ripencc,193.33.14.0,23
ripencc,193.33.22.0,23
ripencc,193.33.126.0,23
ripencc,193.35.102.0,23
ripencc,193.35.104.0,22
ripencc,193.58.72.0,21
ripencc,193.84.7.0,24
ripencc,193.84.10.0,24
ripencc,193.84.12.0,22
ripencc,193.84.32.0,20
ripencc,193.84.53.0,24
ripencc,193.84.55.0,21
ripencc,193.84.68.0,24
ripencc,193.84.80.0,22
ripencc,193.84.96.0,22
ripencc,193.84.104.0,22
ripencc,193.84.116.0,23
ripencc,193.84.128.0,23
ripencc,193.84.144.0,20
ripencc,193.84.160.0,20
ripencc,193.84.186.0,24
ripencc,193.84.192.0,19
ripencc,193.84.245.0,24
ripencc,193.84.252.0,24
ripencc,193.104.17.0,24
ripencc,193.104.172.0,24
ripencc,193.104.254.0,24
ripencc,193.105.157.0,22
ripencc,193.107.160.0,22
ripencc,193.107.252.0,22
ripencc,193.108.106.0,22
ripencc,193.109.176.0,21
ripencc,193.138.78.0,24
ripencc,193.138.106.0,24
ripencc,193.138.152.0,22
ripencc,193.150.12.0,22
ripencc,193.150.24.0,23
ripencc,193.150.35.0,24
ripencc,193.150.38.0,23
ripencc,193.161.84.0,22
ripencc,193.164.32.0,18
ripencc,193.164.218.0,23
ripencc,193.169.182.0,23
ripencc,193.201.78.0,23
