region,ip,prefixlength,org
apnic,45.112.84.0,22,n/a
apnic,103.51.164.0,22,n/a
apnic,103.155.232.0,23,n/a
apnic,103.190.102.0,23,n/a
arin,192.69.234.0,24,n/a
arin,198.176.223.0,24,n/a
arin,198.176.224.0,22,n/a
arin,199.103.75.0,24,n/a
arin,199.103.76.0,23,n/a
arin,199.103.93.0,24,n/a
arin,199.103.97.0,24,n/a
arin,199.103.98.0,23,n/a
arin,199.103.107.0,24,n/a
arin,204.79.128.0,24,n/a
arin,204.79.147.0,24,n/a
arin,204.79.148.0,24,n/a
arin,204.79.149.0,24,n/a
arin,204.79.168.0,24,n/a
arin,204.79.171.0,24,n/a
arin,204.79.177.0,24,n/a
arin,204.79.178.0,24,n/a
arin,204.79.187.0,24,n/a
arin,204.79.199.0,24,n/a
arin,204.79.200.0,24,n/a
arin,204.79.235.0,24,n/a
arin,204.79.236.0,24,n/a
arin,204.79.241.0,24,n/a
arin,204.79.242.0,24,n/a
arin,204.154.64.0,21,n/a
arin,204.231.228.0,24,n/a
arin,209.141.224.0,19,n/a
ripencc,2.56.20.0,22,n/a
ripencc,2.56.72.0,22,de.kis57;Koehler Internet Services UG (haftungsbeschraenkt)
ripencc,2.56.76.0,22,de.trusted-colo;Trusted-Service.net GmbH trading as Trusted-Colo GmbH & Co. KG
ripencc,2.56.96.0,22,de.netcup;netcup GmbH
ripencc,2.56.132.0,22,n/a
ripencc,2.56.170.0,24,de.besolutions;be-solutions GmbH
ripencc,2.56.232.0,22,de.lfty;linefinity networks GmbH
ripencc,2.56.236.0,22,n/a
ripencc,2.56.244.0,22,n/a
ripencc,2.56.252.0,23,de.terratransit;TerraTransit AG
ripencc,2.56.254.0,24,de.terratransit;TerraTransit AG
ripencc,2.57.92.0,22,n/a
ripencc,2.57.116.0,22,de.norderstedt;wilhelm.tel GmbH
ripencc,2.57.144.0,22,de.vodafone;Vodafone Group Services GmbH
ripencc,2.57.160.0,22,de.eswdavid;ESW David Beteiligungsgesellschaft mbH
ripencc,2.58.12.0,22,n/a
ripencc,2.58.32.0,22,de.kis57;Koehler Internet Services UG (haftungsbeschraenkt)
ripencc,2.58.36.0,22,n/a
ripencc,2.58.52.0,22,n/a
ripencc,2.58.56.0,24,n/a
ripencc,2.58.72.0,22,n/a
ripencc,2.58.80.0,22,n/a
ripencc,2.58.100.0,22,de.mawa-solutions;mawa-solutions GmbH
ripencc,2.58.112.0,22,n/a
ripencc,2.58.196.0,22,n/a
ripencc,2.58.200.0,22,n/a
ripencc,2.58.244.0,22,n/a
ripencc,2.58.248.0,22,n/a
ripencc,2.59.28.0,22,n/a
ripencc,2.59.32.0,22,n/a
ripencc,2.59.44.0,22,de.croit;croit GmbH
ripencc,2.59.84.0,22,n/a
ripencc,2.59.132.0,22,de.dataforest;dataforest GmbH
ripencc,2.59.148.0,23,de.terratransit;TerraTransit AG
ripencc,2.59.150.0,24,de.terratransit;TerraTransit AG
ripencc,2.59.156.0,22,n/a
ripencc,2.160.0.0,12,de.detemobil;Telekom Deutschland GmbH
ripencc,2.200.0.0,13,n/a
ripencc,2.208.0.0,13,n/a
ripencc,2.240.0.0,13,n/a
ripencc,5.1.64.0,19,n/a
ripencc,5.1.120.0,21,n/a
ripencc,5.1.128.0,17,n/a
ripencc,5.4.0.0,14,n/a
ripencc,5.9.0.0,16,n/a
ripencc,5.10.0.0,21,de.komdsl;Thuega SmartService GmbH
ripencc,5.10.8.0,21,de.sw-konstanz;Stadtwerke Konstanz GmbH
ripencc,5.10.40.0,21,n/a
ripencc,5.10.48.0,20,n/a
ripencc,5.10.160.0,19,n/a
ripencc,5.10.208.0,20,n/a
ripencc,5.11.48.0,21,n/a
ripencc,5.22.144.0,21,n/a
ripencc,5.22.240.0,21,n/a
ripencc,5.28.40.0,21,n/a
ripencc,5.28.64.0,18,de.telecolumbus;Tele Columbus AG
ripencc,5.28.192.0,18,n/a
ripencc,5.32.160.0,21,de.ecls;KNISTR GmbH
ripencc,5.32.184.0,21,de.50hertz;50Hertz Transmission GmbH
ripencc,5.34.224.0,21,n/a
ripencc,5.35.224.0,19,de.godaddy;Host Europe GmbH
ripencc,5.39.240.0,21,de.unbelievable;Orange Business Services GmbH
ripencc,5.42.136.0,21,de.odr-tkg;NetCom BW GmbH
ripencc,5.42.196.0,24,n/a
ripencc,5.42.201.0,24,de.willscott;William Scott
ripencc,5.44.96.0,20,n/a
ripencc,5.45.0.0,21,n/a
ripencc,5.45.96.0,20,de.netcup;netcup GmbH
ripencc,5.45.148.0,22,de.nivus;NIVUS GmbH
ripencc,5.45.176.0,21,n/a
ripencc,5.56.16.0,21,n/a
ripencc,5.56.176.0,20,n/a
ripencc,5.56.192.0,18,n/a
ripencc,5.57.40.0,21,n/a
ripencc,5.57.192.0,21,n/a
ripencc,5.61.64.0,21,n/a
ripencc,5.61.80.0,21,de.pironet;CANCOM Managed Services GmbH
ripencc,5.61.128.0,18,n/a
ripencc,5.61.211.0,24,n/a
ripencc,5.62.64.0,21,n/a
ripencc,5.62.96.0,19,n/a
ripencc,5.63.32.0,19,n/a
ripencc,5.63.176.0,21,n/a
ripencc,5.75.128.0,17,n/a
ripencc,5.78.0.0,16,n/a
ripencc,5.83.128.0,19,n/a
ripencc,5.83.160.0,20,n/a
ripencc,5.83.176.0,20,n/a
ripencc,5.100.0.0,18,n/a
ripencc,5.100.128.0,20,n/a
