region,ip,prefixlength,org
ripencc,2a03:c0::,32,n/a
ripencc,2a05:c0::,29,n/a
ripencc,2a13:40::,32,dk.as8;Ask Selmer
ripencc,2001:6c8::,29,dk.teledanmark;TDC Holding A/S
ripencc,2001:878::,29,dk.denet;Danmarks Tekniske Universitet
ripencc,2001:948::,29,n/a
ripencc,2001:b50::,32,dk.connect-me;CONNECT ME A/S
ripencc,2a00:c80::,32,n/a
ripencc,2a00:df0::,32,dk.fab-it;Fab:IT ApS
ripencc,2a00:ef0::,32,dk.kommunedata;KMD A/S
ripencc,2a01:4f0::,32,dk.globalconnect;GlobalConnect A/S
ripencc,2a01:558::,32,dk.comx;DANSK KABEL TV A/S
ripencc,2a01:630::,32,n/a
ripencc,2a01:7e8::,32,dk.globalconnect;GlobalConnect A/S
ripencc,2a02:108::,29,n/a
ripencc,2a02:188::,29,dk.globalconnect;GlobalConnect A/S
ripencc,2a02:460::,32,dk.globalconnect;GlobalConnect A/S
ripencc,2a02:630::,32,dk.seas-nve;FIBIA P/S
ripencc,2a02:6c0::,32,dk.atea;Atea A/S
ripencc,2a02:8e8::,32,n/a
ripencc,2a02:980::,29,dk.teledanmark;TDC Holding A/S
ripencc,2a02:9d0::,32,dk.sentia;Sentia Denmark A/S
ripencc,2a03:300::,29,dk.wnbaps;WNB A/S
ripencc,2a03:d00::,32,n/a
ripencc,2a06:b00::,29,n/a
ripencc,2a07:ec0::,29,n/a
ripencc,2a0b:380::,29,n/a
ripencc,2a0e:e00::,32,n/a
ripencc,2a0f:b40::,29,dk.andelsnet;Andelsnet Aps
ripencc,2a10:e80::,29,dk.volvido;Volvido Hosting Aps
ripencc,2001:1448::,32,dk.sentia;Sentia Denmark A/S
ripencc,2001:14d0::,29,dk.comx;DANSK KABEL TV A/S
ripencc,2001:1580::,32,dk.sonofon;Telenor A/S
ripencc,2001:15f8::,32,n/a
ripencc,2001:4db0::,32,n/a
ripencc,2a00:1040::,32,dk.gigahost;Gigahost ApS
ripencc,2a00:1568::,32,n/a
ripencc,2a00:19f8::,32,dk.herningkommune;Herning Kommune
ripencc,2a00:1b18::,29,dk.dlx;DLX A/S
ripencc,2a00:1b70::,29,n/a
ripencc,2a00:1cf0::,32,n/a
ripencc,2a00:1e08::,32,n/a
ripencc,2a00:1e58::,32,n/a
ripencc,2a00:1e90::,29,dk.bnaa;BOLIGNET-AARHUS F.M.B.A.
ripencc,2a00:1f98::,29,n/a
ripencc,2a00:4020::,32,dk.bornfiber;BornFiber Service Provider ApS
ripencc,2a00:4460::,32,n/a
ripencc,2a00:47e0::,32,dk.moelgaard-netcom;netIP a/s
