region,ip,prefixlength
apnic,2001:df4:3480::,48
ripencc,2001:678:1a::,48
ripencc,2001:678:74::,48
ripencc,2001:678:78::,48
ripencc,2001:67c:b8::,48
ripencc,2001:7f8:1f::,48
ripencc,2001:678:15c::,48
ripencc,2001:678:33c::,48
ripencc,2001:678:51c::,48
ripencc,2001:678:554::,48
ripencc,2001:678:67c::,48
ripencc,2001:678:72c::,48
ripencc,2001:678:960::,48
ripencc,2001:678:9ec::,48
ripencc,2001:678:aec::,48
ripencc,2001:678:bc4::,48
ripencc,2001:678:d10::,48
ripencc,2001:678:dc4::,48
ripencc,2001:678:dc8::,48
ripencc,2001:67c:158::,48
ripencc,2001:67c:184::,48
ripencc,2001:67c:1f4::,48
ripencc,2001:67c:238::,48
ripencc,2001:67c:318::,48
ripencc,2001:67c:328::,48
ripencc,2001:67c:3bc::,48
ripencc,2001:67c:3c0::,48
ripencc,2001:67c:564::,48
ripencc,2001:67c:610::,48
ripencc,2001:67c:65c::,48
ripencc,2001:67c:7a8::,48
ripencc,2001:67c:800::,48
ripencc,2001:67c:89c::,48
ripencc,2001:67c:954::,48
ripencc,2001:67c:96c::,48
ripencc,2001:67c:9c0::,48
ripencc,2001:67c:b48::,48
ripencc,2001:67c:bec::,48
ripencc,2001:67c:1034::,48
ripencc,2001:67c:1068::,48
ripencc,2001:67c:11c0::,48
ripencc,2001:67c:127c::,48
ripencc,2001:67c:12f8::,48
ripencc,2001:67c:1310::,48
ripencc,2001:67c:16a0::,48
ripencc,2001:67c:16a4::,48
ripencc,2001:67c:16cc::,48
ripencc,2001:67c:1744::,48
ripencc,2001:67c:1760::,48
ripencc,2001:67c:18b4::,48
ripencc,2001:67c:1958::,48
ripencc,2001:67c:2174::,48
ripencc,2001:67c:237c::,48
ripencc,2001:67c:23a4::,48
ripencc,2001:67c:23cc::,48
ripencc,2001:67c:24e0::,48
ripencc,2001:67c:257c::,48
ripencc,2001:67c:2664::,48
ripencc,2001:67c:2684::,48
ripencc,2001:67c:2734::,48
ripencc,2001:67c:2768::,48
ripencc,2001:67c:27a8::,48
ripencc,2001:67c:27c4::,48
ripencc,2001:67c:2894::,48
ripencc,2001:67c:28a4::,48
ripencc,2001:67c:28cc::,48
ripencc,2001:67c:2a28::,48
ripencc,2001:67c:2a64::,48
ripencc,2001:67c:2a68::,48
ripencc,2001:67c:2a78::,48
ripencc,2001:67c:2a9c::,48
ripencc,2001:67c:2ae0::,48
ripencc,2001:67c:2b00::,48
ripencc,2001:67c:2b70::,48
ripencc,2001:67c:2d60::,48
ripencc,2001:67c:2ec4::,48
