region,version,ip,prefixlength
afrinic,ipv4,41.96.0.0,12
afrinic,ipv4,41.200.0.0,15
afrinic,ipv4,41.220.144.0,20
afrinic,ipv4,41.221.16.0,20
afrinic,ipv4,41.223.236.0,22
afrinic,ipv4,80.88.12.0,22
afrinic,ipv4,80.246.0.0,20
afrinic,ipv4,80.249.64.0,20
afrinic,ipv4,102.213.56.0,22
afrinic,ipv4,102.218.188.0,22
afrinic,ipv4,102.220.28.0,22
afrinic,ipv4,105.96.0.0,12
afrinic,ipv4,105.235.128.0,20
afrinic,ipv4,129.45.0.0,17
afrinic,ipv4,154.73.92.0,22
afrinic,ipv4,154.121.0.0,16
afrinic,ipv4,154.240.0.0,12
afrinic,ipv4,168.253.96.0,20
afrinic,ipv4,193.194.64.0,19
afrinic,ipv4,196.20.64.0,18
afrinic,ipv4,196.29.40.0,22
afrinic,ipv4,196.41.224.0,19
afrinic,ipv4,197.112.0.0,13
afrinic,ipv4,197.140.0.0,14
afrinic,ipv4,197.200.0.0,13
afrinic,ipv4,213.179.160.0,19
afrinic,ipv6,2001:4340::,32
afrinic,ipv6,2c0f:e8b0::,32
afrinic,ipv6,2c0f:ea88::,32
afrinic,ipv6,2c0f:f000::,32
afrinic,ipv6,2c0f:f858::,32
afrinic,ipv6,2c0f:f940::,32
