region,ip,prefixlength,org
afrinic,41.96.0.0,12,n/a
afrinic,41.200.0.0,15,n/a
afrinic,41.220.144.0,20,n/a
afrinic,41.221.16.0,20,n/a
afrinic,41.223.236.0,22,n/a
afrinic,80.88.12.0,22,n/a
afrinic,80.246.0.0,20,n/a
afrinic,80.249.64.0,20,n/a
afrinic,102.213.56.0,22,n/a
afrinic,102.218.188.0,22,n/a
afrinic,102.220.28.0,22,n/a
afrinic,105.96.0.0,12,n/a
afrinic,105.235.128.0,20,n/a
afrinic,129.45.0.0,17,n/a
afrinic,154.73.92.0,22,n/a
afrinic,154.121.0.0,16,n/a
afrinic,154.240.0.0,12,n/a
afrinic,168.253.96.0,20,n/a
afrinic,193.194.64.0,19,n/a
afrinic,196.20.64.0,18,n/a
afrinic,196.29.40.0,22,n/a
afrinic,196.41.224.0,19,n/a
afrinic,197.112.0.0,13,n/a
afrinic,197.140.0.0,14,n/a
afrinic,197.200.0.0,13,n/a
afrinic,213.179.160.0,19,n/a
