region,version,ip,prefixlength
lacnic,ipv4,45.4.88.0,22
lacnic,ipv4,45.4.200.0,22
lacnic,ipv4,45.6.224.0,22
lacnic,ipv4,45.70.12.0,22
lacnic,ipv4,45.70.56.0,22
lacnic,ipv4,45.70.196.0,22
lacnic,ipv4,45.70.200.0,23
lacnic,ipv4,45.70.202.0,23
lacnic,ipv4,45.70.236.0,22
lacnic,ipv4,45.71.0.0,22
lacnic,ipv4,45.71.36.0,22
lacnic,ipv4,45.71.112.0,22
lacnic,ipv4,45.71.184.0,22
lacnic,ipv4,45.71.200.0,22
lacnic,ipv4,45.71.252.0,22
lacnic,ipv4,45.161.32.0,22
lacnic,ipv4,45.162.72.0,22
lacnic,ipv4,45.163.204.0,22
lacnic,ipv4,45.164.64.0,22
lacnic,ipv4,45.169.144.0,22
lacnic,ipv4,45.170.44.0,22
lacnic,ipv4,45.171.108.0,22
lacnic,ipv4,45.171.120.0,23
lacnic,ipv4,45.171.160.0,22
lacnic,ipv4,45.173.112.0,22
lacnic,ipv4,45.173.228.0,22
lacnic,ipv4,45.175.164.0,22
lacnic,ipv4,45.177.124.0,22
lacnic,ipv4,45.178.36.0,22
lacnic,ipv4,45.179.140.0,22
lacnic,ipv4,45.180.45.0,24
lacnic,ipv4,45.180.46.0,23
lacnic,ipv4,45.180.140.0,22
lacnic,ipv4,45.183.100.0,22
lacnic,ipv4,45.183.136.0,22
lacnic,ipv4,45.183.140.0,22
lacnic,ipv4,45.184.224.0,22
lacnic,ipv4,45.185.160.0,22
lacnic,ipv4,45.186.4.0,22
lacnic,ipv4,45.186.140.0,23
lacnic,ipv4,45.187.0.0,22
lacnic,ipv4,45.188.228.0,22
lacnic,ipv4,45.188.232.0,22
lacnic,ipv4,45.189.56.0,22
lacnic,ipv4,45.189.112.0,22
lacnic,ipv4,45.224.20.0,22
lacnic,ipv4,45.224.96.0,22
lacnic,ipv4,45.224.116.0,22
lacnic,ipv4,45.224.148.0,22
lacnic,ipv4,45.224.152.0,22
lacnic,ipv4,45.225.44.0,22
lacnic,ipv4,45.225.88.0,22
lacnic,ipv4,45.225.104.0,22
lacnic,ipv4,45.226.204.0,22
lacnic,ipv4,45.228.52.0,22
lacnic,ipv4,45.228.172.0,22
lacnic,ipv4,45.228.180.0,22
lacnic,ipv4,45.228.203.0,24
lacnic,ipv4,45.229.4.0,22
lacnic,ipv4,45.229.48.0,22
lacnic,ipv4,45.229.87.0,24
lacnic,ipv4,45.230.240.0,22
lacnic,ipv4,45.231.148.0,22
lacnic,ipv4,45.233.92.0,22
lacnic,ipv4,45.233.100.0,22
lacnic,ipv4,45.235.12.0,22
lacnic,ipv4,45.235.212.0,22
lacnic,ipv4,45.236.104.0,22
lacnic,ipv4,45.236.148.0,22
lacnic,ipv4,45.236.168.0,22
lacnic,ipv4,45.238.56.0,22
lacnic,ipv4,45.239.48.0,22
lacnic,ipv4,45.239.160.0,22
lacnic,ipv4,66.231.64.0,20
lacnic,ipv4,128.201.160.0,22
lacnic,ipv4,131.161.220.0,22
lacnic,ipv4,131.196.8.0,22
lacnic,ipv4,131.196.12.0,22
lacnic,ipv4,131.196.60.0,22
lacnic,ipv4,131.196.112.0,22
lacnic,ipv4,138.59.108.0,22
lacnic,ipv4,138.122.108.0,22
lacnic,ipv4,138.185.136.0,22
lacnic,ipv4,143.255.248.0,22
lacnic,ipv4,160.20.164.0,22
lacnic,ipv4,164.163.48.0,22
lacnic,ipv4,164.163.132.0,22
lacnic,ipv4,164.163.160.0,22
lacnic,ipv4,167.250.180.0,22
lacnic,ipv4,168.194.148.0,22
lacnic,ipv4,168.197.188.0,22
lacnic,ipv4,170.82.112.0,22
lacnic,ipv4,170.82.156.0,22
lacnic,ipv4,170.83.216.0,22
lacnic,ipv4,170.238.0.0,22
lacnic,ipv4,170.239.204.0,22
lacnic,ipv4,170.244.208.0,22
lacnic,ipv4,170.246.84.0,22
lacnic,ipv4,170.254.28.0,22
lacnic,ipv4,177.53.212.0,22
lacnic,ipv4,177.86.142.0,24
lacnic,ipv4,177.126.36.0,22
lacnic,ipv4,177.184.92.0,22
lacnic,ipv4,177.234.192.0,18
lacnic,ipv4,179.0.40.0,22
lacnic,ipv4,179.49.0.0,18
lacnic,ipv4,179.49.200.0,22
lacnic,ipv4,179.51.136.0,22
lacnic,ipv4,179.51.140.0,22
lacnic,ipv4,179.60.48.0,20
lacnic,ipv4,179.60.244.0,22
lacnic,ipv4,179.63.20.0,22
lacnic,ipv4,179.63.148.0,22
lacnic,ipv4,181.39.0.0,16
lacnic,ipv4,181.112.0.0,16
lacnic,ipv4,181.113.0.0,16
lacnic,ipv4,181.175.0.0,16
lacnic,ipv4,181.188.192.0,18
lacnic,ipv4,181.191.232.0,22
lacnic,ipv4,181.196.0.0,16
lacnic,ipv4,181.198.0.0,16
lacnic,ipv4,181.199.0.0,17
lacnic,ipv4,181.211.0.0,16
lacnic,ipv4,181.224.88.0,22
lacnic,ipv4,181.224.172.0,22
lacnic,ipv4,181.232.252.0,23
lacnic,ipv4,181.233.48.0,22
lacnic,ipv4,181.233.76.0,22
lacnic,ipv4,186.3.0.0,18
lacnic,ipv4,186.3.64.0,18
lacnic,ipv4,186.3.128.0,17
lacnic,ipv4,186.4.128.0,17
lacnic,ipv4,186.5.0.0,17
lacnic,ipv4,186.33.128.0,18
lacnic,ipv4,186.42.0.0,17
lacnic,ipv4,186.42.128.0,17
lacnic,ipv4,186.43.128.0,18
lacnic,ipv4,186.43.192.0,18
lacnic,ipv4,186.46.0.0,17
lacnic,ipv4,186.46.128.0,17
lacnic,ipv4,186.47.0.0,16
lacnic,ipv4,186.65.0.0,18
lacnic,ipv4,186.66.0.0,17
lacnic,ipv4,186.66.128.0,17
lacnic,ipv4,186.68.0.0,15
lacnic,ipv4,186.70.0.0,15
lacnic,ipv4,186.101.0.0,16
lacnic,ipv4,186.178.0.0,16
lacnic,ipv4,186.209.212.0,22
lacnic,ipv4,186.219.48.0,22
lacnic,ipv4,186.232.242.0,24
lacnic,ipv4,187.49.8.0,24
lacnic,ipv4,190.8.180.0,22
lacnic,ipv4,190.9.160.0,20
lacnic,ipv4,190.9.176.0,23
lacnic,ipv4,190.9.178.0,24
lacnic,ipv4,190.9.179.0,24
lacnic,ipv4,190.9.180.0,24
lacnic,ipv4,190.9.181.0,24
lacnic,ipv4,190.9.182.0,23
lacnic,ipv4,190.9.184.0,21
lacnic,ipv4,190.10.128.0,18
lacnic,ipv4,190.10.192.0,18
lacnic,ipv4,190.11.0.0,19
lacnic,ipv4,190.11.240.0,20
lacnic,ipv4,190.12.0.0,19
lacnic,ipv4,190.12.32.0,19
lacnic,ipv4,190.12.148.0,22
lacnic,ipv4,190.15.128.0,20
lacnic,ipv4,190.52.192.0,20
lacnic,ipv4,190.57.128.0,18
lacnic,ipv4,190.63.0.0,16
lacnic,ipv4,190.83.12.0,22
lacnic,ipv4,190.83.104.0,22
lacnic,ipv4,190.89.44.0,22
lacnic,ipv4,190.89.128.0,22
lacnic,ipv4,190.94.128.0,19
lacnic,ipv4,190.95.128.0,19
lacnic,ipv4,190.95.160.0,19
lacnic,ipv4,190.95.192.0,19
lacnic,ipv4,190.95.224.0,19
lacnic,ipv4,190.96.96.0,21
lacnic,ipv4,190.99.72.0,21
lacnic,ipv4,190.107.64.0,20
lacnic,ipv4,190.107.80.0,21
lacnic,ipv4,190.107.232.0,21
lacnic,ipv4,190.108.64.0,21
lacnic,ipv4,190.109.120.0,22
lacnic,ipv4,190.110.40.0,21
lacnic,ipv4,190.110.48.0,21
lacnic,ipv4,190.110.56.0,21
lacnic,ipv4,190.110.192.0,19
lacnic,ipv4,190.111.64.0,20
lacnic,ipv4,190.111.80.0,20
lacnic,ipv4,190.120.64.0,20
lacnic,ipv4,190.120.80.0,20
lacnic,ipv4,190.123.0.0,23
lacnic,ipv4,190.123.14.0,24
lacnic,ipv4,190.123.32.0,21
lacnic,ipv4,190.123.48.0,20
lacnic,ipv4,190.130.128.0,17
lacnic,ipv4,190.131.0.0,18
lacnic,ipv4,190.131.64.0,18
lacnic,ipv4,190.131.128.0,18
lacnic,ipv4,190.152.0.0,17
lacnic,ipv4,190.152.128.0,17
lacnic,ipv4,190.154.0.0,17
lacnic,ipv4,190.154.128.0,17
lacnic,ipv4,190.155.0.0,17
lacnic,ipv4,190.155.128.0,17
lacnic,ipv4,190.171.80.0,22
lacnic,ipv4,190.214.0.0,17
lacnic,ipv4,190.214.128.0,17
lacnic,ipv4,191.97.64.0,22
lacnic,ipv4,191.99.0.0,16
lacnic,ipv4,191.100.0.0,16
lacnic,ipv4,192.140.92.0,22
lacnic,ipv4,192.141.8.0,22
lacnic,ipv4,192.141.36.0,22
lacnic,ipv4,200.7.192.0,19
lacnic,ipv4,200.7.224.0,19
lacnic,ipv4,200.24.128.0,19
lacnic,ipv4,200.24.192.0,19
lacnic,ipv4,200.25.128.0,19
lacnic,ipv4,200.25.160.0,19
lacnic,ipv4,200.25.192.0,20
lacnic,ipv4,200.25.208.0,20
lacnic,ipv4,200.29.240.0,21
lacnic,ipv4,200.50.232.0,21
lacnic,ipv4,200.55.224.0,20
lacnic,ipv4,200.55.248.0,21
lacnic,ipv4,200.63.104.0,22
lacnic,ipv4,200.63.192.0,19
lacnic,ipv4,200.63.224.0,20
lacnic,ipv4,200.63.240.0,20
lacnic,ipv4,200.69.160.0,20
lacnic,ipv4,200.69.176.0,20
lacnic,ipv4,200.73.200.0,21
lacnic,ipv4,200.77.188.0,22
lacnic,ipv4,200.85.80.0,21
lacnic,ipv4,200.90.152.0,21
lacnic,ipv4,200.93.192.0,19
lacnic,ipv4,200.93.224.0,20
lacnic,ipv4,200.93.248.0,21
lacnic,ipv4,200.105.112.0,21
lacnic,ipv4,200.105.224.0,20
lacnic,ipv4,200.105.240.0,20
lacnic,ipv4,200.107.0.0,19
