region,version,ip,prefixlength
afrinic,ipv4,41.32.0.0,12
afrinic,ipv4,41.64.0.0,15
afrinic,ipv4,41.67.80.0,21
afrinic,ipv4,41.68.0.0,15
afrinic,ipv4,41.77.136.0,21
afrinic,ipv4,41.78.20.0,22
afrinic,ipv4,41.78.148.0,22
afrinic,ipv4,41.79.208.0,22
afrinic,ipv4,41.91.0.0,16
afrinic,ipv4,41.128.0.0,14
afrinic,ipv4,41.152.0.0,15
afrinic,ipv4,41.155.128.0,17
afrinic,ipv4,41.176.0.0,16
afrinic,ipv4,41.178.0.0,16
afrinic,ipv4,41.179.0.0,16
afrinic,ipv4,41.187.0.0,16
afrinic,ipv4,41.190.248.0,22
afrinic,ipv4,41.191.80.0,22
afrinic,ipv4,41.196.0.0,16
afrinic,ipv4,41.199.0.0,16
afrinic,ipv4,41.205.96.0,19
afrinic,ipv4,41.206.128.0,19
afrinic,ipv4,41.215.240.0,22
afrinic,ipv4,41.217.160.0,19
afrinic,ipv4,41.217.224.0,21
afrinic,ipv4,41.218.128.0,18
afrinic,ipv4,41.221.128.0,20
afrinic,ipv4,41.222.128.0,21
afrinic,ipv4,41.222.168.0,21
afrinic,ipv4,41.223.20.0,22
afrinic,ipv4,41.223.52.0,22
afrinic,ipv4,41.223.196.0,22
afrinic,ipv4,41.223.240.0,22
afrinic,ipv4,41.232.0.0,13
afrinic,ipv4,45.96.0.0,13
afrinic,ipv4,45.104.0.0,13
afrinic,ipv4,45.240.0.0,13
afrinic,ipv4,62.68.224.0,19
afrinic,ipv4,62.114.0.0,16
afrinic,ipv4,62.117.32.0,19
afrinic,ipv4,62.135.0.0,17
afrinic,ipv4,62.139.0.0,16
afrinic,ipv4,62.140.64.0,18
afrinic,ipv4,62.193.64.0,18
afrinic,ipv4,62.240.96.0,19
afrinic,ipv4,62.241.128.0,19
afrinic,ipv4,80.75.160.0,21
afrinic,ipv4,80.75.168.0,21
afrinic,ipv4,80.75.176.0,21
afrinic,ipv4,80.75.184.0,21
afrinic,ipv4,81.10.0.0,17
afrinic,ipv4,81.21.96.0,20
afrinic,ipv4,81.29.96.0,20
afrinic,ipv4,82.129.128.0,17
afrinic,ipv4,82.201.128.0,17
afrinic,ipv4,84.36.0.0,16
afrinic,ipv4,84.233.0.0,17
afrinic,ipv4,102.8.0.0,13
afrinic,ipv4,102.40.0.0,13
afrinic,ipv4,102.56.0.0,13
afrinic,ipv4,102.128.176.0,21
afrinic,ipv4,102.131.32.0,22
afrinic,ipv4,102.184.0.0,13
afrinic,ipv4,102.214.224.0,22
afrinic,ipv4,102.217.68.0,22
afrinic,ipv4,102.217.112.0,22
afrinic,ipv4,102.219.140.0,22
afrinic,ipv4,102.221.68.0,22
afrinic,ipv4,102.223.184.0,22
afrinic,ipv4,102.223.242.0,23
afrinic,ipv4,105.32.0.0,12
afrinic,ipv4,105.80.0.0,12
afrinic,ipv4,105.180.0.0,14
afrinic,ipv4,105.192.0.0,14
afrinic,ipv4,105.196.0.0,14
afrinic,ipv4,105.200.0.0,13
afrinic,ipv4,154.128.0.0,12
afrinic,ipv4,154.176.0.0,12
afrinic,ipv4,154.236.0.0,14
afrinic,ipv4,156.160.0.0,11
afrinic,ipv4,156.192.0.0,11
afrinic,ipv4,163.121.0.0,16
afrinic,ipv4,164.160.64.0,22
afrinic,ipv4,164.160.104.0,22
afrinic,ipv4,169.239.36.0,22
afrinic,ipv4,193.227.0.0,18
afrinic,ipv4,194.79.96.0,19
afrinic,ipv4,195.43.0.0,19
afrinic,ipv4,195.246.32.0,19
afrinic,ipv4,196.2.192.0,19
afrinic,ipv4,196.46.188.0,22
afrinic,ipv4,196.128.0.0,11
afrinic,ipv4,196.201.240.0,21
afrinic,ipv4,196.202.0.0,17
afrinic,ipv4,196.204.0.0,16
afrinic,ipv4,196.205.0.0,16
afrinic,ipv4,196.218.0.0,15
afrinic,ipv4,196.221.0.0,16
afrinic,ipv4,197.32.0.0,11
afrinic,ipv4,197.120.0.0,13
afrinic,ipv4,197.132.0.0,14
afrinic,ipv4,197.150.0.0,15
afrinic,ipv4,197.160.0.0,13
afrinic,ipv4,197.192.0.0,13
afrinic,ipv4,197.222.0.0,15
afrinic,ipv4,197.246.0.0,16
afrinic,ipv4,212.103.160.0,19
afrinic,ipv4,213.131.64.0,19
afrinic,ipv4,213.152.64.0,19
afrinic,ipv4,213.154.32.0,19
afrinic,ipv4,213.158.160.0,19
afrinic,ipv4,213.181.224.0,19
afrinic,ipv4,213.212.192.0,18
afrinic,ipv4,217.20.224.0,20
afrinic,ipv4,217.52.0.0,14
afrinic,ipv4,217.139.0.0,16
afrinic,ipv6,2c0e::,20
afrinic,ipv6,2001:4220::,32
afrinic,ipv6,2001:42b8::,32
afrinic,ipv6,2001:4300::,32
afrinic,ipv6,2001:4388::,32
afrinic,ipv6,2001:43c8::,32
afrinic,ipv6,2c0f:7480::,32
afrinic,ipv6,2c0f:7b00::,28
afrinic,ipv6,2c0f:f0b0::,32
afrinic,ipv6,2c0f:fc40::,32
afrinic,ipv6,2c0f:fc88::,31
afrinic,ipv6,2c0f:fee0::,32
ripencc,ipv4,185.133.16.0,22
