region,version,ip,prefixlength
apnic,ipv4,27.123.128.0,18
apnic,ipv4,45.112.224.0,22
apnic,ipv4,45.117.240.0,22
apnic,ipv4,45.117.244.0,22
apnic,ipv4,103.1.180.0,22
apnic,ipv4,103.52.88.0,22
apnic,ipv4,103.58.20.0,22
apnic,ipv4,103.101.240.0,22
apnic,ipv4,103.148.54.0,23
apnic,ipv4,103.244.228.0,22
apnic,ipv4,110.35.88.0,21
apnic,ipv4,113.20.64.0,19
apnic,ipv4,119.235.64.0,19
apnic,ipv4,119.235.96.0,21
apnic,ipv4,124.108.24.0,21
apnic,ipv4,144.120.0.0,16
apnic,ipv4,183.81.128.0,20
apnic,ipv4,202.62.6.0,23
apnic,ipv4,202.62.118.0,23
apnic,ipv4,202.62.120.0,22
apnic,ipv4,202.62.124.0,22
apnic,ipv4,202.129.228.0,22
apnic,ipv4,202.137.176.0,21
apnic,ipv4,202.151.16.0,20
apnic,ipv4,202.170.32.0,20
apnic,ipv4,210.7.0.0,19
apnic,ipv6,2407:800::,32
apnic,ipv6,2400:6d00::,32
apnic,ipv6,2401:5100::,32
apnic,ipv6,2401:d7c0::,32
apnic,ipv6,2401:e600::,32
apnic,ipv6,2402:1840::,32
apnic,ipv6,2402:2940::,32
apnic,ipv6,2403:4600::,32
apnic,ipv6,2406:f800::,32
apnic,ipv6,2407:a000::,32
