region,version,ip,prefixlength
apnic,ipv4,103.71.204.0,24
apnic,ipv4,103.76.157.0,24
apnic,ipv4,103.77.225.0,24
apnic,ipv4,103.99.43.0,24
apnic,ipv4,103.116.156.0,24
apnic,ipv4,103.137.129.0,24
apnic,ipv4,103.147.194.0,23
apnic,ipv4,103.178.195.0,24
apnic,ipv4,203.83.251.0,24
apnic,ipv4,203.119.51.0,24
apnic,ipv4,203.202.235.0,24
apnic,ipv6,2001:dd8::,48
apnic,ipv6,2001:df0:91::,48
apnic,ipv6,2001:df2:4b00::,48
apnic,ipv6,2001:df2:4c80::,47
apnic,ipv6,2001:df2:a280::,47
apnic,ipv6,2001:df5:5700::,48
apnic,ipv6,2001:df5:fa00::,48
