region,version,ip,prefixlength,org
ripencc,ipv4,80.73.208.0,21,fk.suresouth;Sure South Atlantic Limited
ripencc,ipv4,80.73.216.0,23,fk.suresouth;Sure South Atlantic Limited
ripencc,ipv4,80.73.218.0,24,fk.suresouth;Sure South Atlantic Limited
ripencc,ipv4,80.73.219.0,24,n/a
ripencc,ipv4,80.73.220.0,22,n/a
ripencc,ipv4,91.232.129.0,24,n/a
ripencc,ipv4,91.232.198.0,24,n/a
ripencc,ipv4,91.232.208.0,24,n/a
ripencc,ipv4,91.232.235.0,24,n/a
ripencc,ipv4,185.87.144.0,22,n/a
ripencc,ipv4,185.244.12.0,22,fk.suresouth;Sure South Atlantic Limited
