region,ip,prefixlength
afrinic,41.78.240.0,22
afrinic,41.158.0.0,15
afrinic,41.211.128.0,18
afrinic,41.223.168.0,22
afrinic,102.129.32.0,22
afrinic,102.134.28.0,22
afrinic,102.135.164.0,22
afrinic,102.142.0.0,16
afrinic,102.164.124.0,22
afrinic,154.0.32.0,19
afrinic,154.0.176.0,20
afrinic,154.66.232.0,21
afrinic,154.112.0.0,16
afrinic,154.116.0.0,17
afrinic,154.119.192.0,19
afrinic,160.119.160.0,19
afrinic,169.159.0.0,18
afrinic,169.239.148.0,22
afrinic,169.255.148.0,22
afrinic,196.50.32.0,19
afrinic,197.231.64.0,18
afrinic,197.242.0.0,19
afrinic,217.77.64.0,20
