region,ip,prefixlength
apnic,103.73.186.0,23
apnic,103.107.120.0,24
apnic,103.115.96.0,24
apnic,103.116.111.0,24
apnic,103.124.186.0,24
apnic,103.231.27.0,24
ripencc,25.0.0.0,8
ripencc,46.175.13.0,24
ripencc,46.175.48.0,21
ripencc,51.1.0.0,15
ripencc,51.6.0.0,15
ripencc,51.9.0.0,16
ripencc,51.10.0.0,14
ripencc,51.14.0.0,16
ripencc,51.19.0.0,16
ripencc,51.33.0.0,16
ripencc,51.41.0.0,14
ripencc,51.51.0.0,16
ripencc,51.52.0.0,16
ripencc,51.53.0.0,16
ripencc,51.54.0.0,13
ripencc,51.61.0.0,14
ripencc,51.64.0.0,16
ripencc,51.65.0.0,14
ripencc,51.71.0.0,16
ripencc,51.103.0.0,14
ripencc,51.106.0.0,16
ripencc,51.107.0.0,16
ripencc,51.109.0.0,16
ripencc,51.111.0.0,16
ripencc,51.115.0.0,16
ripencc,51.116.0.0,16
ripencc,51.120.0.0,16
ripencc,51.124.0.0,16
ripencc,51.126.0.0,16
ripencc,51.130.0.0,16
ripencc,51.132.0.0,16
ripencc,51.133.0.0,16
ripencc,51.135.0.0,16
ripencc,51.136.0.0,14
ripencc,51.140.0.0,13
ripencc,51.146.0.0,16
ripencc,51.147.0.0,16
ripencc,51.148.0.0,16
ripencc,51.149.0.0,16
ripencc,51.155.0.0,16
ripencc,51.162.128.0,16
ripencc,51.170.0.0,16
ripencc,51.179.128.0,18
ripencc,51.179.192.0,18
ripencc,51.182.0.0,15
ripencc,51.186.0.0,15
ripencc,51.190.0.0,15
ripencc,51.194.0.0,16
ripencc,51.198.0.0,15
ripencc,51.219.0.0,16
ripencc,51.230.0.0,15
ripencc,51.234.0.0,16
ripencc,51.238.0.0,15
ripencc,51.241.0.0,16
ripencc,51.242.0.0,15
ripencc,51.246.0.0,15
ripencc,51.251.0.0,16
ripencc,57.133.0.0,16
ripencc,57.150.0.0,11
ripencc,78.31.208.0,24
ripencc,80.238.0.0,19
ripencc,83.97.32.0,22
ripencc,83.97.38.0,23
ripencc,83.142.32.0,21
ripencc,83.142.64.0,21
ripencc,83.143.224.0,21
ripencc,83.243.96.0,21
ripencc,84.205.161.0,24
ripencc,85.255.224.0,20
ripencc,86.111.216.0,21
ripencc,87.239.184.0,21
ripencc,89.22.50.0,24
ripencc,91.90.171.0,24
ripencc,91.142.128.0,24
ripencc,91.142.134.0,24
ripencc,91.189.88.0,21
ripencc,91.189.144.0,21
ripencc,91.192.16.0,22
ripencc,91.192.116.0,22
ripencc,91.192.192.0,22
ripencc,91.192.208.0,22
ripencc,91.192.232.0,22
ripencc,91.193.104.0,23
ripencc,91.193.108.0,23
ripencc,91.193.244.0,22
ripencc,91.194.10.0,24
ripencc,91.194.11.0,24
ripencc,91.194.42.0,23
ripencc,91.194.46.0,23
ripencc,91.194.68.0,23
ripencc,91.194.70.0,23
ripencc,91.194.74.0,23
ripencc,91.194.76.0,23
ripencc,91.194.116.0,23
ripencc,91.194.126.0,23
ripencc,91.194.152.0,23
ripencc,91.194.158.0,23
ripencc,91.194.220.0,23
ripencc,91.195.70.0,23
ripencc,91.195.82.0,23
ripencc,91.195.112.0,23
ripencc,91.195.122.0,23
ripencc,91.195.166.0,23
ripencc,91.195.168.0,23
ripencc,91.195.182.0,23
ripencc,91.195.186.0,23
ripencc,91.195.192.0,23
ripencc,91.195.228.0,23
ripencc,91.196.116.0,22
ripencc,91.197.32.0,22
ripencc,91.197.92.0,22
ripencc,91.197.140.0,22
ripencc,91.197.228.0,22
ripencc,91.198.3.0,24
ripencc,91.198.9.0,24
ripencc,91.198.13.0,24
ripencc,91.198.24.0,24
ripencc,91.198.29.0,24
ripencc,91.198.81.0,24
ripencc,91.198.99.0,24
ripencc,91.198.107.0,24
ripencc,91.198.117.0,24
ripencc,91.198.180.0,24
ripencc,91.198.255.0,24
ripencc,91.199.1.0,24
ripencc,91.199.19.0,24
ripencc,91.199.24.0,24
ripencc,91.199.71.0,24
ripencc,91.199.78.0,24
ripencc,91.199.110.0,24
ripencc,91.199.125.0,24
ripencc,91.199.129.0,24
ripencc,91.199.130.0,24
ripencc,91.199.136.0,24
ripencc,91.199.151.0,24
ripencc,91.199.157.0,24
ripencc,91.199.159.0,24
ripencc,91.199.180.0,24
ripencc,91.199.181.0,24
ripencc,91.199.183.0,24
ripencc,91.199.212.0,24
ripencc,91.199.249.0,24
ripencc,91.199.252.0,24
ripencc,91.200.61.0,24
ripencc,91.201.160.0,22
ripencc,91.202.136.0,22
ripencc,91.202.224.0,22
ripencc,91.202.236.0,22
ripencc,91.203.56.0,22
ripencc,91.203.72.0,22
ripencc,91.204.80.0,24
ripencc,91.204.172.0,22
ripencc,91.204.208.0,22
ripencc,91.204.244.0,22
ripencc,91.205.96.0,22
ripencc,91.205.248.0,22
ripencc,91.206.0.0,23
ripencc,91.206.59.0,24
ripencc,91.206.118.0,23
ripencc,91.206.176.0,23
ripencc,91.206.234.0,23
ripencc,91.207.36.0,23
ripencc,91.207.38.0,23
ripencc,91.207.50.0,23
ripencc,91.207.110.0,23
ripencc,91.207.152.0,23
ripencc,91.207.192.0,23
ripencc,91.207.198.0,23
ripencc,91.207.220.0,23
ripencc,91.208.1.0,24
ripencc,91.208.3.0,24
ripencc,91.208.11.0,24
ripencc,91.208.28.0,24
ripencc,91.208.53.0,24
ripencc,91.208.66.0,24
ripencc,91.208.67.0,24
ripencc,91.208.92.0,24
ripencc,91.208.95.0,24
ripencc,91.208.105.0,24
ripencc,91.208.111.0,24
ripencc,91.208.117.0,24
ripencc,91.208.122.0,24
ripencc,91.208.124.0,24
ripencc,91.208.141.0,24
ripencc,91.208.146.0,24
ripencc,91.208.163.0,24
ripencc,91.208.170.0,24
ripencc,91.208.219.0,24
ripencc,91.208.239.0,24
ripencc,91.208.242.0,24
ripencc,91.208.243.0,24
ripencc,91.208.252.0,24
ripencc,91.209.34.0,24
ripencc,91.209.37.0,24
ripencc,91.209.43.0,24
ripencc,91.209.60.0,24
ripencc,91.209.71.0,24
ripencc,91.209.82.0,24
ripencc,91.209.83.0,24
ripencc,91.209.125.0,24
ripencc,91.209.142.0,24
ripencc,91.209.144.0,24
ripencc,91.209.178.0,24
ripencc,91.209.187.0,24
ripencc,91.209.196.0,24
ripencc,91.209.197.0,24
ripencc,91.209.200.0,24
ripencc,91.209.217.0,24
ripencc,91.209.220.0,24
ripencc,91.209.223.0,24
ripencc,91.209.238.0,24
ripencc,91.209.244.0,24
ripencc,91.209.246.0,24
ripencc,91.209.252.0,24
ripencc,91.210.64.0,22
ripencc,91.212.12.0,24
ripencc,91.212.18.0,24
ripencc,91.212.90.0,24
ripencc,91.212.93.0,24
ripencc,91.212.94.0,24
ripencc,91.212.105.0,24
ripencc,91.212.108.0,24
ripencc,91.212.115.0,24
ripencc,91.212.131.0,24
ripencc,91.212.138.0,24
ripencc,91.212.182.0,24
ripencc,91.212.210.0,24
ripencc,91.212.212.0,24
ripencc,91.213.8.0,24
ripencc,91.213.28.0,24
ripencc,91.213.42.0,24
ripencc,91.213.45.0,24
ripencc,91.213.63.0,24
ripencc,91.213.110.0,24
ripencc,91.213.140.0,24
ripencc,91.213.164.0,24
ripencc,91.213.183.0,24
ripencc,91.213.199.0,24
ripencc,91.213.212.0,24
ripencc,91.213.216.0,24
ripencc,91.213.225.0,24
ripencc,91.214.4.0,22
ripencc,91.214.228.0,22
ripencc,91.215.164.0,22
ripencc,91.215.180.0,22
ripencc,91.215.184.0,22
ripencc,91.216.9.0,24
ripencc,91.216.18.0,24
ripencc,91.216.42.0,24
ripencc,91.216.55.0,24
ripencc,91.216.82.0,24
ripencc,91.216.88.0,24
ripencc,91.216.89.0,24
ripencc,91.216.93.0,24
ripencc,91.216.112.0,24
ripencc,91.216.116.0,24
ripencc,91.216.137.0,24
ripencc,91.216.143.0,24
ripencc,91.216.159.0,24
ripencc,91.216.181.0,24
ripencc,91.216.183.0,24
ripencc,91.216.193.0,24
ripencc,91.216.220.0,24
ripencc,91.216.246.0,24
ripencc,91.217.84.0,23
ripencc,91.217.216.0,24
ripencc,91.217.231.0,24
ripencc,91.217.237.0,24
ripencc,91.217.245.0,24
ripencc,91.219.40.0,22
ripencc,91.220.24.0,24
ripencc,91.220.42.0,24
ripencc,91.220.52.0,24
ripencc,91.220.83.0,24
ripencc,91.220.118.0,24
ripencc,91.220.127.0,24
ripencc,91.220.132.0,24
ripencc,91.220.141.0,24
