region,version,ip,prefixlength
arin,ipv4,23.130.168.0,24
arin,ipv4,23.141.216.0,24
arin,ipv4,45.42.225.0,24
arin,ipv4,67.159.199.0,24
arin,ipv4,74.117.84.0,22
arin,ipv4,74.122.88.0,21
arin,ipv4,104.245.48.0,22
arin,ipv4,104.245.92.0,22
arin,ipv4,162.245.152.0,22
arin,ipv4,196.3.73.0,24
arin,ipv4,199.83.192.0,21
arin,ipv4,199.85.236.0,22
arin,ipv4,206.126.244.0,24
arin,ipv6,2001:1808::,32
arin,ipv6,2600:1a00::,28
arin,ipv6,2602:fb03::,40
arin,ipv6,2602:fc14::,36
arin,ipv6,2605:c080::,32
arin,ipv6,2001:504:35::,48
arin,ipv6,2620:61:e000::,48
arin,ipv6,2620:a2:e000::,48
