region,ip,prefixlength,org
ripencc,2a0f:8c0::,32,n/a
ripencc,2a13:5c0::,29,n/a
ripencc,2a00:e8c0::,29,ge.egrisi;System Net Ltd
ripencc,2a00:f2e0::,32,n/a
ripencc,2a01:47a0::,32,n/a
ripencc,2a01:7c20::,32,ge.mia;Ministry of Internal Affairs
ripencc,2a01:88e0::,32,ge.llcskytel;LLC Skytel
ripencc,2a01:9620::,29,n/a
ripencc,2a01:9c80::,29,n/a
ripencc,2a01:a0e0::,32,ge.odrex;Odrex Software LLC
ripencc,2a01:b620::,32,ge.jsc-tbc-bank;JSC TBC BANK
ripencc,2a02:2390::,32,ge.service;LLC Service
ripencc,2a02:23f0::,32,n/a
ripencc,2a03:2820::,32,n/a
ripencc,2a03:30e0::,32,n/a
ripencc,2a03:3580::,32,n/a
ripencc,2a03:4520::,32,n/a
ripencc,2a03:45e0::,32,ge.deagov;LEPL Digital Governance Agency
ripencc,2a03:4820::,32,n/a
ripencc,2a03:4e80::,32,n/a
ripencc,2a03:c240::,32,ge.airnet-llc;AIRNET LLC
ripencc,2a04:c200::,29,"ge.wanex;JSC ""Silknet"""
ripencc,2a05:6000::,29,n/a
ripencc,2a05:86c0::,29,n/a
ripencc,2a05:97c0::,29,ge.tbilisi;Tbilisi City Hall
ripencc,2a05:d5c0::,29,ge.cgc;LTD CGC Co
ripencc,2a05:ee00::,29,n/a
ripencc,2a06:76c0::,29,n/a
ripencc,2a07:65c0::,29,n/a
ripencc,2a07:7900::,29,n/a
ripencc,2a07:df40::,29,ge.greennetworks;GreenNetworks LLC
ripencc,2a07:ebc0::,29,n/a
ripencc,2a09:cd00::,29,ge.vgsnetwork1;VGS Network LLC
ripencc,2a0a:2900::,29,ge.llcskytel;LLC Skytel
ripencc,2a0a:4400::,29,ge.proservice;Proservice LLC
ripencc,2a0a:5000::,29,ge.cloud;Cloud 9 Ltd.
ripencc,2a0a:e280::,29,ge.gpost;Georgian Post LTD
ripencc,2a0b:6200::,29,ge.magticom;Magticom Ltd.
ripencc,2a0b:8900::,32,ge.geonet;Geonet Ltd.
ripencc,2a0b:c4c0::,29,ge.europebet;Chempionebi 111 LTD
ripencc,2a0b:ce80::,29,ge.kct;Artem Zubkov
ripencc,2a0b:db80::,29,ge.kct;Artem Zubkov
ripencc,2a0b:f580::,29,n/a
ripencc,2a0c:6340::,29,ge.llcskytel;LLC Skytel
ripencc,2a0c:a3c0::,29,ge.llcskytel;LLC Skytel
ripencc,2a0d:40c0::,32,n/a
ripencc,2a0d:8a00::,32,ge.cloud;Cloud 9 Ltd.
ripencc,2a0d:bc80::,29,ge.ugt;UGT LLC
ripencc,2a0e:2700::,29,ge.ordunet;LLC Ordunet
ripencc,2a0f:52c0::,29,ge.techsolutions;Tech Solutions LLC
ripencc,2a0f:6280::,29,ge.ruben;Ruben Vandepitte
ripencc,2a10:1580::,29,ge.georgianairlink;Georgianairlink LLC
ripencc,2a10:3480::,29,ge.kct;Artem Zubkov
ripencc,2a10:6040::,32,n/a
ripencc,2a10:9f40::,29,n/a
ripencc,2a10:b140::,32,n/a
ripencc,2a11:a300::,29,ge.ltdnetservice;LTD NETSERVICE
ripencc,2a11:cc00::,29,ge.ixp;Internet Exchange Association of Georgia
ripencc,2a12:e340::,29,ge.worldbus-ge;TradeZone LLC
ripencc,2a13:3b00::,29,n/a
ripencc,2a13:5140::,29,n/a
ripencc,2a13:5180::,29,ge.cavea;Cavea Plus LLC
ripencc,2a13:a780::,29,n/a
ripencc,2a13:b400::,29,n/a
