region,version,ip,prefixlength
ripencc,ipv4,46.174.216.0,21
ripencc,ipv4,91.200.136.0,22
ripencc,ipv4,91.202.56.0,22
ripencc,ipv4,91.208.144.0,24
ripencc,ipv4,91.209.131.0,24
ripencc,ipv4,91.210.120.0,22
ripencc,ipv4,91.212.213.0,24
ripencc,ipv4,91.212.225.0,24
ripencc,ipv4,91.223.53.0,24
ripencc,ipv4,91.223.245.0,24
ripencc,ipv4,91.225.152.0,22
ripencc,ipv4,91.226.179.0,24
ripencc,ipv4,91.227.255.0,24
ripencc,ipv4,91.232.26.0,24
ripencc,ipv4,91.233.15.0,24
ripencc,ipv4,91.234.228.0,24
ripencc,ipv4,91.235.84.0,22
ripencc,ipv4,91.235.243.0,24
ripencc,ipv4,91.239.206.0,23
ripencc,ipv4,91.240.27.0,24
ripencc,ipv4,91.247.64.0,23
ripencc,ipv4,178.216.32.0,21
ripencc,ipv4,185.1.224.0,24
ripencc,ipv4,192.122.253.0,24
ripencc,ipv4,193.33.236.0,23
ripencc,ipv4,193.104.20.0,24
ripencc,ipv4,193.105.237.0,24
ripencc,ipv4,194.165.62.0,24
ripencc,ipv4,194.247.16.0,23
ripencc,ipv4,195.5.179.0,24
ripencc,ipv4,195.54.178.0,23
ripencc,ipv4,195.211.116.0,22
ripencc,ipv4,213.108.131.0,24
ripencc,ipv4,213.108.134.0,24
ripencc,ipv6,2001:7f8:11e::,48
ripencc,ipv6,2001:67c:2128::,48
