region,version,ip,prefixlength,org
arin,ipv4,104.250.0.0,19,n/a
arin,ipv4,107.191.208.0,20,n/a
arin,ipv4,137.83.76.0,24,n/a
arin,ipv4,137.83.102.0,24,n/a
arin,ipv4,142.202.112.0,22,n/a
arin,ipv4,192.149.44.0,22,n/a
arin,ipv4,199.91.160.0,22,n/a
arin,ipv4,207.90.254.0,23,n/a
arin,ipv4,208.72.228.0,22,n/a
arin,ipv4,208.79.96.0,22,n/a
arin,ipv4,208.94.168.0,22,n/a
arin,ipv4,208.103.148.0,23,n/a
arin,ipv4,209.35.0.0,22,n/a
arin,ipv4,216.230.17.0,24,n/a
arin,ipv4,216.230.19.0,24,n/a
arin,ipv6,2602:faf8::,40,n/a
arin,ipv6,2604:1800::,32,n/a
arin,ipv6,2605:adc0::,32,n/a
arin,ipv6,2606:2480::,32,n/a
arin,ipv6,2606:3180::,32,n/a
ripencc,ipv4,5.187.96.0,19,n/a
ripencc,ipv4,46.238.128.0,18,n/a
ripencc,ipv4,93.121.128.0,17,n/a
ripencc,ipv4,95.138.0.0,17,n/a
ripencc,ipv4,185.29.48.0,22,n/a
ripencc,ipv4,213.16.0.0,19,n/a
ripencc,ipv4,213.188.160.0,19,n/a
ripencc,ipv6,2a02:1390::,29,n/a
