region,ip,prefixlength,org
ripencc,2.84.0.0,14,n/a
ripencc,5.54.0.0,15,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,5.144.192.0,18,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,5.172.192.0,20,n/a
ripencc,5.203.0.0,16,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,31.14.168.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,31.14.208.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,31.14.240.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,31.22.112.0,21,"gr.hyperhosting;Georgios Vardikos trading as ""HYPERHOSTING"""
ripencc,31.152.0.0,16,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,31.177.56.0,21,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,31.186.104.0,21,gr.mtel-greece;Ventzislav Nikolov Trading as MTEL
ripencc,31.217.160.0,19,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,37.6.0.0,16,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,37.32.128.0,17,n/a
ripencc,37.99.192.0,21,gr.medgr;TI SPARKLE GREECE SA
ripencc,37.153.144.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,37.153.160.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,45.56.224.0,19,n/a
ripencc,45.66.40.0,22,n/a
ripencc,45.66.124.0,22,gr.ermiswisp;VASILEIOY GEORGIOS KAI SIA E.E. ERMISWISP
ripencc,45.66.184.0,22,n/a
ripencc,45.83.44.0,22,gr.mellongroup;MELLON TECHNOLOGIES SA
ripencc,45.139.212.0,22,n/a
ripencc,45.153.180.0,22,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,45.159.24.0,22,gr.devoq;DEVOQ Technology I.K.E.
ripencc,45.159.232.0,22,n/a
ripencc,46.12.0.0,16,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,46.103.0.0,16,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,46.176.0.0,15,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,46.183.16.0,21,n/a
ripencc,46.190.0.0,17,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,46.198.128.0,17,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,46.226.192.0,21,gr.dnhost;DNHOST IKE
ripencc,46.227.56.0,21,n/a
ripencc,46.245.136.0,21,gr.rolaware;CONNECTICORE TELECOMMUNICATIONS INFORMATION TECHNOLOGY S.A
ripencc,46.246.128.0,17,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,62.1.0.0,16,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,62.38.0.0,16,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,62.74.0.0,16,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,62.75.0.0,17,n/a
ripencc,62.103.0.0,16,n/a
ripencc,62.169.192.0,18,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,62.192.64.0,19,n/a
ripencc,62.205.32.0,19,gr.uunet;Verizon Hellas Telecommunications Single Member Limited Liability Company
ripencc,62.217.64.0,18,n/a
ripencc,72.46.154.0,23,n/a
ripencc,77.49.0.0,16,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,77.69.0.0,17,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,78.87.0.0,16,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,78.108.32.0,20,n/a
ripencc,79.103.0.0,16,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,79.107.0.0,16,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,79.128.0.0,14,n/a
ripencc,79.166.0.0,15,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,80.106.0.0,15,n/a
ripencc,80.245.160.0,20,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,81.92.48.0,20,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,83.174.148.0,22,gr.rolaware;CONNECTICORE TELECOMMUNICATIONS INFORMATION TECHNOLOGY S.A
ripencc,83.174.152.0,21,gr.rolaware;CONNECTICORE TELECOMMUNICATIONS INFORMATION TECHNOLOGY S.A
ripencc,83.212.0.0,16,n/a
ripencc,83.235.0.0,16,n/a
ripencc,84.254.0.0,18,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,85.72.0.0,14,n/a
ripencc,85.204.64.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,85.209.236.0,22,n/a
ripencc,86.104.68.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,86.104.120.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,86.105.188.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,86.105.200.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,86.105.248.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,87.202.0.0,15,n/a
ripencc,89.31.176.0,21,gr.atticabanksa;Attica Bank S.A
ripencc,89.32.208.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.38.105.0,24,n/a
ripencc,89.43.56.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.43.184.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.44.72.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.44.92.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.44.96.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.44.156.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.44.216.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.44.220.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.45.120.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.46.252.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.47.44.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,89.210.0.0,16,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,91.132.16.0,22,gr.moh;MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.
ripencc,91.138.128.0,17,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,91.140.0.0,17,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,91.193.60.0,22,n/a
ripencc,91.220.131.0,24,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,91.220.171.0,24,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,91.220.176.0,24,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,91.220.184.0,24,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,93.113.120.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,93.113.216.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,93.114.196.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,93.174.120.0,21,gr.iphost;IpHost P.C.
ripencc,94.64.0.0,13,n/a
ripencc,94.143.176.0,21,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,94.154.132.0,23,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,94.154.134.0,23,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,94.231.194.0,24,n/a
ripencc,95.129.40.0,21,gr.iphost;IpHost P.C.
ripencc,109.68.144.0,21,n/a
ripencc,109.107.139.0,24,n/a
ripencc,109.178.0.0,16,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,109.242.0.0,16,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,128.140.152.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,130.43.0.0,17,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,141.237.0.0,16,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,141.255.0.0,17,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,146.19.17.0,24,gr.supervoice;Genco Power AE
ripencc,149.210.0.0,17,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,152.89.116.0,22,gr.ftnwisp;FTN Tilepikoinonies MEPE
ripencc,172.93.4.0,23,n/a
ripencc,176.58.128.0,17,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,176.92.0.0,18,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,176.92.64.0,19,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,176.92.96.0,19,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,176.92.128.0,18,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,176.92.192.0,21,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,176.113.46.0,24,n/a
ripencc,176.119.209.0,24,"gr.fermoritepc;FERMORITE Systems, Applications and Services on IT and Technology IKE"
ripencc,176.119.210.0,24,gr.fastpath;FASTPATH IKE
ripencc,178.20.120.0,21,n/a
ripencc,178.21.168.0,21,n/a
ripencc,178.23.72.0,21,gr.interworks;INTERWORKS Single Member S.A.
ripencc,178.59.0.0,16,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,178.146.0.0,15,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,178.217.234.0,24,gr.gsnet;Athanasios Xylenios trading as GSnet
ripencc,178.239.24.0,22,n/a
ripencc,185.3.220.0,22,gr.wind;Nova Telecommunications & Media Single Member S.A
ripencc,185.4.88.0,22,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,185.4.132.0,22,gr.papaki;ENARTIA Single Member S.A.
ripencc,185.4.236.0,22,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,185.5.76.0,22,n/a
ripencc,185.6.76.0,22,n/a
ripencc,185.14.96.0,24,n/a
ripencc,185.14.200.0,22,gr.sodium;S. CHRISTOFOROU & SIA O.E.
ripencc,185.16.164.0,22,gr.aia;Athens International Airport SA
ripencc,185.19.44.0,22,gr.tphellas;Service 800 Teleperformance Single Member S.A.
ripencc,185.23.88.0,22,"gr.hyperhosting;Georgios Vardikos trading as ""HYPERHOSTING"""
ripencc,185.23.168.0,22,gr.neuropublic;NEUROPUBLIC SA
ripencc,185.25.20.0,22,n/a
ripencc,185.29.24.0,22,gr.dnhost;DNHOST IKE
ripencc,185.32.228.0,22,gr.serresnet;Optiland Telecommunications I.K.E.
ripencc,185.36.232.0,22,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,185.42.208.0,22,gr.rolaware;CONNECTICORE TELECOMMUNICATIONS INFORMATION TECHNOLOGY S.A
ripencc,185.44.144.0,22,gr.cosmotemobilecomm;Cosmote Mobile Telecommunications S.A.
ripencc,185.51.132.0,22,n/a
ripencc,185.55.28.0,22,gr.medgr;TI SPARKLE GREECE SA
ripencc,185.70.76.0,22,n/a
ripencc,185.73.40.0,22,n/a
ripencc,185.77.36.0,22,n/a
ripencc,185.78.220.0,22,gr.iphost;IpHost P.C.
ripencc,185.79.188.0,22,n/a
ripencc,185.81.196.0,22,n/a
ripencc,185.83.72.0,22,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,185.84.124.0,22,gr.skylogic;Skylogic Hellas Satellite Communications E.P.E.
ripencc,185.88.20.0,22,n/a
ripencc,185.89.96.0,24,n/a
ripencc,185.90.44.0,22,"gr.fermoritepc;FERMORITE Systems, Applications and Services on IT and Technology IKE"
ripencc,185.96.32.0,22,n/a
ripencc,185.98.100.0,22,n/a
ripencc,185.98.132.0,22,n/a
ripencc,185.104.0.0,22,gr.chipita;Mondelez Hellas Snacks Production Single Member S.A.
ripencc,185.104.144.0,22,n/a
ripencc,185.105.248.0,22,gr.orbyt-global;Orbyt Global S.A.
ripencc,185.106.16.0,22,gr.microbase;Microbase PC
ripencc,185.106.36.0,22,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,185.109.16.0,22,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,185.117.32.0,23,gr.iphost;IpHost P.C.
ripencc,185.117.34.0,24,gr.iphost;IpHost P.C.
ripencc,185.117.35.0,24,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,185.118.125.0,24,n/a
ripencc,185.134.112.0,22,n/a
ripencc,185.138.40.0,22,gr.papaki;ENARTIA Single Member S.A.
ripencc,185.145.164.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,185.149.121.0,24,gr.evresis1;Evresis SA
ripencc,185.156.60.0,22,n/a
ripencc,185.158.220.0,22,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,185.162.236.0,22,n/a
ripencc,185.168.36.0,22,n/a
ripencc,185.174.56.0,22,gr.fraport;Fraport Regional Airports of Greece Management Company S.A.
ripencc,185.178.176.0,22,gr.eurolife;Eurolife ERB General Insurance SA
ripencc,185.180.36.0,22,gr.greekstream;Ioannis Roditis trading as Greekstream Networks
ripencc,185.181.28.0,22,n/a
ripencc,185.183.184.0,22,n/a
ripencc,185.185.156.0,22,gr.sodium;S. CHRISTOFOROU & SIA O.E.
ripencc,185.186.84.0,22,n/a
ripencc,185.201.20.0,22,n/a
ripencc,185.201.56.0,22,gr.voicelandgr;VOICELAND IKE
ripencc,185.201.254.0,24,n/a
ripencc,185.205.96.0,22,n/a
ripencc,185.212.180.0,22,gr.algosystems;Algosystems S.A.
ripencc,185.214.64.0,24,n/a
ripencc,185.216.138.0,23,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,185.220.16.0,22,gr.mtel-greece;Ventzislav Nikolov Trading as MTEL
ripencc,185.226.64.0,22,gr.aweb;Asimia Damaskou
ripencc,185.232.240.0,22,n/a
ripencc,185.236.140.0,24,gr.lancom7;LANCOM LTD
ripencc,185.243.2.0,24,n/a
ripencc,185.246.164.0,22,n/a
ripencc,185.247.160.0,22,n/a
ripencc,185.254.216.0,22,gr.rolaware;CONNECTICORE TELECOMMUNICATIONS INFORMATION TECHNOLOGY S.A
ripencc,188.4.0.0,16,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,188.73.192.0,18,gr.telestet;Nova Telecommunications & Media Single Member S.A
ripencc,188.164.200.0,21,gr.interworks;INTERWORKS Single Member S.A.
ripencc,188.214.127.0,24,gr.lamdahellix;Digital Realty Hellas Single Member S.A
ripencc,193.5.16.0,22,gr.daknob;Antonios A. Chariton
ripencc,193.38.152.0,24,n/a
ripencc,193.57.35.0,24,n/a
ripencc,193.92.0.0,16,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,193.162.7.0,24,gr.gloman;Gloman consulting and research S.A.
ripencc,193.163.12.0,24,gr.smart-telecom;Menelaos Katakis trading as Smartsupport
ripencc,193.186.200.0,22,n/a
ripencc,194.30.192.0,19,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,194.30.224.0,19,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,194.49.96.0,22,n/a
ripencc,194.62.224.0,22,gr.interworks;INTERWORKS Single Member S.A.
ripencc,194.177.192.0,19,n/a
ripencc,194.219.0.0,16,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,195.2.235.0,24,gr.compugen;NIKOLOPOULOS D. & Co G.P.
ripencc,195.46.0.0,19,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,195.74.224.0,19,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,195.97.0.0,17,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,195.130.64.0,18,n/a
ripencc,195.167.0.0,17,n/a
ripencc,195.170.0.0,19,n/a
ripencc,195.190.32.0,19,n/a
ripencc,195.251.0.0,16,n/a
ripencc,199.5.180.0,23,n/a
ripencc,199.195.130.0,23,n/a
ripencc,212.46.55.0,24,n/a
ripencc,212.54.192.0,19,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,212.70.192.0,19,n/a
ripencc,212.102.96.0,24,n/a
ripencc,212.152.64.0,18,gr.telestet;Nova Telecommunications & Media Single Member S.A
ripencc,212.205.0.0,16,n/a
ripencc,212.251.0.0,17,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,213.16.128.0,17,gr.nova;Nova Telecommunications & Media Single Member S.A
ripencc,213.140.128.0,19,n/a
ripencc,213.249.0.0,18,gr.panafon;VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
ripencc,217.19.64.0,20,gr.uunet;Verizon Hellas Telecommunications Single Member Limited Liability Company
ripencc,217.19.80.0,20,gr.uunet;Verizon Hellas Telecommunications Single Member Limited Liability Company
ripencc,217.195.128.0,20,n/a
