region,ip,prefixlength
ripencc,81.186.0.0,16
ripencc,83.97.37.0,24
ripencc,84.205.192.0,19
ripencc,84.205.224.0,19
ripencc,87.239.232.0,21
ripencc,88.197.0.0,17
ripencc,91.195.152.0,23
ripencc,91.198.183.0,24
ripencc,91.199.7.0,24
ripencc,91.199.96.0,24
ripencc,91.200.20.0,22
ripencc,91.206.190.0,23
ripencc,91.207.236.0,23
ripencc,91.208.57.0,24
ripencc,91.209.47.0,24
ripencc,91.209.173.0,24
ripencc,91.210.208.0,22
ripencc,91.211.24.0,23
ripencc,91.213.52.0,24
ripencc,91.213.228.0,24
ripencc,91.216.76.0,24
ripencc,91.216.180.0,24
ripencc,91.216.206.0,24
ripencc,91.217.155.0,24
ripencc,91.217.243.0,24
ripencc,91.220.108.0,24
ripencc,91.220.208.0,24
ripencc,91.220.236.0,24
ripencc,91.223.42.0,24
ripencc,91.223.104.0,24
ripencc,91.227.108.0,24
ripencc,91.234.84.0,22
ripencc,91.241.94.0,23
ripencc,91.245.195.0,24
ripencc,94.232.80.0,21
ripencc,139.91.0.0,16
ripencc,143.233.0.0,16
ripencc,144.24.0.0,16
ripencc,146.124.0.0,16
ripencc,147.27.0.0,16
ripencc,147.52.0.0,16
ripencc,147.95.0.0,16
ripencc,147.102.0.0,16
ripencc,147.189.216.0,21
ripencc,150.140.0.0,17
ripencc,150.140.128.0,17
ripencc,155.207.0.0,16
ripencc,160.40.0.0,16
ripencc,176.126.38.0,24
ripencc,185.1.29.0,24
ripencc,185.1.123.0,24
ripencc,185.1.172.0,24
ripencc,192.67.249.0,24
ripencc,192.92.155.0,24
ripencc,192.92.156.0,24
ripencc,192.94.67.0,24
ripencc,192.94.68.0,24
ripencc,192.103.20.0,24
ripencc,192.104.147.0,24
ripencc,192.107.177.0,24
ripencc,192.108.114.0,24
ripencc,192.135.166.0,24
ripencc,193.16.219.0,24
ripencc,193.34.176.0,23
ripencc,193.41.150.0,23
ripencc,193.41.229.0,24
ripencc,193.58.70.0,23
ripencc,193.58.234.0,24
ripencc,193.84.21.0,24
ripencc,193.84.251.0,24
ripencc,193.93.164.0,22
ripencc,193.104.200.0,24
ripencc,193.105.42.0,24
ripencc,193.105.80.0,24
ripencc,193.105.85.0,24
ripencc,193.105.109.0,24
ripencc,193.106.252.0,22
ripencc,193.108.160.0,23
ripencc,193.110.86.0,24
ripencc,193.150.172.0,23
ripencc,193.164.226.0,23
ripencc,193.193.184.0,23
ripencc,193.201.22.0,23
ripencc,193.201.166.0,24
ripencc,193.218.1.0,22
ripencc,193.218.5.0,23
ripencc,193.218.36.0,24
ripencc,193.218.41.0,23
ripencc,193.218.44.0,19
ripencc,193.218.72.0,24
ripencc,193.218.74.0,21
ripencc,193.218.80.0,23
ripencc,193.218.84.0,21
ripencc,193.218.96.0,23
ripencc,193.218.106.0,21
ripencc,193.218.112.0,24
ripencc,193.218.124.0,23
ripencc,193.218.187.0,24
ripencc,193.218.223.0,19
ripencc,193.238.112.0,22
ripencc,193.239.214.0,23
ripencc,193.242.240.0,20
ripencc,193.254.200.0,23
ripencc,193.254.222.0,23
ripencc,194.0.4.0,24
ripencc,194.0.185.0,24
ripencc,194.13.111.0,24
ripencc,194.24.170.0,23
ripencc,194.24.226.0,23
ripencc,194.26.22.0,23
ripencc,194.29.48.0,22
ripencc,194.30.178.0,24
ripencc,194.33.114.0,24
ripencc,194.42.50.0,22
ripencc,194.50.42.0,24
ripencc,194.50.43.0,24
ripencc,194.63.160.0,18
ripencc,194.63.240.0,21
ripencc,194.79.252.0,23
ripencc,194.110.73.0,24
ripencc,194.110.198.0,24
ripencc,194.110.218.0,24
ripencc,194.125.252.0,23
ripencc,194.126.255.0,24
ripencc,194.153.81.0,23
ripencc,194.169.232.0,24
ripencc,194.176.113.0,24
ripencc,195.22.154.0,23
ripencc,195.35.92.0,22
ripencc,195.35.126.0,24
ripencc,195.39.236.0,23
ripencc,195.43.132.0,24
ripencc,195.47.208.0,24
ripencc,195.47.233.0,24
ripencc,195.64.172.0,23
ripencc,195.66.158.0,23
ripencc,195.78.86.0,23
ripencc,195.88.162.0,23
ripencc,195.95.226.0,23
ripencc,195.134.64.0,18
ripencc,195.144.16.0,24
ripencc,195.189.56.0,22
ripencc,195.189.162.0,23
ripencc,195.200.193.0,24
ripencc,195.200.204.0,24
ripencc,195.211.200.0,22
ripencc,195.230.102.0,24
