region,ip,prefixlength
apnic,27.123.228.0,22
apnic,43.224.232.0,22
apnic,43.225.196.0,22
apnic,43.228.88.0,22
apnic,43.228.124.0,22
apnic,43.229.116.0,22
apnic,43.230.116.0,22
apnic,43.239.232.0,24
apnic,43.240.12.0,22
apnic,43.242.140.0,22
apnic,43.243.52.0,22
apnic,43.246.132.0,22
apnic,43.246.168.0,22
apnic,43.246.208.0,22
apnic,43.247.164.0,22
apnic,43.251.76.0,22
apnic,43.252.200.0,22
apnic,43.254.216.0,22
apnic,45.113.140.0,22
apnic,45.115.196.0,22
apnic,45.116.40.0,22
apnic,45.116.144.0,22
apnic,45.116.164.0,22
apnic,45.119.4.0,23
apnic,45.119.6.0,23
apnic,45.120.208.0,22
apnic,45.120.216.0,22
apnic,45.124.24.0,22
apnic,45.124.72.0,22
apnic,45.125.12.0,22
apnic,45.125.32.0,22
apnic,45.125.160.0,22
apnic,45.248.200.0,22
apnic,45.249.244.0,22
apnic,58.84.4.0,22
apnic,58.84.52.0,22
apnic,59.153.156.0,22
apnic,61.14.200.0,22
apnic,103.5.79.0,24
apnic,103.5.198.0,24
apnic,103.7.54.0,23
apnic,103.8.191.0,24
apnic,103.8.215.0,24
apnic,103.10.124.0,23
apnic,103.10.199.0,24
apnic,103.11.72.0,23
apnic,103.11.104.0,23
apnic,103.13.176.0,23
apnic,103.14.220.0,22
apnic,103.15.220.0,23
apnic,103.16.184.0,22
apnic,103.17.92.0,22
apnic,103.19.38.0,24
apnic,103.20.165.0,24
apnic,103.21.192.0,24
apnic,103.24.15.0,24
apnic,103.24.92.0,22
apnic,103.27.0.0,24
apnic,103.27.180.0,22
apnic,103.30.4.0,22
apnic,103.30.48.0,22
apnic,103.35.122.0,24
apnic,103.35.144.0,22
apnic,103.37.192.0,22
apnic,103.37.232.0,22
apnic,103.38.28.0,22
apnic,103.38.144.0,24
apnic,103.38.160.0,22
apnic,103.39.108.0,22
apnic,103.40.110.0,23
apnic,103.42.18.0,24
apnic,103.43.20.0,22
apnic,103.44.160.0,22
apnic,103.47.88.0,23
apnic,103.47.112.0,22
apnic,103.48.48.0,23
apnic,103.48.140.0,22
apnic,103.49.126.0,24
apnic,103.49.160.0,22
apnic,103.51.144.0,22
apnic,103.54.192.0,22
apnic,103.55.112.0,23
apnic,103.55.218.0,24
apnic,103.56.192.0,22
apnic,103.57.90.0,24
apnic,103.58.182.0,23
apnic,103.59.48.0,22
apnic,103.59.90.0,23
apnic,103.60.108.0,22
apnic,103.60.190.0,23
apnic,103.61.28.0,22
apnic,103.61.36.0,22
apnic,103.65.98.0,23
apnic,103.70.59.0,24
apnic,103.71.28.0,22
apnic,103.74.128.0,22
apnic,103.78.40.0,22
apnic,103.80.220.0,22
apnic,103.83.16.0,23
apnic,103.83.231.0,24
apnic,103.84.220.0,22
