region,version,ip,prefixlength
lacnic,ipv4,45.71.52.0,22
lacnic,ipv4,45.168.172.0,23
lacnic,ipv4,45.169.244.0,22
lacnic,ipv4,131.221.8.0,22
lacnic,ipv4,179.0.31.0,24
lacnic,ipv4,192.100.171.0,24
lacnic,ipv4,200.3.194.0,24
lacnic,ipv4,200.3.224.0,20
lacnic,ipv4,200.3.240.0,24
lacnic,ipv4,200.9.120.0,23
lacnic,ipv4,200.10.153.0,24
lacnic,ipv4,200.13.132.0,22
lacnic,ipv4,200.106.246.0,24
lacnic,ipv4,200.107.80.0,24
lacnic,ipv4,200.107.208.0,21
lacnic,ipv4,200.115.176.0,24
lacnic,ipv4,207.248.66.0,23
lacnic,ipv6,2801:0:30::,48
lacnic,ipv6,2801:14c::,44
lacnic,ipv6,2801:0:1a0::,48
lacnic,ipv6,2801:0:2c0::,48
lacnic,ipv6,2801:1a:800::,48
lacnic,ipv6,2801:10:6000::,48
lacnic,ipv6,2801:10:6001::,48
lacnic,ipv6,2801:10:6002::,47
lacnic,ipv6,2801:10:6004::,46
lacnic,ipv6,2801:10:6008::,45
lacnic,ipv6,2801:12:2000::,48
lacnic,ipv6,2801:16:2000::,48
lacnic,ipv6,2801:17:1000::,48
lacnic,ipv6,2801:18:b000::,48
lacnic,ipv6,2801:1c:c000::,48
lacnic,ipv6,2801:1f:1000::,48
