region,ip,prefixlength,org
ripencc,2001:b68::,32,hr.carnet;Croatian Academic and Research Network
ripencc,2a00:c30::,29,hr.hptnet;Hrvatski Telekom d.d.
ripencc,2a00:dd8::,32,n/a
ripencc,2a02:ac8::,32,hr.tele2;Telemach Hrvatska d.o.o.
ripencc,2a04:900::,29,hr.apis-it;APIS IT d.o.o.
ripencc,2a10:940::,29,hr.bit;BIT d.o.o.
ripencc,2a13:e40::,29,n/a
ripencc,2001:1af0::,29,n/a
ripencc,2a00:1bb8::,32,n/a
ripencc,2a00:7880::,32,hr.volja;Terrakom d.o.o.
ripencc,2a00:f5a0::,32,hr.ping;PRO-PING d.o.o.
ripencc,2a01:7c40::,32,hr.ri;Grad Rijeka-Gradsko Vijece
ripencc,2a01:82c0::,32,n/a
ripencc,2a01:a760::,32,hr.krksistemi;KRK sistemi d.o.o. za telekomunikacije
ripencc,2a02:20b8::,32,hr.oiv;Odasiljaci i veze d.o.o.
ripencc,2a02:2608::,32,hr.omonia;OMONIA d.o.o.
ripencc,2a02:5f40::,32,n/a
ripencc,2a02:6320::,32,hr.avalon;Avalon d.o.o.
ripencc,2a02:e220::,30,n/a
ripencc,2a03:23c0::,32,n/a
ripencc,2a03:39e0::,32,hr.sgsplitskabanka;OTP banka Hrvatska d.d.
ripencc,2a03:4280::,32,n/a
ripencc,2a03:6100::,32,hr.tele2;Telemach Hrvatska d.o.o.
ripencc,2a03:6220::,32,n/a
ripencc,2a03:9360::,32,hr.fina;Financijska agencija
ripencc,2a03:bb40::,32,hr.itsoft;SETCOR d.o.o.
ripencc,2a04:a7c0::,29,n/a
ripencc,2a05:1840::,29,hr.akd;AKD d.o.o.
ripencc,2a05:4f40::,29,n/a
ripencc,2a05:70c0::,29,n/a
ripencc,2a05:dbc0::,29,hr.mup;Ministarstvo unutarnjih poslova Republike Hrvatske
ripencc,2a06:5ec0::,29,hr.sudostar1;Josip Sabolek
ripencc,2a07:3840::,29,hr.globaldizajn;Globaldizajn d.o.o.
ripencc,2a07:5ac0::,29,n/a
ripencc,2a07:7400::,29,hr.4tel3;4Tel Telekomunikacije d.o.o.
ripencc,2a07:9740::,29,n/a
ripencc,2a09:2540::,29,n/a
ripencc,2a09:dd80::,29,hr.sysbee;System Bee d.o.o.
ripencc,2a0a:2c40::,29,n/a
ripencc,2a0a:e300::,30,n/a
ripencc,2a0b:7940::,29,hr.econet;Eco Net d.o.o.
ripencc,2a0b:9ec0::,32,n/a
ripencc,2a0b:b540::,29,n/a
ripencc,2a0b:e600::,29,hr.4tel3;4Tel Telekomunikacije d.o.o.
ripencc,2a0b:ee40::,29,hr.dhh;Plus Hosting Grupa d.o.o.
ripencc,2a0c:4500::,32,n/a
ripencc,2a0c:5540::,29,hr.fenice;Fenice Telekom Grupa d.o.o.
ripencc,2a0c:e540::,29,n/a
ripencc,2a0c:e680::,29,n/a
ripencc,2a0d:8240::,29,n/a
ripencc,2a0d:f440::,29,hr.croatian;Croatian Regulatory Authority for Network Industries
ripencc,2a0e:99c0::,29,n/a
ripencc,2a0e:bfc0::,29,hr.maxko;MAXKO j.d.o.o.
ripencc,2a0e:d2c0::,29,hr.omonia;OMONIA d.o.o.
ripencc,2a10:5700::,29,hr.tele2;Telemach Hrvatska d.o.o.
ripencc,2a10:8d80::,29,hr.hattrick-psk;Hattrick-PSK d.o.o.
ripencc,2a10:c140::,29,hr.vrw;Vrbovec Wireless
ripencc,2a10:d400::,29,hr.barrage;Barrage d.o.o.
ripencc,2a11:42c0::,29,hr.intersat;Intersat Telekomunikacije d.o.o.
ripencc,2a11:d980::,29,hr.info-impero;Info-Impero d.o.o.
ripencc,2a12:69c0::,29,n/a
ripencc,2a13:16c0::,29,n/a
