region,ip,prefixlength
ripencc,81.160.128.0,17
ripencc,87.101.112.0,20
ripencc,91.196.112.0,22
ripencc,91.198.7.0,24
ripencc,91.198.131.0,24
ripencc,91.198.198.0,24
ripencc,91.199.52.0,24
ripencc,91.199.72.0,24
ripencc,91.199.155.0,24
ripencc,91.208.36.0,24
ripencc,91.209.114.0,24
ripencc,91.212.250.0,24
ripencc,91.213.9.0,24
ripencc,91.213.40.0,24
ripencc,91.213.150.0,24
ripencc,91.216.60.0,24
ripencc,91.216.70.0,24
ripencc,91.216.150.0,24
ripencc,91.217.169.0,24
ripencc,91.219.84.0,22
ripencc,91.219.236.0,22
ripencc,91.220.29.0,24
ripencc,91.220.172.0,24
ripencc,91.220.247.0,24
ripencc,91.220.251.0,24
ripencc,91.223.222.0,24
ripencc,91.226.79.0,24
ripencc,91.227.138.0,23
ripencc,91.228.212.0,23
ripencc,91.229.93.0,24
ripencc,91.233.21.0,24
ripencc,91.236.182.0,24
ripencc,130.93.192.0,18
ripencc,146.110.0.0,16
ripencc,147.7.0.0,16
ripencc,148.6.0.0,16
ripencc,152.66.0.0,16
ripencc,157.181.0.0,16
ripencc,158.249.0.0,16
ripencc,160.114.0.0,16
ripencc,171.19.0.0,16
ripencc,171.25.180.0,23
ripencc,171.31.0.0,16
ripencc,185.1.24.0,24
ripencc,192.84.226.0,24
ripencc,192.84.227.0,24
ripencc,192.84.228.0,24
ripencc,192.84.229.0,24
ripencc,192.146.134.0,23
ripencc,192.150.238.0,24
ripencc,192.153.18.0,24
ripencc,192.153.19.0,24
ripencc,192.153.116.0,24
ripencc,192.160.172.0,24
ripencc,192.188.242.0,21
ripencc,192.190.173.0,24
ripencc,193.0.226.0,24
ripencc,193.9.26.0,23
ripencc,193.16.46.0,24
ripencc,193.17.175.0,24
ripencc,193.23.138.0,23
ripencc,193.26.31.0,24
ripencc,193.28.86.0,24
ripencc,193.28.231.0,24
ripencc,193.29.49.0,24
ripencc,193.30.164.0,24
ripencc,193.34.134.0,23
ripencc,193.42.222.0,24
ripencc,193.109.252.0,23
ripencc,193.110.56.0,21
ripencc,193.111.224.0,24
ripencc,193.138.125.0,24
ripencc,193.138.127.0,24
ripencc,193.142.145.0,24
ripencc,193.142.153.0,24
ripencc,193.142.209.0,24
ripencc,193.151.116.0,22
ripencc,193.169.16.0,23
ripencc,193.178.119.0,24
ripencc,193.178.168.0,24
ripencc,193.188.137.0,24
ripencc,193.188.140.0,23
ripencc,193.188.192.0,22
ripencc,193.194.159.0,24
ripencc,193.200.136.0,24
ripencc,193.218.98.0,24
ripencc,193.227.196.0,22
ripencc,193.239.148.0,23
ripencc,194.0.164.0,24
ripencc,194.29.185.0,24
ripencc,194.33.69.0,24
ripencc,194.50.101.0,24
ripencc,194.54.156.0,22
ripencc,194.88.130.0,23
ripencc,194.110.204.0,24
ripencc,194.140.248.0,24
ripencc,194.246.102.0,24
ripencc,195.5.177.0,24
ripencc,195.20.152.0,24
ripencc,195.88.251.0,24
ripencc,195.114.16.0,23
ripencc,195.128.232.0,23
ripencc,195.130.203.0,24
ripencc,195.144.20.0,24
ripencc,195.170.170.0,24
ripencc,195.170.184.0,24
ripencc,195.191.97.0,24
ripencc,195.191.222.0,23
ripencc,195.191.228.0,23
ripencc,195.210.0.0,23
ripencc,195.216.251.0,24
ripencc,195.230.106.0,24
ripencc,195.246.199.0,24
ripencc,195.248.95.0,24
ripencc,195.250.39.0,24
