region,version,ip,prefixlength,org
apnic,ipv4,14.102.152.0,22,n/a
apnic,ipv4,27.50.16.0,20,n/a
apnic,ipv4,27.54.116.0,22,n/a
apnic,ipv4,27.111.32.0,20,n/a
apnic,ipv4,27.111.48.0,20,n/a
apnic,ipv4,27.112.64.0,21,n/a
apnic,ipv4,27.112.76.0,24,n/a
apnic,ipv4,27.112.77.0,24,n/a
apnic,ipv4,27.112.78.0,23,n/a
apnic,ipv4,27.121.80.0,21,n/a
apnic,ipv4,27.123.0.0,21,n/a
apnic,ipv4,27.123.220.0,22,n/a
apnic,ipv4,27.124.80.0,20,n/a
apnic,ipv4,27.131.0.0,21,n/a
apnic,ipv4,27.131.248.0,22,n/a
apnic,ipv4,36.37.64.0,18,n/a
apnic,ipv4,36.64.0.0,11,n/a
apnic,ipv4,39.192.0.0,10,n/a
apnic,ipv4,43.224.16.0,22,n/a
apnic,ipv4,43.224.168.0,22,n/a
apnic,ipv4,43.225.64.0,22,n/a
apnic,ipv4,43.225.184.0,22,n/a
apnic,ipv4,43.227.148.0,22,n/a
apnic,ipv4,43.229.20.0,22,n/a
apnic,ipv4,43.229.204.0,22,n/a
apnic,ipv4,43.229.252.0,24,n/a
apnic,ipv4,43.229.253.0,24,n/a
apnic,ipv4,43.229.254.0,23,n/a
apnic,ipv4,43.230.28.0,22,n/a
apnic,ipv4,43.230.152.0,22,n/a
apnic,ipv4,43.240.80.0,22,n/a
apnic,ipv4,43.240.228.0,22,n/a
apnic,ipv4,43.241.148.0,22,n/a
apnic,ipv4,43.243.140.0,22,n/a
apnic,ipv4,43.243.152.0,22,n/a
apnic,ipv4,43.243.184.0,22,n/a
apnic,ipv4,43.245.188.0,22,n/a
apnic,ipv4,43.245.248.0,22,n/a
apnic,ipv4,43.247.12.0,22,n/a
apnic,ipv4,43.247.20.0,22,n/a
apnic,ipv4,43.247.32.0,22,n/a
apnic,ipv4,43.248.24.0,22,n/a
apnic,ipv4,43.248.212.0,22,n/a
apnic,ipv4,43.249.140.0,22,n/a
apnic,ipv4,43.249.208.0,22,n/a
apnic,ipv4,43.250.76.0,22,n/a
apnic,ipv4,43.251.96.0,22,n/a
apnic,ipv4,43.252.8.0,22,n/a
apnic,ipv4,43.252.72.0,22,n/a
apnic,ipv4,43.252.104.0,22,n/a
apnic,ipv4,43.252.144.0,23,n/a
apnic,ipv4,43.252.156.0,22,n/a
apnic,ipv4,43.252.236.0,22,n/a
apnic,ipv4,43.254.124.0,22,n/a
apnic,ipv4,43.255.196.0,22,n/a
apnic,ipv4,45.64.4.0,22,n/a
apnic,ipv4,45.64.44.0,22,n/a
apnic,ipv4,45.64.100.0,22,n/a
apnic,ipv4,45.64.252.0,22,n/a
apnic,ipv4,45.112.124.0,22,n/a
apnic,ipv4,45.114.116.0,22,n/a
apnic,ipv4,45.115.64.0,22,n/a
apnic,ipv4,45.115.136.0,22,n/a
apnic,ipv4,45.116.156.0,22,n/a
apnic,ipv4,45.118.112.0,22,n/a
apnic,ipv4,45.120.244.0,22,n/a
apnic,ipv4,45.121.40.0,22,n/a
apnic,ipv4,45.121.216.0,22,n/a
apnic,ipv4,45.122.52.0,22,n/a
apnic,ipv4,45.122.56.0,22,n/a
apnic,ipv4,45.126.80.0,22,n/a
apnic,ipv4,45.126.152.0,22,n/a
apnic,ipv4,45.126.184.0,22,n/a
apnic,ipv4,45.127.204.0,22,n/a
apnic,ipv4,45.251.4.0,22,n/a
apnic,ipv4,45.251.72.0,22,n/a
apnic,ipv4,49.0.0.0,22,n/a
apnic,ipv4,49.128.176.0,21,n/a
apnic,ipv4,49.128.188.0,22,n/a
apnic,ipv4,49.156.20.0,22,n/a
apnic,ipv4,49.156.56.0,23,n/a
apnic,ipv4,49.156.58.0,23,n/a
apnic,ipv4,49.156.60.0,24,n/a
apnic,ipv4,49.156.61.0,24,n/a
apnic,ipv4,49.156.62.0,23,n/a
apnic,ipv4,49.236.216.0,21,n/a
apnic,ipv4,58.65.240.0,21,n/a
apnic,ipv4,58.145.168.0,21,n/a
apnic,ipv4,58.147.184.0,21,n/a
apnic,ipv4,59.153.24.0,23,n/a
apnic,ipv4,59.153.128.0,22,n/a
apnic,ipv4,60.253.96.0,19,n/a
apnic,ipv4,61.5.0.0,17,n/a
apnic,ipv4,61.8.64.0,20,n/a
apnic,ipv4,61.14.248.0,22,n/a
apnic,ipv4,61.29.252.0,23,n/a
apnic,ipv4,61.94.0.0,16,n/a
apnic,ipv4,61.247.0.0,18,n/a
apnic,ipv4,66.96.224.0,20,n/a
apnic,ipv4,66.96.240.0,20,n/a
apnic,ipv4,101.0.4.0,22,n/a
apnic,ipv4,101.50.16.0,20,n/a
apnic,ipv4,101.128.64.0,18,n/a
apnic,ipv4,101.255.0.0,16,n/a
apnic,ipv4,103.1.50.0,23,n/a
apnic,ipv4,103.1.156.0,23,n/a
apnic,ipv4,103.2.144.0,22,n/a
apnic,ipv4,103.3.56.0,23,n/a
apnic,ipv4,103.3.58.0,24,n/a
apnic,ipv4,103.3.59.0,24,n/a
apnic,ipv4,103.3.76.0,22,n/a
apnic,ipv4,103.3.208.0,22,n/a
apnic,ipv4,103.3.212.0,22,n/a
apnic,ipv4,103.3.220.0,22,n/a
apnic,ipv4,103.4.0.0,22,n/a
apnic,ipv4,103.4.76.0,23,n/a
apnic,ipv4,103.4.80.0,23,n/a
apnic,ipv4,103.4.82.0,23,n/a
apnic,ipv4,103.4.100.0,23,n/a
apnic,ipv4,103.4.134.0,23,n/a
apnic,ipv4,103.4.164.0,22,n/a
apnic,ipv4,103.4.240.0,22,n/a
apnic,ipv4,103.5.149.0,24,n/a
apnic,ipv4,103.5.215.0,24,n/a
apnic,ipv4,103.6.36.0,22,n/a
apnic,ipv4,103.6.166.0,24,n/a
apnic,ipv4,103.7.194.0,23,n/a
apnic,ipv4,103.8.64.0,23,n/a
apnic,ipv4,103.8.66.0,23,n/a
apnic,ipv4,103.8.184.0,23,n/a
apnic,ipv4,103.8.186.0,23,n/a
apnic,ipv4,103.8.192.0,23,n/a
apnic,ipv4,103.8.194.0,23,n/a
apnic,ipv4,103.8.224.0,22,n/a
apnic,ipv4,103.9.140.0,23,n/a
apnic,ipv4,103.10.60.0,22,n/a
apnic,ipv4,103.10.70.0,23,n/a
apnic,ipv4,103.10.96.0,22,n/a
apnic,ipv4,103.10.136.0,22,n/a
apnic,ipv4,103.10.148.0,22,n/a
apnic,ipv4,103.10.184.0,22,n/a
apnic,ipv4,103.10.192.0,23,n/a
apnic,ipv4,103.11.21.0,24,n/a
apnic,ipv4,103.11.28.0,22,n/a
apnic,ipv4,103.11.96.0,22,n/a
apnic,ipv4,103.11.148.0,23,n/a
apnic,ipv4,103.12.28.0,22,n/a
apnic,ipv4,103.12.112.0,22,n/a
apnic,ipv4,103.12.206.0,23,n/a
apnic,ipv4,103.12.220.0,22,n/a
apnic,ipv4,103.12.224.0,23,n/a
apnic,ipv4,103.12.226.0,23,n/a
apnic,ipv4,103.13.4.0,23,n/a
apnic,ipv4,103.13.6.0,23,n/a
apnic,ipv4,103.13.136.0,23,n/a
apnic,ipv4,103.13.138.0,23,n/a
apnic,ipv4,103.13.164.0,23,n/a
apnic,ipv4,103.13.204.0,23,n/a
apnic,ipv4,103.13.206.0,23,n/a
apnic,ipv4,103.13.232.0,23,n/a
apnic,ipv4,103.13.234.0,23,n/a
apnic,ipv4,103.14.2.0,24,n/a
apnic,ipv4,103.14.231.0,24,n/a
apnic,ipv4,103.15.12.0,23,n/a
apnic,ipv4,103.15.14.0,23,n/a
apnic,ipv4,103.15.160.0,23,n/a
apnic,ipv4,103.15.172.0,22,n/a
apnic,ipv4,103.15.214.0,23,n/a
apnic,ipv4,103.16.116.0,23,n/a
apnic,ipv4,103.16.118.0,23,n/a
apnic,ipv4,103.17.32.0,23,n/a
apnic,ipv4,103.17.34.0,23,n/a
apnic,ipv4,103.17.52.0,22,n/a
apnic,ipv4,103.17.142.0,23,n/a
apnic,ipv4,103.17.172.0,22,n/a
apnic,ipv4,103.17.178.0,23,n/a
apnic,ipv4,103.17.244.0,22,n/a
apnic,ipv4,103.18.16.0,22,n/a
apnic,ipv4,103.18.28.0,22,n/a
apnic,ipv4,103.18.44.0,23,n/a
apnic,ipv4,103.18.76.0,22,n/a
apnic,ipv4,103.18.112.0,23,n/a
apnic,ipv4,103.18.114.0,23,n/a
apnic,ipv4,103.18.144.0,22,n/a
apnic,ipv4,103.18.184.0,23,n/a
apnic,ipv4,103.18.220.0,22,n/a
apnic,ipv4,103.18.232.0,23,n/a
apnic,ipv4,103.19.108.0,22,n/a
apnic,ipv4,103.19.156.0,23,n/a
apnic,ipv4,103.19.158.0,23,n/a
apnic,ipv4,103.19.184.0,22,n/a
apnic,ipv4,103.19.204.0,22,n/a
apnic,ipv4,103.19.208.0,22,n/a
apnic,ipv4,103.19.228.0,22,n/a
apnic,ipv4,103.20.16.0,24,n/a
apnic,ipv4,103.20.50.0,24,n/a
apnic,ipv4,103.20.84.0,23,n/a
apnic,ipv4,103.20.86.0,23,n/a
apnic,ipv4,103.20.88.0,24,n/a
apnic,ipv4,103.20.108.0,23,n/a
apnic,ipv4,103.20.166.0,23,n/a
apnic,ipv4,103.20.184.0,22,n/a
apnic,ipv4,103.20.188.0,22,n/a
apnic,ipv4,103.21.84.0,22,n/a
apnic,ipv4,103.21.195.0,24,n/a
apnic,ipv4,103.21.204.0,22,n/a
apnic,ipv4,103.21.212.0,22,n/a
apnic,ipv4,103.21.216.0,22,n/a
apnic,ipv4,103.21.224.0,22,n/a
apnic,ipv4,103.22.98.0,23,n/a
apnic,ipv4,103.22.132.0,22,n/a
apnic,ipv4,103.22.216.0,23,n/a
apnic,ipv4,103.22.240.0,22,n/a
apnic,ipv4,103.22.248.0,22,n/a
apnic,ipv4,103.23.32.0,22,n/a
apnic,ipv4,103.23.96.0,23,n/a
apnic,ipv4,103.23.98.0,23,n/a
apnic,ipv4,103.23.180.0,22,n/a
apnic,ipv4,103.23.196.0,23,n/a
apnic,ipv4,103.23.198.0,23,n/a
apnic,ipv4,103.23.200.0,22,n/a
apnic,ipv4,103.24.72.0,22,n/a
apnic,ipv4,103.24.104.0,22,n/a
apnic,ipv4,103.24.148.0,22,n/a
apnic,ipv4,103.24.196.0,23,n/a
apnic,ipv4,103.24.198.0,23,n/a
apnic,ipv4,103.24.212.0,22,n/a
apnic,ipv4,103.24.224.0,23,n/a
apnic,ipv4,103.24.226.0,23,n/a
apnic,ipv4,103.25.108.0,22,n/a
apnic,ipv4,103.25.166.0,23,n/a
apnic,ipv4,103.25.184.0,23,n/a
apnic,ipv4,103.25.186.0,23,n/a
apnic,ipv4,103.25.208.0,22,n/a
apnic,ipv4,103.26.4.0,22,n/a
apnic,ipv4,103.26.116.0,23,n/a
apnic,ipv4,103.26.118.0,23,n/a
apnic,ipv4,103.26.128.0,22,n/a
apnic,ipv4,103.26.176.0,23,n/a
apnic,ipv4,103.26.178.0,23,n/a
apnic,ipv4,103.26.188.0,23,n/a
apnic,ipv4,103.26.190.0,23,n/a
apnic,ipv4,103.26.212.0,22,n/a
apnic,ipv4,103.27.192.0,23,n/a
apnic,ipv4,103.27.194.0,23,n/a
apnic,ipv4,103.28.16.0,23,n/a
apnic,ipv4,103.28.56.0,22,n/a
apnic,ipv4,103.28.112.0,22,n/a
apnic,ipv4,103.28.116.0,22,n/a
apnic,ipv4,103.28.224.0,22,n/a
apnic,ipv4,103.29.4.0,22,n/a
apnic,ipv4,103.29.10.0,23,n/a
apnic,ipv4,103.29.120.0,22,n/a
apnic,ipv4,103.29.148.0,22,n/a
apnic,ipv4,103.29.164.0,22,n/a
apnic,ipv4,103.29.228.0,22,n/a
apnic,ipv4,103.30.0.0,22,n/a
apnic,ipv4,103.30.56.0,22,n/a
apnic,ipv4,103.30.180.0,22,n/a
apnic,ipv4,103.30.192.0,23,n/a
apnic,ipv4,103.30.194.0,23,n/a
apnic,ipv4,103.30.220.0,22,n/a
apnic,ipv4,103.31.36.0,23,n/a
apnic,ipv4,103.31.38.0,23,n/a
apnic,ipv4,103.31.42.0,23,n/a
apnic,ipv4,103.31.44.0,23,n/a
apnic,ipv4,103.31.46.0,24,n/a
apnic,ipv4,103.31.47.0,24,n/a
apnic,ipv4,103.31.118.0,23,n/a
apnic,ipv4,103.31.132.0,22,n/a
apnic,ipv4,103.31.156.0,22,n/a
apnic,ipv4,103.31.232.0,22,n/a
apnic,ipv4,103.31.240.0,23,n/a
apnic,ipv4,103.35.152.0,23,n/a
apnic,ipv4,103.35.154.0,23,n/a
apnic,ipv4,103.35.166.0,23,n/a
apnic,ipv4,103.35.219.0,24,n/a
apnic,ipv4,103.36.40.0,22,n/a
apnic,ipv4,103.36.52.0,23,n/a
apnic,ipv4,103.36.70.0,24,n/a
apnic,ipv4,103.37.124.0,23,n/a
apnic,ipv4,103.37.168.0,22,n/a
apnic,ipv4,103.37.224.0,22,n/a
apnic,ipv4,103.37.244.0,22,n/a
apnic,ipv4,103.38.100.0,22,n/a
apnic,ipv4,103.39.12.0,22,n/a
apnic,ipv4,103.39.48.0,22,n/a
apnic,ipv4,103.39.68.0,23,n/a
apnic,ipv4,103.39.70.0,23,n/a
apnic,ipv4,103.39.72.0,23,n/a
