region,version,ip,prefixlength
apnic,ipv4,27.0.196.0,22
apnic,ipv4,42.62.176.0,22
apnic,ipv4,43.229.248.0,22
apnic,ipv4,43.230.4.0,24
apnic,ipv4,43.230.5.0,24
apnic,ipv4,43.230.7.0,24
apnic,ipv4,43.230.128.0,22
apnic,ipv4,43.231.128.0,23
apnic,ipv4,43.240.224.0,22
apnic,ipv4,43.242.132.0,23
apnic,ipv4,43.245.180.0,22
apnic,ipv4,43.245.184.0,22
apnic,ipv4,43.247.36.0,22
apnic,ipv4,43.252.136.0,22
apnic,ipv4,43.252.146.0,23
apnic,ipv4,43.252.184.0,22
apnic,ipv4,43.252.222.0,23
apnic,ipv4,43.254.68.0,22
apnic,ipv4,43.254.80.0,22
apnic,ipv4,45.64.0.0,22
apnic,ipv4,45.64.96.0,22
apnic,ipv4,45.113.228.0,22
apnic,ipv4,45.125.72.0,22
apnic,ipv4,45.126.56.0,22
apnic,ipv4,45.126.132.0,22
apnic,ipv4,45.127.132.0,22
apnic,ipv4,45.249.216.0,23
apnic,ipv4,45.249.220.0,22
apnic,ipv4,45.250.100.0,22
apnic,ipv4,49.0.24.0,22
apnic,ipv4,49.50.4.0,22
apnic,ipv4,49.50.8.0,22
apnic,ipv4,49.128.184.0,22
apnic,ipv4,59.153.80.0,22
apnic,ipv4,101.50.0.0,22
apnic,ipv4,101.203.168.0,22
apnic,ipv4,103.3.44.0,23
apnic,ipv4,103.3.46.0,24
apnic,ipv4,103.3.47.0,24
apnic,ipv4,103.3.68.0,23
apnic,ipv4,103.3.70.0,24
apnic,ipv4,103.3.71.0,24
apnic,ipv4,103.4.52.0,23
apnic,ipv4,103.4.54.0,24
apnic,ipv4,103.4.174.0,23
apnic,ipv4,103.4.206.0,23
apnic,ipv4,103.5.48.0,23
apnic,ipv4,103.5.50.0,23
apnic,ipv4,103.5.107.0,24
apnic,ipv4,103.5.148.0,24
apnic,ipv4,103.6.0.0,23
apnic,ipv4,103.6.34.0,24
apnic,ipv4,103.6.40.0,22
apnic,ipv4,103.6.52.0,22
apnic,ipv4,103.6.117.0,24
apnic,ipv4,103.6.118.0,24
apnic,ipv4,103.6.180.0,24
apnic,ipv4,103.6.200.0,22
apnic,ipv4,103.6.204.0,22
apnic,ipv4,103.6.214.0,24
apnic,ipv4,103.7.0.0,23
apnic,ipv4,103.7.12.0,22
apnic,ipv4,103.7.52.0,23
apnic,ipv4,103.7.84.0,22
apnic,ipv4,103.7.173.0,24
apnic,ipv4,103.7.176.0,24
apnic,ipv4,103.7.178.0,23
apnic,ipv4,103.7.184.0,22
apnic,ipv4,103.7.225.0,24
apnic,ipv4,103.7.226.0,23
apnic,ipv4,103.7.228.0,22
apnic,ipv4,103.8.12.0,24
apnic,ipv4,103.8.56.0,22
apnic,ipv4,103.8.63.0,24
apnic,ipv4,103.8.74.0,23
apnic,ipv4,103.8.76.0,23
apnic,ipv4,103.8.78.0,23
apnic,ipv4,103.8.96.0,22
apnic,ipv4,103.8.122.0,24
apnic,ipv4,103.8.228.0,24
apnic,ipv4,103.8.238.0,24
apnic,ipv4,103.8.244.0,22
apnic,ipv4,103.9.22.0,24
apnic,ipv4,103.9.36.0,22
apnic,ipv4,103.9.44.0,22
apnic,ipv4,103.9.107.0,24
apnic,ipv4,103.9.124.0,22
apnic,ipv4,103.9.144.0,22
apnic,ipv4,103.9.183.0,24
apnic,ipv4,103.9.227.0,24
apnic,ipv4,103.10.56.0,24
apnic,ipv4,103.10.58.0,23
apnic,ipv4,103.10.64.0,22
apnic,ipv4,103.10.80.0,23
apnic,ipv4,103.10.104.0,22
apnic,ipv4,103.10.110.0,24
apnic,ipv4,103.10.111.0,24
apnic,ipv4,103.10.120.0,22
apnic,ipv4,103.10.128.0,22
apnic,ipv4,103.10.144.0,24
apnic,ipv4,103.10.145.0,24
apnic,ipv4,103.10.146.0,23
apnic,ipv4,103.10.169.0,24
apnic,ipv4,103.10.170.0,23
apnic,ipv4,103.10.223.0,24
apnic,ipv4,103.10.253.0,24
apnic,ipv4,103.11.22.0,23
apnic,ipv4,103.11.74.0,23
apnic,ipv4,103.11.106.0,23
apnic,ipv4,103.11.132.0,23
apnic,ipv4,103.11.134.0,23
apnic,ipv4,103.11.176.0,23
apnic,ipv4,103.11.179.0,24
apnic,ipv4,103.11.186.0,23
apnic,ipv4,103.11.222.0,24
apnic,ipv4,103.11.223.0,24
apnic,ipv4,103.11.252.0,22
apnic,ipv4,103.12.12.0,22
apnic,ipv4,103.12.20.0,23
apnic,ipv4,103.12.23.0,24
apnic,ipv4,103.12.80.0,23
apnic,ipv4,103.12.84.0,24
apnic,ipv4,103.12.164.0,24
apnic,ipv4,103.12.167.0,24
apnic,ipv4,103.12.240.0,24
apnic,ipv4,103.12.242.0,23
apnic,ipv4,103.13.36.0,24
apnic,ipv4,103.13.37.0,24
apnic,ipv4,103.13.38.0,24
apnic,ipv4,103.13.181.0,24
apnic,ipv4,103.13.200.0,22
apnic,ipv4,103.14.16.0,22
apnic,ipv4,103.14.20.0,23
apnic,ipv4,103.14.44.0,23
apnic,ipv4,103.14.74.0,23
apnic,ipv4,103.14.108.0,24
apnic,ipv4,103.14.110.0,23
apnic,ipv4,103.14.192.0,24
apnic,ipv4,103.14.195.0,24
apnic,ipv4,103.14.229.0,24
apnic,ipv4,103.15.36.0,23
apnic,ipv4,103.15.143.0,24
apnic,ipv4,103.15.226.0,24
apnic,ipv4,103.15.240.0,22
apnic,ipv4,103.15.251.0,24
apnic,ipv4,103.16.48.0,23
apnic,ipv4,103.16.77.0,24
apnic,ipv4,103.16.78.0,24
apnic,ipv4,103.16.79.0,24
apnic,ipv4,103.16.112.0,22
apnic,ipv4,103.16.132.0,23
apnic,ipv4,103.16.136.0,22
apnic,ipv4,103.16.188.0,22
apnic,ipv4,103.16.197.0,24
apnic,ipv4,103.16.198.0,23
apnic,ipv4,103.16.220.0,24
apnic,ipv4,103.16.223.0,24
apnic,ipv4,103.16.232.0,22
apnic,ipv4,103.17.58.0,24
apnic,ipv4,103.17.76.0,23
apnic,ipv4,103.17.79.0,24
apnic,ipv4,103.17.164.0,24
apnic,ipv4,103.17.182.0,23
apnic,ipv4,103.17.192.0,24
apnic,ipv4,103.18.32.0,23
apnic,ipv4,103.18.34.0,23
apnic,ipv4,103.18.46.0,23
apnic,ipv4,103.18.96.0,22
apnic,ipv4,103.18.117.0,24
apnic,ipv4,103.18.132.0,22
apnic,ipv4,103.18.153.0,24
apnic,ipv4,103.18.181.0,24
apnic,ipv4,103.18.188.0,24
apnic,ipv4,103.18.190.0,23
apnic,ipv4,103.18.236.0,22
apnic,ipv4,103.18.240.0,24
apnic,ipv4,103.19.37.0,24
apnic,ipv4,103.19.56.0,22
apnic,ipv4,103.19.76.0,22
apnic,ipv4,103.19.80.0,23
apnic,ipv4,103.19.176.0,22
apnic,ipv4,103.19.180.0,22
apnic,ipv4,103.20.21.0,24
apnic,ipv4,103.20.51.0,24
apnic,ipv4,103.20.90.0,23
apnic,ipv4,103.20.106.0,23
apnic,ipv4,103.20.196.0,23
apnic,ipv4,103.20.219.0,24
apnic,ipv4,103.21.92.0,22
apnic,ipv4,103.21.228.0,24
apnic,ipv4,103.21.229.0,24
apnic,ipv4,103.22.136.0,22
apnic,ipv4,103.22.164.0,23
apnic,ipv4,103.22.166.0,24
apnic,ipv4,103.22.204.0,22
apnic,ipv4,103.22.232.0,23
apnic,ipv4,103.23.20.0,22
apnic,ipv4,103.23.28.0,24
apnic,ipv4,103.23.30.0,24
apnic,ipv4,103.23.100.0,22
apnic,ipv4,103.23.116.0,23
apnic,ipv4,103.23.141.0,24
apnic,ipv4,103.23.151.0,24
apnic,ipv4,103.23.175.0,24
apnic,ipv4,103.23.224.0,22
apnic,ipv4,103.23.232.0,23
apnic,ipv4,103.23.234.0,23
apnic,ipv4,103.23.240.0,22
apnic,ipv4,103.23.244.0,24
apnic,ipv4,103.24.12.0,23
apnic,ipv4,103.24.48.0,22
apnic,ipv4,103.24.56.0,22
apnic,ipv4,103.24.76.0,24
apnic,ipv4,103.25.54.0,23
apnic,ipv4,103.25.165.0,24
apnic,ipv4,103.25.192.0,22
apnic,ipv4,103.25.196.0,23
apnic,ipv4,103.25.222.0,23
apnic,ipv4,103.26.12.0,22
apnic,ipv4,103.26.100.0,24
apnic,ipv4,103.26.101.0,24
apnic,ipv4,103.26.102.0,24
apnic,ipv4,103.26.208.0,22
apnic,ipv4,103.27.3.0,24
apnic,ipv4,103.27.36.0,24
apnic,ipv4,103.27.206.0,23
apnic,ipv4,103.27.248.0,22
apnic,ipv4,103.27.252.0,23
apnic,ipv4,103.28.12.0,22
apnic,ipv4,103.28.21.0,24
apnic,ipv4,103.28.22.0,23
apnic,ipv4,103.28.52.0,23
apnic,ipv4,103.28.74.0,23
apnic,ipv4,103.28.80.0,22
apnic,ipv4,103.28.93.0,24
apnic,ipv4,103.28.94.0,23
apnic,ipv4,103.28.104.0,24
apnic,ipv4,103.28.106.0,23
apnic,ipv4,103.28.108.0,22
apnic,ipv4,103.28.148.0,23
apnic,ipv4,103.28.161.0,24
apnic,ipv4,103.28.163.0,24
apnic,ipv4,103.28.176.0,22
apnic,ipv4,103.28.188.0,22
apnic,ipv4,103.28.192.0,22
apnic,ipv4,103.28.218.0,24
apnic,ipv4,103.28.219.0,24
apnic,ipv4,103.28.220.0,22
apnic,ipv4,103.29.170.0,23
apnic,ipv4,103.29.184.0,23
apnic,ipv4,103.29.186.0,24
apnic,ipv4,103.29.187.0,24
apnic,ipv4,103.29.196.0,24
apnic,ipv4,103.29.212.0,22
apnic,ipv4,103.30.84.0,22
apnic,ipv4,103.30.88.0,22
apnic,ipv4,103.30.92.0,22
apnic,ipv4,103.30.122.0,23
apnic,ipv4,103.30.144.0,22
apnic,ipv4,103.30.170.0,23
apnic,ipv4,103.30.172.0,22
apnic,ipv4,103.30.212.0,24
apnic,ipv4,103.30.244.0,22
apnic,ipv4,103.31.32.0,23
apnic,ipv4,103.31.109.0,24
apnic,ipv4,103.31.110.0,23
apnic,ipv4,103.31.164.0,22
apnic,ipv4,103.31.204.0,23
apnic,ipv4,103.31.206.0,24
apnic,ipv4,103.31.207.0,24
apnic,ipv4,103.31.224.0,22
apnic,ipv4,103.31.248.0,23
