region,ip,prefixlength,org
arin,204.231.240.0,24,n/a
arin,204.231.255.0,24,n/a
ripencc,2.57.24.0,22,n/a
ripencc,2.58.180.0,22,ie.marsh;Marsh Ireland Brokers Limited
ripencc,2.59.104.0,22,ie.kernetbroadband;Ker Broadband Communications Ltd
ripencc,5.42.204.0,24,n/a
ripencc,5.61.112.0,21,n/a
ripencc,5.83.240.0,20,ie.eurona-brisknet;Eurona-Brisknet Ltd
ripencc,5.134.88.0,21,ie.wirelesscon2;Wireless Connect Ltd.
ripencc,5.149.168.0,21,ie.lth;Leeson Telecom Holdings Ltd
ripencc,5.150.144.0,21,ie.eircell;Vodafone Ireland Limited
ripencc,5.159.40.0,21,ie.networkrecovery;EKCO CLOUD IRELAND LIMITED
ripencc,5.179.32.0,19,n/a
ripencc,5.179.64.0,21,n/a
ripencc,5.181.8.0,22,n/a
ripencc,5.181.161.0,24,n/a
ripencc,5.183.196.0,22,ie.locotorpi1;Jurgita Jurgaitiene trading as LOCOTORPI
ripencc,5.253.124.0,22,ie.eircell;Vodafone Ireland Limited
ripencc,31.7.48.0,21,n/a
ripencc,31.13.24.0,21,n/a
ripencc,31.13.64.0,18,n/a
ripencc,31.25.80.0,21,n/a
ripencc,31.170.0.0,21,ie.adelphinet1;Adelphi Net1 Ltd
ripencc,31.193.216.0,21,ie.airspeed;AIRSPEED COMMUNICATIONS UNLIMITED COMPANY
ripencc,31.200.128.0,18,ie.h3g;Three Ireland (Hutchison) limited
ripencc,31.216.232.0,21,n/a
ripencc,31.217.240.0,21,ie.aptus1;Aptus Ltd
ripencc,37.0.0.0,21,n/a
ripencc,37.18.144.0,21,ie.ryanair;RYANAIR LIMITED
ripencc,37.19.96.0,21,n/a
ripencc,37.26.72.0,23,n/a
ripencc,37.46.16.0,21,n/a
ripencc,37.110.216.0,21,ie.eircell;Vodafone Ireland Limited
ripencc,37.128.192.0,21,n/a
ripencc,37.203.48.0,21,ie.premier;Premier Data Networks LTD
ripencc,37.203.192.0,21,n/a
ripencc,37.228.192.0,18,n/a
ripencc,45.11.100.0,22,ie.wirelesscon2;Wireless Connect Ltd.
ripencc,45.11.168.0,22,ie.wifiber;Wifiber Limited
ripencc,45.67.164.0,22,ie.taxback;T.B.I. REFUNDS UNLIMITED COMPANY
ripencc,45.67.188.0,22,ie.esb;Electricity Supply Board
ripencc,45.87.224.0,22,n/a
ripencc,45.90.180.0,22,ie.cbfsai;Central Bank of Ireland
ripencc,45.94.72.0,22,n/a
ripencc,45.137.184.0,22,ie.lth;Leeson Telecom Holdings Ltd
ripencc,45.139.240.0,22,n/a
ripencc,45.143.208.0,22,n/a
ripencc,45.144.8.0,22,n/a
ripencc,45.148.0.0,22,ie.noraina;Noraina Ltd
ripencc,45.154.100.0,22,ie.aptus1;Aptus Ltd
ripencc,45.155.24.0,22,ie.aptus1;Aptus Ltd
ripencc,45.155.28.0,22,n/a
ripencc,45.155.196.0,22,ie.locotorpi1;Jurgita Jurgaitiene trading as LOCOTORPI
ripencc,45.156.120.0,22,n/a
ripencc,45.158.144.0,22,ie.westnet-bb;WESTNET BROADBAND MAYO LIMITED
ripencc,45.158.176.0,22,n/a
ripencc,45.159.172.0,22,ie.welltel-ireland-ltd;Welltel (Ireland) Ltd
ripencc,46.7.0.0,16,n/a
ripencc,46.17.32.0,21,n/a
ripencc,46.19.208.0,21,ie.didwwltd;DIDWW Ireland Limited
ripencc,46.22.128.0,20,n/a
ripencc,46.51.128.0,17,n/a
ripencc,46.137.0.0,16,n/a
ripencc,46.182.8.0,21,n/a
ripencc,46.183.104.0,23,n/a
ripencc,46.183.108.0,22,n/a
ripencc,46.245.208.0,21,ie.networkrecovery;EKCO CLOUD IRELAND LIMITED
ripencc,46.255.152.0,21,n/a
ripencc,51.171.0.0,16,ie.telecom;Eircom Limited
ripencc,62.3.54.0,24,n/a
ripencc,62.9.0.0,16,n/a
ripencc,62.17.0.0,16,n/a
ripencc,62.40.32.0,19,ie.h3g;Three Ireland (Hutchison) limited
ripencc,62.77.160.0,19,ie.telecom;Eircom Limited
ripencc,62.222.0.0,16,n/a
ripencc,62.223.0.0,16,n/a
ripencc,62.231.32.0,19,n/a
ripencc,64.43.0.0,18,ie.eircell;Vodafone Ireland Limited
ripencc,64.43.128.0,18,ie.eircell;Vodafone Ireland Limited
ripencc,77.72.72.0,21,ie.iedr;IE Domain Registry Ltd
ripencc,77.73.208.0,21,n/a
ripencc,77.75.96.0,21,ie.airspeed;AIRSPEED COMMUNICATIONS UNLIMITED COMPANY
ripencc,77.75.226.0,24,ie.zariot;Cellusys IoT Limited
ripencc,77.75.240.0,21,n/a
ripencc,77.95.160.0,21,ie.fastcom;Fastcom Broadband Limited
ripencc,77.107.192.0,18,ie.novusnet;Fulnett Limited
ripencc,78.16.0.0,14,n/a
ripencc,78.24.16.0,21,n/a
ripencc,78.135.128.0,17,n/a
ripencc,78.137.128.0,18,n/a
ripencc,78.143.128.0,18,n/a
ripencc,78.152.192.0,19,ie.eircell;Vodafone Ireland Limited
ripencc,78.152.224.0,19,ie.eircell;Vodafone Ireland Limited
ripencc,78.153.192.0,19,n/a
ripencc,78.158.96.0,19,n/a
ripencc,79.97.0.0,16,n/a
ripencc,79.125.0.0,17,n/a
ripencc,79.140.128.0,20,n/a
ripencc,79.140.208.0,20,ie.ims;Ajisko Ltd t/a Integrated Media Solutions
ripencc,79.143.192.0,20,n/a
ripencc,79.170.240.0,21,ie.irishdomains;Irish Domains Ltd
ripencc,79.171.72.0,21,ie.adelphinet1;Adelphi Net1 Ltd
ripencc,80.75.208.0,20,n/a
ripencc,80.93.0.0,20,n/a
ripencc,80.93.16.0,20,n/a
ripencc,80.233.0.0,17,ie.h3g;Three Ireland (Hutchison) limited
ripencc,80.249.240.0,20,ie.adelphinet1;Adelphi Net1 Ltd
ripencc,81.17.240.0,20,n/a
ripencc,81.22.196.0,22,ie.bringo;Bringo Limited
ripencc,81.24.248.0,21,n/a
ripencc,81.31.208.0,21,n/a
ripencc,81.173.12.0,22,ie.lth;Leeson Telecom Holdings Ltd
ripencc,82.141.192.0,18,ie.telecom;Eircom Limited
ripencc,82.195.128.0,19,n/a
ripencc,82.198.128.0,19,ie.eircell;Vodafone Ireland Limited
ripencc,83.70.0.0,15,ie.telecom;Eircom Limited
ripencc,83.136.40.0,21,ie.h3g;Three Ireland (Hutchison) limited
ripencc,83.136.168.0,21,n/a
ripencc,83.138.8.0,21,n/a
ripencc,83.141.64.0,18,n/a
ripencc,83.147.128.0,18,n/a
ripencc,83.174.160.0,19,ie.telecom;Eircom Limited
ripencc,83.210.0.0,16,ie.connexion;Connexion by Boeing Ireland Ltd.
ripencc,83.220.192.0,19,n/a
ripencc,84.39.232.0,21,ie.cix;CORK INTERNET EXCHANGE LIMITED
ripencc,84.51.224.0,19,n/a
ripencc,84.203.0.0,16,n/a
ripencc,84.252.108.0,22,ie.aptus1;Aptus Ltd
ripencc,85.91.0.0,19,n/a
ripencc,85.134.128.0,17,n/a
ripencc,85.159.16.0,21,ie.vistatec;Vistatec Limited
ripencc,85.208.36.0,22,ie.eircell;Vodafone Ireland Limited
ripencc,85.209.76.0,22,ie.locotorpi1;Jurgita Jurgaitiene trading as LOCOTORPI
ripencc,86.40.0.0,13,ie.telecom;Eircom Limited
ripencc,87.32.0.0,12,n/a
ripencc,87.120.48.0,21,n/a
ripencc,87.120.240.0,22,n/a
ripencc,87.120.248.0,22,n/a
ripencc,87.121.252.0,22,n/a
ripencc,87.192.0.0,18,n/a
ripencc,87.192.64.0,20,n/a
ripencc,87.192.80.0,24,n/a
ripencc,87.192.81.0,24,n/a
ripencc,87.192.82.0,23,n/a
ripencc,87.192.84.0,22,n/a
ripencc,87.192.88.0,21,n/a
ripencc,87.192.96.0,19,n/a
ripencc,87.192.128.0,18,n/a
ripencc,87.192.192.0,20,n/a
ripencc,87.192.208.0,21,n/a
ripencc,87.192.216.0,22,n/a
ripencc,87.192.220.0,23,n/a
ripencc,87.192.222.0,23,n/a
ripencc,87.192.224.0,19,n/a
ripencc,87.198.0.0,16,n/a
ripencc,87.232.0.0,19,n/a
ripencc,87.232.32.0,19,n/a
ripencc,87.232.64.0,18,n/a
ripencc,87.232.128.0,21,n/a
ripencc,87.232.136.0,21,n/a
ripencc,87.232.144.0,20,n/a
ripencc,87.232.160.0,19,n/a
ripencc,87.232.192.0,24,n/a
ripencc,87.232.193.0,24,n/a
ripencc,87.232.194.0,23,n/a
ripencc,87.232.196.0,22,n/a
ripencc,87.232.200.0,21,n/a
ripencc,87.232.208.0,20,n/a
ripencc,87.232.224.0,24,n/a
ripencc,87.232.225.0,24,n/a
ripencc,87.232.226.0,23,n/a
ripencc,87.232.228.0,22,n/a
ripencc,87.232.232.0,21,n/a
ripencc,87.232.240.0,21,n/a
ripencc,87.232.248.0,23,n/a
ripencc,87.232.250.0,23,n/a
ripencc,87.232.252.0,22,n/a
ripencc,87.238.80.0,21,n/a
ripencc,88.81.96.0,19,ie.westnet-bb;WESTNET BROADBAND MAYO LIMITED
ripencc,88.87.160.0,19,ie.irishwireless;EOBO Ltd T/A BBnet
ripencc,88.151.0.0,21,ie.novusnet;Fulnett Limited
ripencc,88.151.24.0,21,n/a
ripencc,88.151.80.0,21,ie.fastcom;Fastcom Broadband Limited
ripencc,88.218.36.0,22,ie.airbnb;AIRBNB IRELAND ULC
ripencc,89.16.64.0,19,n/a
ripencc,89.18.64.0,19,ie.fastwirelessinternet;Fast Wireless Internet Ltd
ripencc,89.19.64.0,19,ie.eircell;Vodafone Ireland Limited
ripencc,89.28.176.0,21,ie.act;ErgoServices Ltd
ripencc,89.31.168.0,21,n/a
ripencc,89.100.0.0,15,n/a
ripencc,89.106.136.0,21,ie.premier;Premier Data Networks LTD
ripencc,89.124.0.0,17,n/a
ripencc,89.124.128.0,18,n/a
ripencc,89.124.192.0,19,n/a
ripencc,89.124.224.0,20,n/a
ripencc,89.124.240.0,23,n/a
ripencc,89.124.242.0,23,n/a
ripencc,89.124.244.0,24,n/a
ripencc,89.124.245.0,24,n/a
ripencc,89.124.246.0,23,n/a
ripencc,89.124.248.0,21,n/a
ripencc,89.125.0.0,16,n/a
ripencc,89.126.0.0,16,n/a
ripencc,89.127.0.0,17,n/a
ripencc,89.127.128.0,18,n/a
ripencc,89.127.192.0,19,n/a
ripencc,89.127.224.0,20,n/a
ripencc,89.127.240.0,21,n/a
ripencc,89.127.248.0,22,n/a
ripencc,89.127.252.0,23,n/a
ripencc,89.127.254.0,23,n/a
ripencc,89.184.32.0,22,n/a
ripencc,89.184.36.0,22,n/a
ripencc,89.184.40.0,21,n/a
ripencc,89.184.48.0,21,n/a
ripencc,89.184.56.0,23,n/a
ripencc,89.184.58.0,23,n/a
ripencc,89.184.60.0,22,n/a
ripencc,89.191.32.0,19,ie.vodafoneireland;Vodafone Ireland Limited
ripencc,89.204.160.0,19,ie.h3g;Three Ireland (Hutchison) limited
