region,ip,prefixlength,org
apnic,2405:fb00::,32,n/a
ripencc,2001:bf8::,32,n/a
ripencc,2a02:148::,29,il.netvision;Cellcom Fixed Line Communication L.P
ripencc,2a02:ba0::,32,n/a
ripencc,2a02:ed0::,29,il.xfone;XFone 018 Ltd
ripencc,2a03:320::,32,n/a
ripencc,2a03:980::,32,n/a
ripencc,2a06:600::,29,il.3samnet1;Isam Awadallah trading as 3samnet
ripencc,2a0b:700::,29,n/a
ripencc,2a0c:300::,29,n/a
ripencc,2a10:2c0::,29,il.coolnet;Coolnet Communications Ltd.
ripencc,2a10:640::,29,il.viber;VIBER LAB LTD
ripencc,2a12:cc0::,29,n/a
ripencc,2a13:380::,29,il.edpgroup;Mechashvim E.D.P. LTD
ripencc,2a13:d00::,29,n/a
ripencc,2001:40a8::,32,n/a
ripencc,2001:4cd0::,29,n/a
ripencc,2001:4df0::,29,il.netvision;Cellcom Fixed Line Communication L.P
ripencc,2a00:55a0::,32,n/a
ripencc,2a00:66a0::,32,il.ngn;HASHIKMA NGN International Communications 015LTD
ripencc,2a00:7c40::,32,n/a
ripencc,2a00:9f60::,32,il.omc;O.M.C. COMPUTERS & COMMUNICATIONS LTD
ripencc,2a00:a040::,29,il.matav;Hot-Net internet services Ltd.
ripencc,2a00:c280::,29,il.triplec;Triple C Cloud Computing Ltd.
ripencc,2a00:dc20::,32,il.interspace;Interspace Ltd.
ripencc,2a00:fae0::,32,il.pontis;Pontis Ltd
ripencc,2a01:4280::,32,n/a
ripencc,2a01:58e0::,32,il.freetelecom;Widely Mobile LTD
ripencc,2a01:6500::,29,n/a
ripencc,2a01:73c0::,32,il.mirs;HOT Mobile Ltd.
ripencc,2a01:92e0::,32,il.omc;O.M.C. COMPUTERS & COMMUNICATIONS LTD
ripencc,2a02:23b8::,32,il.qos;Internet Binat Ltd
ripencc,2a02:40a0::,32,il.omc;O.M.C. COMPUTERS & COMMUNICATIONS LTD
ripencc,2a02:41e0::,32,il.omc;O.M.C. COMPUTERS & COMMUNICATIONS LTD
ripencc,2a02:5080::,32,il.telzarcom;Telzar 019 International Telecommunications Services LTD
ripencc,2a02:6680::,32,il.pelephone;Pelephone Communications Ltd.
ripencc,2a02:cf80::,29,n/a
ripencc,2a02:de40::,29,n/a
ripencc,2a03:10e0::,32,n/a
ripencc,2a03:3720::,32,il.expim;Expim Ltd
ripencc,2a03:7b60::,32,n/a
ripencc,2a03:83e0::,29,n/a
ripencc,2a03:c5c0::,32,il.golantelecom;Golan Telecom Ltd.
ripencc,2a03:cac0::,32,n/a
ripencc,2a03:d5c0::,29,n/a
ripencc,2a03:ff40::,32,n/a
ripencc,2a04:22c0::,29,il.amit;Amit Net Telecom LTD
ripencc,2a04:28a0::,32,n/a
ripencc,2a04:d980::,29,il.omc;O.M.C. COMPUTERS & COMMUNICATIONS LTD
ripencc,2a04:e980::,29,n/a
ripencc,2a05:4500::,29,n/a
ripencc,2a05:8b40::,29,n/a
ripencc,2a05:8d40::,29,il.beezz;Beezz Communication Solutions ltd
ripencc,2a05:9e00::,29,n/a
ripencc,2a05:bb80::,29,n/a
ripencc,2a06:35c0::,29,n/a
ripencc,2a06:3600::,29,n/a
ripencc,2a06:3b80::,29,n/a
ripencc,2a06:3bc0::,29,n/a
ripencc,2a06:4d80::,29,n/a
ripencc,2a06:5080::,29,il.med-1;Med-1 IC-1 (1999) LTD
ripencc,2a06:5280::,29,n/a
ripencc,2a06:5580::,29,il.ibc;IBC Israel Broadband Company Ltd
ripencc,2a06:7800::,29,n/a
ripencc,2a06:8800::,29,il.lan-wan;LAN-WAN I.T LTD
ripencc,2a06:9a40::,29,n/a
ripencc,2a06:a1c0::,29,il.y-techict;Y-tech ICT Ltd.
ripencc,2a06:c5c0::,29,il.omc;O.M.C. COMPUTERS & COMMUNICATIONS LTD
ripencc,2a06:c700::,29,"il.bezeq;""Bezeq""- THE ISRAEL TELECOMMUNICATION CORP. LTD."
ripencc,2a06:dfc0::,29,n/a
ripencc,2a06:e300::,29,il.spot-net;SPOT-NET LTD
ripencc,2a06:e900::,29,n/a
ripencc,2a07:1980::,29,n/a
ripencc,2a07:40c0::,29,n/a
ripencc,2a07:5680::,29,n/a
ripencc,2a07:7b00::,29,n/a
ripencc,2a07:9180::,29,n/a
ripencc,2a07:e3c0::,32,il.mondaydotcom;monday.com LTD
ripencc,2a07:e7c0::,29,n/a
ripencc,2a09:6680::,29,n/a
ripencc,2a09:77c0::,29,n/a
ripencc,2a09:b300::,29,n/a
ripencc,2a09:b480::,29,il.lironeline;Lirone Line - Le Repertoire LTD
ripencc,2a0a:1dc0::,29,n/a
ripencc,2a0a:3980::,32,n/a
ripencc,2a0a:4b00::,29,n/a
ripencc,2a0a:5240::,29,il.y-techict;Y-tech ICT Ltd.
ripencc,2a0a:6900::,29,n/a
ripencc,2a0a:7e40::,29,n/a
ripencc,2a0a:8200::,29,il.catonetworks;CATO NETWORKS LTD
ripencc,2a0a:9480::,32,il.ironsrc;IronSource Ltd.
ripencc,2a0a:a140::,29,il.cloudlease;CLOUD LEASE Ltd
ripencc,2a0b:1080::,29,n/a
ripencc,2a0b:19c0::,29,il.smbit;SMBIT LTD
ripencc,2a0b:2580::,29,il.global;Global Cloud Ltd
ripencc,2a0b:40c0::,29,il.voicenter;Voicenter LTD
ripencc,2a0b:7600::,29,n/a
ripencc,2a0b:9140::,29,il.infinidat;Infinidat Ltd
ripencc,2a0b:a880::,29,n/a
ripencc,2a0b:bb00::,29,il.mantu;Mantu I.M. Mobile Ltd
ripencc,2a0b:c740::,29,n/a
ripencc,2a0b:d200::,29,n/a
ripencc,2a0c:4780::,29,n/a
ripencc,2a0c:9280::,29,n/a
ripencc,2a0d:1240::,29,il.omc;O.M.C. COMPUTERS & COMMUNICATIONS LTD
ripencc,2a0d:2800::,29,n/a
ripencc,2a0d:6fc0::,29,n/a
ripencc,2a0d:7000::,32,n/a
ripencc,2a0d:ea80::,29,il.seedvps;SeedVPS
ripencc,2a0e:5b00::,29,n/a
ripencc,2a0e:9980::,29,il.lrsmart;DREAM VPS LTD
ripencc,2a0e:9cc0::,29,il.tamarestelecom;Tamares Telecom Ltd
ripencc,2a0e:9dc0::,29,il.sysaidit;SysAid Technologies Ltd
ripencc,2a0e:ce00::,29,n/a
ripencc,2a0f:6a80::,29,il.019;mars 019 Telecom LTD
ripencc,2a0f:7680::,29,n/a
ripencc,2a10:27c0::,29,il.discount;DISCOUNT LEASING LTD
ripencc,2a10:3e00::,29,n/a
ripencc,2a10:8000::,27,n/a
ripencc,2a10:eb40::,29,n/a
ripencc,2a10:f3c0::,29,n/a
ripencc,2a11:4440::,29,il.proginter;Bari Maor trading as ProgInter
ripencc,2a11:ad00::,29,n/a
ripencc,2a11:f740::,29,n/a
ripencc,2a12:7940::,29,il.noorcom;NoorCom Communication Ltd
ripencc,2a12:9840::,29,n/a
ripencc,2a12:a280::,32,n/a
ripencc,2a12:a9c0::,29,n/a
ripencc,2a12:c0c0::,29,il.puzzle;Puzzle Communication (F.Y) Ltd
ripencc,2a12:c3c0::,29,il.flowsec;C.S.P. CLOUD COMMUNICATION SERVICES LTD
ripencc,2a12:dbc0::,32,il.itgt;Integrated T.G. Limited
ripencc,2a13:2d00::,29,il.space-communication;Space-Communication ltd.
ripencc,2a13:4740::,29,il.rlinternet5;R.L Internet & networks LTD
ripencc,2a13:54c0::,29,n/a
ripencc,2a13:70c0::,29,n/a
