region,version,ip,prefixlength
ripencc,ipv4,91.90.128.0,20
ripencc,ipv4,91.90.168.0,23
ripencc,ipv4,91.193.48.0,22
ripencc,ipv4,91.194.114.0,23
ripencc,ipv4,91.195.162.0,23
ripencc,ipv4,91.197.60.0,22
ripencc,ipv4,91.197.100.0,22
ripencc,ipv4,91.198.5.0,24
ripencc,ipv4,91.198.70.0,24
ripencc,ipv4,91.198.129.0,24
ripencc,ipv4,91.198.205.0,24
ripencc,ipv4,91.199.29.0,24
ripencc,ipv4,91.199.53.0,24
ripencc,ipv4,91.199.69.0,24
ripencc,ipv4,91.199.94.0,24
ripencc,ipv4,91.199.99.0,24
ripencc,ipv4,91.199.100.0,24
ripencc,ipv4,91.199.119.0,24
ripencc,ipv4,91.199.202.0,24
ripencc,ipv4,91.205.152.0,22
ripencc,ipv4,91.206.170.0,23
ripencc,ipv4,91.207.90.0,23
ripencc,ipv4,91.207.240.0,23
ripencc,ipv4,91.208.86.0,24
ripencc,ipv4,91.208.118.0,24
ripencc,ipv4,91.208.129.0,24
ripencc,ipv4,91.208.139.0,24
ripencc,ipv4,91.208.140.0,24
ripencc,ipv4,91.208.147.0,24
ripencc,ipv4,91.208.218.0,24
ripencc,ipv4,91.209.113.0,24
ripencc,ipv4,91.212.76.0,24
ripencc,ipv4,91.212.114.0,24
ripencc,ipv4,91.212.189.0,24
ripencc,ipv4,91.214.100.0,22
ripencc,ipv4,91.216.222.0,24
ripencc,ipv4,91.216.252.0,24
ripencc,ipv4,91.220.22.0,24
ripencc,ipv4,91.223.11.0,24
ripencc,ipv4,91.223.54.0,24
ripencc,ipv4,91.226.245.0,24
ripencc,ipv4,91.227.70.0,23
ripencc,ipv4,91.227.164.0,23
ripencc,ipv4,91.228.162.0,23
ripencc,ipv4,91.228.248.0,24
ripencc,ipv4,91.230.79.0,24
ripencc,ipv4,91.230.236.0,24
ripencc,ipv4,91.231.192.0,22
ripencc,ipv4,91.235.34.0,23
ripencc,ipv4,91.235.107.0,24
ripencc,ipv4,91.235.150.0,23
ripencc,ipv4,91.237.251.0,24
ripencc,ipv4,91.240.146.0,23
ripencc,ipv4,91.240.234.0,23
ripencc,ipv4,91.246.218.0,24
ripencc,ipv4,93.157.80.0,21
ripencc,ipv4,109.95.128.0,21
ripencc,ipv4,128.139.0.0,16
ripencc,ipv4,132.64.0.0,15
ripencc,ipv4,132.66.0.0,15
ripencc,ipv4,132.68.0.0,15
ripencc,ipv4,132.70.0.0,15
ripencc,ipv4,132.72.0.0,15
ripencc,ipv4,132.74.0.0,15
ripencc,ipv4,132.76.0.0,15
ripencc,ipv4,132.78.0.0,16
ripencc,ipv4,138.134.0.0,16
ripencc,ipv4,141.226.0.0,18
ripencc,ipv4,141.226.80.0,23
ripencc,ipv4,141.226.82.0,23
ripencc,ipv4,141.226.84.0,22
ripencc,ipv4,141.226.87.0,24
ripencc,ipv4,141.226.96.0,20
ripencc,ipv4,141.226.118.0,23
ripencc,ipv4,141.226.124.0,21
ripencc,ipv4,141.226.132.0,24
ripencc,ipv4,141.226.133.0,24
ripencc,ipv4,141.226.139.0,24
ripencc,ipv4,141.226.144.0,19
ripencc,ipv4,141.226.184.0,21
ripencc,ipv4,141.226.224.0,21
ripencc,ipv4,141.226.232.0,22
ripencc,ipv4,147.75.208.0,20
ripencc,ipv4,147.161.0.0,23
ripencc,ipv4,147.185.172.0,24
ripencc,ipv4,147.185.237.0,24
ripencc,ipv4,147.189.144.0,21
ripencc,ipv4,147.233.0.0,16
ripencc,ipv4,147.234.0.0,24
ripencc,ipv4,147.234.1.0,24
ripencc,ipv4,147.234.2.0,20
ripencc,ipv4,147.234.23.0,24
ripencc,ipv4,147.234.24.0,21
ripencc,ipv4,147.234.35.0,24
ripencc,ipv4,147.234.36.0,22
ripencc,ipv4,147.234.40.0,24
ripencc,ipv4,147.234.41.0,22
ripencc,ipv4,147.234.44.0,21
ripencc,ipv4,147.234.52.0,23
ripencc,ipv4,147.234.54.0,20
ripencc,ipv4,147.234.74.0,20
ripencc,ipv4,147.234.91.0,24
ripencc,ipv4,147.234.104.0,17
ripencc,ipv4,147.235.0.0,16
ripencc,ipv4,147.236.0.0,17
ripencc,ipv4,147.236.104.0,21
ripencc,ipv4,147.236.112.0,22
ripencc,ipv4,147.236.116.0,20
ripencc,ipv4,147.236.128.0,20
ripencc,ipv4,147.236.144.0,20
ripencc,ipv4,147.236.160.0,20
ripencc,ipv4,147.236.176.0,20
ripencc,ipv4,147.236.192.0,22
ripencc,ipv4,147.236.196.0,20
ripencc,ipv4,147.236.208.0,24
ripencc,ipv4,147.236.209.0,22
ripencc,ipv4,147.236.212.0,22
ripencc,ipv4,147.236.216.0,21
ripencc,ipv4,147.236.224.0,22
ripencc,ipv4,147.236.228.0,19
ripencc,ipv4,147.237.0.0,16
ripencc,ipv4,149.49.0.0,16
ripencc,ipv4,167.94.110.0,24
ripencc,ipv4,167.94.174.0,24
ripencc,ipv4,176.106.224.0,22
ripencc,ipv4,176.106.229.0,24
ripencc,ipv4,176.106.230.0,23
ripencc,ipv4,178.212.93.0,24
ripencc,ipv4,188.191.224.0,21
ripencc,ipv4,192.54.204.0,24
ripencc,ipv4,192.86.25.0,24
ripencc,ipv4,192.86.89.0,24
ripencc,ipv4,192.114.0.0,21
ripencc,ipv4,192.114.8.0,22
ripencc,ipv4,192.114.12.0,22
ripencc,ipv4,192.114.16.0,21
ripencc,ipv4,192.114.24.0,20
ripencc,ipv4,192.114.48.0,20
ripencc,ipv4,192.114.62.0,23
ripencc,ipv4,192.114.88.0,22
ripencc,ipv4,192.114.92.0,22
ripencc,ipv4,192.114.96.0,20
ripencc,ipv4,192.114.112.0,20
ripencc,ipv4,192.114.124.0,22
ripencc,ipv4,192.114.128.0,20
ripencc,ipv4,192.114.148.0,20
ripencc,ipv4,192.114.192.0,18
ripencc,ipv4,192.115.0.0,20
ripencc,ipv4,192.115.32.0,20
ripencc,ipv4,192.115.48.0,21
ripencc,ipv4,192.115.64.0,22
ripencc,ipv4,192.115.68.0,19
ripencc,ipv4,192.115.108.0,20
ripencc,ipv4,192.115.136.0,19
ripencc,ipv4,192.115.164.0,22
ripencc,ipv4,192.115.168.0,21
ripencc,ipv4,192.115.176.0,21
ripencc,ipv4,192.115.192.0,21
ripencc,ipv4,192.115.200.0,18
ripencc,ipv4,192.116.0.0,16
ripencc,ipv4,192.117.0.0,18
ripencc,ipv4,192.117.80.0,20
ripencc,ipv4,192.117.192.0,19
ripencc,ipv4,192.117.240.0,20
ripencc,ipv4,192.118.0.0,19
ripencc,ipv4,192.118.28.0,22
ripencc,ipv4,192.118.32.0,19
ripencc,ipv4,192.118.68.0,22
ripencc,ipv4,192.118.72.0,16
ripencc,ipv4,192.132.244.0,24
ripencc,ipv4,192.133.36.0,24
ripencc,ipv4,192.160.252.0,24
ripencc,ipv4,192.189.70.0,24
ripencc,ipv4,192.206.86.0,24
ripencc,ipv4,192.206.222.0,24
ripencc,ipv4,192.206.223.0,24
ripencc,ipv4,192.206.224.0,24
ripencc,ipv4,192.206.225.0,24
ripencc,ipv4,192.206.226.0,24
ripencc,ipv4,193.16.147.0,24
ripencc,ipv4,193.16.238.0,24
ripencc,ipv4,193.17.42.0,24
ripencc,ipv4,193.17.74.0,24
ripencc,ipv4,193.27.92.0,23
ripencc,ipv4,193.28.155.0,24
ripencc,ipv4,193.33.16.0,23
ripencc,ipv4,193.33.234.0,23
ripencc,ipv4,193.34.56.0,22
ripencc,ipv4,193.36.176.0,24
ripencc,ipv4,193.37.128.0,22
ripencc,ipv4,193.41.202.0,24
ripencc,ipv4,193.41.208.0,23
ripencc,ipv4,193.43.244.0,22
ripencc,ipv4,193.46.64.0,24
ripencc,ipv4,193.47.165.0,24
ripencc,ipv4,193.47.248.0,24
ripencc,ipv4,193.104.62.0,24
ripencc,ipv4,193.104.77.0,24
ripencc,ipv4,193.104.115.0,24
ripencc,ipv4,193.104.117.0,24
ripencc,ipv4,193.104.119.0,24
ripencc,ipv4,193.104.147.0,24
ripencc,ipv4,193.105.99.0,24
ripencc,ipv4,193.105.199.0,24
ripencc,ipv4,193.105.203.0,24
ripencc,ipv4,193.106.52.0,22
ripencc,ipv4,193.106.204.0,22
ripencc,ipv4,193.108.195.0,24
ripencc,ipv4,193.111.201.0,24
ripencc,ipv4,193.138.92.0,24
ripencc,ipv4,193.142.151.0,24
ripencc,ipv4,193.150.127.0,24
ripencc,ipv4,193.169.70.0,23
ripencc,ipv4,193.169.88.0,23
ripencc,ipv4,193.169.246.0,23
ripencc,ipv4,193.186.2.0,24
ripencc,ipv4,193.201.155.128,25
ripencc,ipv4,193.222.129.0,24
ripencc,ipv4,193.238.208.0,22
ripencc,ipv4,193.239.108.0,22
ripencc,ipv4,193.242.102.0,24
ripencc,ipv4,193.242.220.0,22
ripencc,ipv4,193.254.206.0,23
ripencc,ipv4,194.8.76.0,23
ripencc,ipv4,194.8.88.0,23
ripencc,ipv4,194.29.32.0,20
ripencc,ipv4,194.31.58.0,24
ripencc,ipv4,194.50.71.0,24
ripencc,ipv4,194.50.175.0,24
ripencc,ipv4,194.54.168.0,22
ripencc,ipv4,194.56.215.0,24
ripencc,ipv4,194.88.136.0,23
ripencc,ipv4,194.110.249.0,24
ripencc,ipv4,194.114.146.0,23
ripencc,ipv4,194.116.168.0,24
ripencc,ipv4,194.150.218.0,23
ripencc,ipv4,194.153.101.0,24
ripencc,ipv4,194.177.16.0,22
ripencc,ipv4,194.187.84.0,22
ripencc,ipv4,194.213.4.0,24
ripencc,ipv4,194.242.24.0,23
ripencc,ipv4,194.247.166.0,23
ripencc,ipv4,195.10.194.0,24
ripencc,ipv4,195.10.220.0,24
ripencc,ipv4,195.18.8.0,22
ripencc,ipv4,195.28.166.0,23
ripencc,ipv4,195.60.232.0,22
ripencc,ipv4,195.62.18.0,23
ripencc,ipv4,195.62.30.0,23
ripencc,ipv4,195.66.118.0,24
ripencc,ipv4,195.78.120.0,23
ripencc,ipv4,195.82.128.0,23
ripencc,ipv4,195.93.234.0,23
ripencc,ipv4,195.95.183.0,24
ripencc,ipv4,195.110.40.0,23
ripencc,ipv4,195.114.28.0,23
ripencc,ipv4,195.128.145.0,24
ripencc,ipv4,195.128.176.0,23
ripencc,ipv4,195.160.240.0,22
ripencc,ipv4,195.162.66.0,23
ripencc,ipv4,195.178.12.0,23
ripencc,ipv4,195.189.140.0,23
ripencc,ipv4,195.189.192.0,23
ripencc,ipv4,195.190.19.0,24
ripencc,ipv4,195.190.23.0,24
ripencc,ipv4,195.191.52.0,23
ripencc,ipv4,195.200.205.0,24
ripencc,ipv4,195.211.68.0,22
ripencc,ipv4,195.216.252.0,24
ripencc,ipv4,195.225.46.0,23
ripencc,ipv4,195.234.158.0,24
ripencc,ipv4,195.244.22.0,23
ripencc,ipv4,195.250.33.0,24
ripencc,ipv4,203.33.70.0,24
ripencc,ipv4,209.35.197.0,24
ripencc,ipv6,2001:7f8:3b::,48
ripencc,ipv6,2001:678:174::,48
ripencc,ipv6,2001:678:860::,48
ripencc,ipv6,2001:678:a3c::,48
ripencc,ipv6,2001:678:c0c::,48
ripencc,ipv6,2001:67c:4cc::,48
ripencc,ipv6,2001:67c:9b4::,48
ripencc,ipv6,2001:67c:9b8::,48
