region,version,ip,prefixlength,org
apnic,ipv4,1.6.0.0,15,n/a
apnic,ipv4,1.22.0.0,15,n/a
apnic,ipv4,1.38.0.0,15,n/a
apnic,ipv4,1.186.0.0,16,n/a
apnic,ipv4,1.187.0.0,16,n/a
apnic,ipv4,14.96.0.0,15,n/a
apnic,ipv4,14.98.0.0,16,n/a
apnic,ipv4,14.99.0.0,16,n/a
apnic,ipv4,14.102.0.0,17,n/a
apnic,ipv4,14.139.0.0,16,n/a
apnic,ipv4,14.140.0.0,14,n/a
apnic,ipv4,14.192.16.0,22,n/a
apnic,ipv4,14.194.0.0,15,n/a
apnic,ipv4,27.0.48.0,20,n/a
apnic,ipv4,27.0.136.0,22,n/a
apnic,ipv4,27.0.140.0,22,n/a
apnic,ipv4,27.0.144.0,22,n/a
apnic,ipv4,27.0.148.0,22,n/a
apnic,ipv4,27.0.176.0,22,n/a
apnic,ipv4,27.0.180.0,22,n/a
apnic,ipv4,27.0.220.0,22,n/a
apnic,ipv4,27.4.0.0,14,n/a
apnic,ipv4,27.34.240.0,20,n/a
apnic,ipv4,27.48.0.0,16,n/a
apnic,ipv4,27.50.4.0,22,n/a
apnic,ipv4,27.54.160.0,19,n/a
apnic,ipv4,27.56.0.0,13,n/a
apnic,ipv4,27.96.88.0,22,n/a
apnic,ipv4,27.97.0.0,16,n/a
apnic,ipv4,27.100.12.0,22,n/a
apnic,ipv4,27.100.24.0,22,n/a
apnic,ipv4,27.107.0.0,16,n/a
apnic,ipv4,27.109.0.0,19,n/a
apnic,ipv4,27.113.252.0,22,n/a
apnic,ipv4,27.116.16.0,21,n/a
apnic,ipv4,27.116.40.0,22,n/a
apnic,ipv4,27.116.48.0,22,n/a
apnic,ipv4,27.116.52.0,22,n/a
apnic,ipv4,27.118.32.0,19,n/a
apnic,ipv4,27.121.100.0,22,n/a
apnic,ipv4,27.123.64.0,18,n/a
apnic,ipv4,27.123.216.0,22,n/a
apnic,ipv4,27.123.248.0,22,n/a
apnic,ipv4,27.125.200.0,22,n/a
apnic,ipv4,27.131.208.0,21,n/a
apnic,ipv4,27.248.0.0,14,n/a
apnic,ipv4,27.255.128.0,17,n/a
apnic,ipv4,36.255.28.0,22,n/a
apnic,ipv4,36.255.156.0,22,n/a
apnic,ipv4,36.255.168.0,22,n/a
apnic,ipv4,36.255.180.0,22,n/a
apnic,ipv4,36.255.184.0,22,n/a
apnic,ipv4,36.255.196.0,22,n/a
apnic,ipv4,36.255.200.0,22,n/a
apnic,ipv4,36.255.248.0,22,n/a
apnic,ipv4,36.255.252.0,22,n/a
apnic,ipv4,42.96.104.0,22,n/a
apnic,ipv4,42.104.0.0,17,n/a
apnic,ipv4,42.104.128.0,17,n/a
apnic,ipv4,42.105.0.0,16,n/a
apnic,ipv4,42.106.0.0,15,n/a
apnic,ipv4,42.108.0.0,14,n/a
apnic,ipv4,43.224.8.0,22,n/a
apnic,ipv4,43.224.96.0,22,n/a
apnic,ipv4,43.224.128.0,22,n/a
apnic,ipv4,43.224.156.0,22,n/a
apnic,ipv4,43.224.164.0,22,n/a
apnic,ipv4,43.224.220.0,22,n/a
apnic,ipv4,43.224.252.0,22,n/a
apnic,ipv4,43.225.20.0,22,n/a
apnic,ipv4,43.225.24.0,22,n/a
apnic,ipv4,43.225.72.0,22,n/a
apnic,ipv4,43.225.80.0,22,n/a
apnic,ipv4,43.225.116.0,22,n/a
apnic,ipv4,43.225.160.0,22,n/a
apnic,ipv4,43.225.164.0,22,n/a
apnic,ipv4,43.225.188.0,22,n/a
apnic,ipv4,43.225.192.0,22,n/a
apnic,ipv4,43.225.212.0,22,n/a
apnic,ipv4,43.225.248.0,22,n/a
apnic,ipv4,43.227.20.0,22,n/a
apnic,ipv4,43.227.132.0,22,n/a
apnic,ipv4,43.227.244.0,22,n/a
apnic,ipv4,43.228.72.0,22,n/a
apnic,ipv4,43.228.112.0,22,n/a
apnic,ipv4,43.228.220.0,22,n/a
apnic,ipv4,43.228.228.0,22,n/a
apnic,ipv4,43.229.24.0,22,n/a
apnic,ipv4,43.229.72.0,22,n/a
apnic,ipv4,43.229.80.0,22,n/a
apnic,ipv4,43.229.88.0,22,n/a
apnic,ipv4,43.229.100.0,22,n/a
apnic,ipv4,43.229.200.0,22,n/a
apnic,ipv4,43.230.40.0,22,n/a
apnic,ipv4,43.230.44.0,22,n/a
apnic,ipv4,43.230.64.0,22,n/a
apnic,ipv4,43.230.156.0,22,n/a
apnic,ipv4,43.230.196.0,22,n/a
apnic,ipv4,43.230.200.0,22,n/a
apnic,ipv4,43.230.212.0,22,n/a
apnic,ipv4,43.231.48.0,22,n/a
apnic,ipv4,43.231.56.0,22,n/a
apnic,ipv4,43.231.116.0,22,n/a
apnic,ipv4,43.231.124.0,22,n/a
apnic,ipv4,43.231.236.0,22,n/a
apnic,ipv4,43.231.252.0,22,n/a
apnic,ipv4,43.239.68.0,22,n/a
apnic,ipv4,43.239.76.0,22,n/a
apnic,ipv4,43.239.124.0,22,n/a
apnic,ipv4,43.239.128.0,22,n/a
apnic,ipv4,43.239.132.0,22,n/a
apnic,ipv4,43.239.140.0,22,n/a
apnic,ipv4,43.239.152.0,22,n/a
apnic,ipv4,43.239.168.0,22,n/a
apnic,ipv4,43.239.212.0,22,n/a
apnic,ipv4,43.239.236.0,22,n/a
apnic,ipv4,43.239.244.0,22,n/a
apnic,ipv4,43.240.4.0,22,n/a
apnic,ipv4,43.240.8.0,22,n/a
apnic,ipv4,43.241.24.0,22,n/a
apnic,ipv4,43.241.28.0,22,n/a
apnic,ipv4,43.241.36.0,22,n/a
apnic,ipv4,43.241.40.0,22,n/a
apnic,ipv4,43.241.64.0,22,n/a
apnic,ipv4,43.241.116.0,22,n/a
apnic,ipv4,43.241.120.0,22,n/a
apnic,ipv4,43.242.36.0,22,n/a
apnic,ipv4,43.242.104.0,22,n/a
apnic,ipv4,43.242.124.0,22,n/a
apnic,ipv4,43.242.208.0,22,n/a
apnic,ipv4,43.242.244.0,22,n/a
apnic,ipv4,43.243.76.0,22,n/a
apnic,ipv4,43.243.80.0,22,n/a
apnic,ipv4,43.243.212.0,22,n/a
apnic,ipv4,43.245.0.0,22,n/a
apnic,ipv4,43.245.4.0,22,n/a
apnic,ipv4,43.245.12.0,22,n/a
apnic,ipv4,43.245.88.0,22,n/a
apnic,ipv4,43.245.100.0,22,n/a
apnic,ipv4,43.245.136.0,22,n/a
apnic,ipv4,43.245.148.0,22,n/a
apnic,ipv4,43.246.124.0,22,n/a
apnic,ipv4,43.246.236.0,22,n/a
apnic,ipv4,43.246.248.0,21,n/a
apnic,ipv4,43.247.136.0,22,n/a
apnic,ipv4,43.247.140.0,22,n/a
apnic,ipv4,43.247.156.0,22,n/a
apnic,ipv4,43.248.72.0,22,n/a
apnic,ipv4,43.248.152.0,22,n/a
apnic,ipv4,43.248.220.0,22,n/a
apnic,ipv4,43.249.84.0,22,n/a
apnic,ipv4,43.249.184.0,22,n/a
apnic,ipv4,43.249.216.0,22,n/a
apnic,ipv4,43.249.228.0,22,n/a
apnic,ipv4,43.250.40.0,22,n/a
apnic,ipv4,43.250.120.0,22,n/a
apnic,ipv4,43.250.132.0,22,n/a
apnic,ipv4,43.251.72.0,22,n/a
apnic,ipv4,43.251.80.0,22,n/a
apnic,ipv4,43.251.92.0,22,n/a
apnic,ipv4,43.251.188.0,22,n/a
apnic,ipv4,43.251.216.0,22,n/a
apnic,ipv4,43.252.4.0,22,n/a
apnic,ipv4,43.252.24.0,22,n/a
apnic,ipv4,43.252.32.0,22,n/a
apnic,ipv4,43.252.60.0,22,n/a
apnic,ipv4,43.252.92.0,22,n/a
apnic,ipv4,43.252.100.0,22,n/a
apnic,ipv4,43.252.140.0,22,n/a
apnic,ipv4,43.252.188.0,22,n/a
apnic,ipv4,43.252.192.0,22,n/a
apnic,ipv4,43.252.196.0,22,n/a
apnic,ipv4,43.252.204.0,22,n/a
apnic,ipv4,43.252.220.0,23,n/a
apnic,ipv4,43.254.40.0,22,n/a
apnic,ipv4,43.254.108.0,22,n/a
apnic,ipv4,43.254.160.0,22,n/a
apnic,ipv4,43.254.176.0,22,n/a
apnic,ipv4,43.255.56.0,22,n/a
apnic,ipv4,43.255.132.0,22,n/a
apnic,ipv4,43.255.164.0,22,n/a
apnic,ipv4,45.64.8.0,22,n/a
apnic,ipv4,45.64.12.0,22,n/a
apnic,ipv4,45.64.16.0,22,n/a
apnic,ipv4,45.64.92.0,22,n/a
apnic,ipv4,45.64.156.0,22,n/a
apnic,ipv4,45.64.176.0,22,n/a
apnic,ipv4,45.64.188.0,22,n/a
apnic,ipv4,45.64.192.0,22,n/a
apnic,ipv4,45.64.208.0,22,n/a
apnic,ipv4,45.64.220.0,22,n/a
apnic,ipv4,45.64.224.0,22,n/a
apnic,ipv4,45.65.36.0,22,n/a
apnic,ipv4,45.65.48.0,22,n/a
apnic,ipv4,45.112.8.0,22,n/a
apnic,ipv4,45.112.16.0,22,n/a
apnic,ipv4,45.112.20.0,22,n/a
apnic,ipv4,45.112.28.0,22,n/a
apnic,ipv4,45.112.32.0,22,n/a
apnic,ipv4,45.112.40.0,22,n/a
apnic,ipv4,45.112.52.0,22,n/a
apnic,ipv4,45.112.136.0,22,n/a
apnic,ipv4,45.112.144.0,21,n/a
apnic,ipv4,45.112.172.0,22,n/a
apnic,ipv4,45.112.180.0,22,n/a
apnic,ipv4,45.112.200.0,22,n/a
apnic,ipv4,45.112.252.0,22,n/a
apnic,ipv4,45.113.64.0,22,n/a
apnic,ipv4,45.113.96.0,22,n/a
apnic,ipv4,45.113.104.0,22,n/a
apnic,ipv4,45.113.120.0,22,n/a
apnic,ipv4,45.113.136.0,22,n/a
apnic,ipv4,45.113.188.0,22,n/a
apnic,ipv4,45.113.224.0,22,n/a
apnic,ipv4,45.113.248.0,22,n/a
apnic,ipv4,45.114.56.0,22,n/a
apnic,ipv4,45.114.64.0,22,n/a
apnic,ipv4,45.114.72.0,22,n/a
apnic,ipv4,45.114.76.0,22,n/a
apnic,ipv4,45.114.80.0,22,n/a
apnic,ipv4,45.114.144.0,22,n/a
apnic,ipv4,45.114.148.0,22,n/a
apnic,ipv4,45.114.152.0,22,n/a
apnic,ipv4,45.114.180.0,22,n/a
apnic,ipv4,45.114.192.0,22,n/a
apnic,ipv4,45.114.244.0,22,n/a
apnic,ipv4,45.115.0.0,22,n/a
apnic,ipv4,45.115.4.0,22,n/a
apnic,ipv4,45.115.8.0,22,n/a
apnic,ipv4,45.115.76.0,22,n/a
apnic,ipv4,45.115.88.0,22,n/a
apnic,ipv4,45.115.96.0,22,n/a
apnic,ipv4,45.115.140.0,22,n/a
apnic,ipv4,45.115.148.0,22,n/a
apnic,ipv4,45.115.168.0,22,n/a
apnic,ipv4,45.115.172.0,22,n/a
apnic,ipv4,45.115.184.0,22,n/a
apnic,ipv4,45.115.188.0,22,n/a
apnic,ipv4,45.115.252.0,22,n/a
apnic,ipv4,45.116.28.0,22,n/a
apnic,ipv4,45.116.84.0,22,n/a
apnic,ipv4,45.116.104.0,22,n/a
apnic,ipv4,45.116.112.0,22,n/a
apnic,ipv4,45.116.116.0,22,n/a
apnic,ipv4,45.116.148.0,22,n/a
apnic,ipv4,45.116.196.0,22,n/a
apnic,ipv4,45.116.200.0,22,n/a
apnic,ipv4,45.116.252.0,22,n/a
apnic,ipv4,45.117.44.0,22,n/a
apnic,ipv4,45.117.92.0,22,n/a
apnic,ipv4,45.117.112.0,22,n/a
apnic,ipv4,45.117.116.0,22,n/a
apnic,ipv4,45.117.128.0,22,n/a
apnic,ipv4,45.117.200.0,22,n/a
apnic,ipv4,45.117.204.0,22,n/a
apnic,ipv4,45.118.0.0,21,n/a
apnic,ipv4,45.118.12.0,22,n/a
apnic,ipv4,45.118.16.0,22,n/a
apnic,ipv4,45.118.24.0,21,n/a
apnic,ipv4,45.118.72.0,22,n/a
apnic,ipv4,45.118.88.0,22,n/a
apnic,ipv4,45.118.96.0,21,n/a
apnic,ipv4,45.118.108.0,22,n/a
apnic,ipv4,45.118.128.0,22,n/a
apnic,ipv4,45.118.212.0,22,n/a
apnic,ipv4,45.119.12.0,22,n/a
apnic,ipv4,45.119.16.0,21,n/a
apnic,ipv4,45.119.24.0,22,n/a
apnic,ipv4,45.119.32.0,21,n/a
apnic,ipv4,45.119.48.0,22,n/a
apnic,ipv4,45.119.168.0,21,n/a
apnic,ipv4,45.119.184.0,22,n/a
apnic,ipv4,45.119.196.0,22,n/a
apnic,ipv4,45.119.224.0,21,n/a
apnic,ipv4,45.119.244.0,22,n/a
apnic,ipv4,45.119.248.0,22,n/a
apnic,ipv4,45.120.20.0,22,n/a
apnic,ipv4,45.120.24.0,22,n/a
apnic,ipv4,45.120.40.0,22,n/a
apnic,ipv4,45.120.48.0,22,n/a
apnic,ipv4,45.120.56.0,22,n/a
apnic,ipv4,45.120.92.0,22,n/a
apnic,ipv4,45.120.120.0,22,n/a
apnic,ipv4,45.120.136.0,22,n/a
apnic,ipv4,45.120.172.0,22,n/a
apnic,ipv4,45.120.188.0,22,n/a
apnic,ipv4,45.120.212.0,22,n/a
apnic,ipv4,45.120.232.0,21,n/a
apnic,ipv4,45.120.248.0,22,n/a
apnic,ipv4,45.120.252.0,22,n/a
apnic,ipv4,45.121.16.0,22,n/a
apnic,ipv4,45.121.44.0,22,n/a
apnic,ipv4,45.121.76.0,22,n/a
apnic,ipv4,45.121.108.0,22,n/a
apnic,ipv4,45.121.116.0,22,n/a
apnic,ipv4,45.121.120.0,21,n/a
apnic,ipv4,45.121.224.0,22,n/a
apnic,ipv4,45.121.228.0,22,n/a
apnic,ipv4,45.122.44.0,22,n/a
apnic,ipv4,45.122.120.0,22,n/a
apnic,ipv4,45.122.124.0,22,n/a
apnic,ipv4,45.122.128.0,22,n/a
apnic,ipv4,45.122.148.0,22,n/a
apnic,ipv4,45.123.0.0,22,n/a
apnic,ipv4,45.123.4.0,22,n/a
apnic,ipv4,45.123.8.0,22,n/a
apnic,ipv4,45.123.12.0,22,n/a
apnic,ipv4,45.123.16.0,22,n/a
apnic,ipv4,45.123.24.0,22,n/a
apnic,ipv4,45.123.108.0,22,n/a
apnic,ipv4,45.123.160.0,22,n/a
apnic,ipv4,45.124.48.0,22,n/a
apnic,ipv4,45.124.96.0,23,n/a
apnic,ipv4,45.124.104.0,22,n/a
apnic,ipv4,45.124.108.0,23,n/a
apnic,ipv4,45.124.128.0,22,n/a
apnic,ipv4,45.124.144.0,22,n/a
apnic,ipv4,45.124.156.0,22,n/a
apnic,ipv4,45.124.240.0,21,n/a
apnic,ipv4,45.125.116.0,22,n/a
apnic,ipv4,45.125.132.0,22,n/a
apnic,ipv4,45.125.140.0,22,n/a
apnic,ipv4,45.125.148.0,22,n/a
apnic,ipv4,45.125.152.0,22,n/a
apnic,ipv4,45.125.156.0,22,n/a
apnic,ipv4,45.125.180.0,22,n/a
apnic,ipv4,45.125.244.0,22,n/a
apnic,ipv4,45.126.16.0,22,n/a
apnic,ipv4,45.126.28.0,22,n/a
apnic,ipv4,45.126.32.0,22,n/a
apnic,ipv4,45.126.104.0,22,n/a
apnic,ipv4,45.126.160.0,22,n/a
apnic,ipv4,45.126.168.0,22,n/a
apnic,ipv4,45.126.172.0,22,n/a
apnic,ipv4,45.126.176.0,22,n/a
apnic,ipv4,45.126.200.0,21,n/a
apnic,ipv4,45.126.232.0,21,n/a
apnic,ipv4,45.126.244.0,22,n/a
apnic,ipv4,45.126.252.0,24,n/a
apnic,ipv4,45.127.16.0,21,n/a
apnic,ipv4,45.127.24.0,22,n/a
apnic,ipv4,45.127.40.0,22,n/a
apnic,ipv4,45.127.44.0,22,n/a
apnic,ipv4,45.127.52.0,22,n/a
apnic,ipv4,45.127.88.0,22,n/a
apnic,ipv4,45.127.108.0,22,n/a
apnic,ipv4,45.127.120.0,22,n/a
apnic,ipv4,45.127.188.0,22,n/a
apnic,ipv4,45.127.192.0,22,n/a
apnic,ipv4,45.127.196.0,22,n/a
apnic,ipv4,45.127.208.0,22,n/a
apnic,ipv4,45.127.212.0,22,n/a
apnic,ipv4,45.127.228.0,22,n/a
apnic,ipv4,45.127.236.0,22,n/a
apnic,ipv4,45.248.12.0,22,n/a
apnic,ipv4,45.248.16.0,22,n/a
apnic,ipv4,45.248.28.0,22,n/a
apnic,ipv4,45.248.92.0,22,n/a
apnic,ipv4,45.248.120.0,22,n/a
apnic,ipv4,45.248.164.0,22,n/a
apnic,ipv4,45.248.188.0,22,n/a
apnic,ipv4,45.248.192.0,22,n/a
apnic,ipv4,45.249.56.0,22,n/a
apnic,ipv4,45.249.68.0,22,n/a
apnic,ipv4,45.249.72.0,22,n/a
apnic,ipv4,45.249.80.0,22,n/a
apnic,ipv4,45.249.132.0,22,n/a
apnic,ipv4,45.249.164.0,22,n/a
apnic,ipv4,45.249.240.0,22,n/a
apnic,ipv4,45.249.248.0,22,n/a
apnic,ipv4,45.250.0.0,21,n/a
apnic,ipv4,45.250.8.0,22,n/a
apnic,ipv4,45.250.52.0,22,n/a
apnic,ipv4,45.250.56.0,22,n/a
apnic,ipv4,45.250.68.0,22,n/a
apnic,ipv4,45.250.168.0,22,n/a
apnic,ipv4,45.250.212.0,22,n/a
apnic,ipv4,45.250.216.0,22,n/a
apnic,ipv4,45.250.224.0,22,n/a
apnic,ipv4,45.250.232.0,22,n/a
apnic,ipv4,45.251.12.0,22,n/a
apnic,ipv4,45.251.32.0,22,n/a
apnic,ipv4,45.251.48.0,22,n/a
apnic,ipv4,45.251.68.0,22,n/a
apnic,ipv4,45.251.116.0,22,n/a
apnic,ipv4,45.252.76.0,22,n/a
apnic,ipv4,45.252.80.0,22,n/a
apnic,ipv4,45.252.188.0,22,n/a
apnic,ipv4,47.8.0.0,15,n/a
apnic,ipv4,47.11.0.0,16,n/a
apnic,ipv4,47.15.0.0,16,n/a
apnic,ipv4,47.29.0.0,16,n/a
apnic,ipv4,47.30.0.0,15,n/a
apnic,ipv4,47.247.0.0,16,n/a
apnic,ipv4,49.14.0.0,15,n/a
apnic,ipv4,49.32.0.0,12,n/a
apnic,ipv4,49.50.64.0,18,n/a
apnic,ipv4,49.128.108.0,22,n/a
apnic,ipv4,49.128.160.0,20,n/a
apnic,ipv4,49.136.0.0,14,n/a
apnic,ipv4,49.143.252.0,22,n/a
apnic,ipv4,49.156.64.0,18,n/a
apnic,ipv4,49.156.128.0,19,n/a
apnic,ipv4,49.200.0.0,14,n/a
apnic,ipv4,49.204.0.0,14,n/a
apnic,ipv4,49.238.32.0,19,n/a
apnic,ipv4,49.248.0.0,17,n/a
apnic,ipv4,49.248.128.0,18,n/a
apnic,ipv4,49.248.192.0,19,n/a
apnic,ipv4,49.248.224.0,20,n/a
apnic,ipv4,49.248.240.0,22,n/a
apnic,ipv4,49.248.244.0,23,n/a
apnic,ipv4,49.248.246.0,23,n/a
apnic,ipv4,49.248.248.0,21,n/a
apnic,ipv4,49.249.0.0,19,n/a
apnic,ipv4,49.249.32.0,24,n/a
apnic,ipv4,49.249.33.0,24,n/a
apnic,ipv4,49.249.34.0,23,n/a
apnic,ipv4,49.249.36.0,22,n/a
apnic,ipv4,49.249.40.0,21,n/a
apnic,ipv4,49.249.48.0,20,n/a
apnic,ipv4,49.249.64.0,18,n/a
apnic,ipv4,49.249.128.0,18,n/a
apnic,ipv4,49.249.192.0,19,n/a
apnic,ipv4,49.249.224.0,19,n/a
apnic,ipv4,58.2.0.0,16,n/a
apnic,ipv4,58.68.0.0,17,n/a
apnic,ipv4,58.84.24.0,22,n/a
apnic,ipv4,58.84.56.0,22,n/a
apnic,ipv4,58.146.96.0,19,n/a
apnic,ipv4,59.88.0.0,13,n/a
apnic,ipv4,59.96.0.0,14,n/a
apnic,ipv4,59.144.0.0,15,n/a
apnic,ipv4,59.152.40.0,22,n/a
apnic,ipv4,59.152.52.0,22,n/a
apnic,ipv4,59.153.36.0,22,n/a
apnic,ipv4,59.153.96.0,22,n/a
apnic,ipv4,59.153.120.0,22,n/a
apnic,ipv4,59.160.0.0,14,n/a
apnic,ipv4,59.164.0.0,15,n/a
apnic,ipv4,59.176.0.0,13,n/a
apnic,ipv4,59.184.0.0,15,n/a
apnic,ipv4,60.243.0.0,16,n/a
apnic,ipv4,60.254.0.0,17,n/a
apnic,ipv4,61.0.0.0,16,n/a
apnic,ipv4,61.1.0.0,16,n/a
apnic,ipv4,61.2.0.0,15,n/a
apnic,ipv4,61.11.0.0,19,n/a
apnic,ipv4,61.11.32.0,19,n/a
apnic,ipv4,61.11.64.0,18,n/a
apnic,ipv4,61.12.0.0,19,n/a
apnic,ipv4,61.12.32.0,20,n/a
apnic,ipv4,61.12.48.0,20,n/a
apnic,ipv4,61.12.64.0,19,n/a
apnic,ipv4,61.12.96.0,19,n/a
apnic,ipv4,61.14.204.0,22,n/a
apnic,ipv4,61.16.128.0,20,n/a
apnic,ipv4,61.16.144.0,20,n/a
