region,ip,prefixlength,org
ripencc,2a0e::,26,n/a
ripencc,2001:790::,32,n/a
ripencc,2a00:d20::,32,n/a
ripencc,2a00:ff8::,29,ir.bozorgnet;Bozorg Net-e Aria
ripencc,2a01:3c8::,32,n/a
ripencc,2a01:458::,32,n/a
ripencc,2a02:828::,29,n/a
ripencc,2a02:d30::,32,n/a
ripencc,2a03:d20::,32,n/a
ripencc,2a05:a40::,29,n/a
ripencc,2a05:a80::,29,n/a
ripencc,2a05:ac0::,29,n/a
ripencc,2a07:380::,29,ir.faranegar;Fara Negar Pardaz Noor Khuzestan Co.JSP
ripencc,2a07:900::,29,n/a
ripencc,2a0a:480::,29,n/a
ripencc,2a0a:900::,29,n/a
ripencc,2a0a:c80::,29,ir.jahan-nama;Homaye Jahan Nama Co. ( Private Joint Stock)
ripencc,2a0b:900::,32,ir.almasnet;Pardazeshgaran Almas Pasargad Co. Pjs
ripencc,2a0b:ac0::,29,n/a
ripencc,2a0b:f80::,29,ir.smart;Smart Land Solutions Co Ltd.
ripencc,2a0c:100::,29,ir.farabord;Farabord Dadeh Haye Iranian Co.
ripencc,2a13:8c0::,29,n/a
ripencc,2001:14e8::,32,n/a
ripencc,2001:1500::,32,ir.sharif;Sharif University Of Technology
ripencc,2001:4188::,29,ir.dcc;Information Technology Company (ITC)
ripencc,2001:4c88::,32,ir.pte-tehran;Pishgaman Toseeh Ertebatat Company (Private Joint Stock)
ripencc,2a00:1198::,32,ir.sinet;Soroush Rasanheh Company Ltd
ripencc,2a00:1570::,32,ir.ask;ANDISHE SABZ KHAZAR CO. P.J.S.
ripencc,2a00:15c8::,29,n/a
ripencc,2a00:1758::,32,n/a
ripencc,2a00:1a88::,32,ir.pars;Pars Online PJS
ripencc,2a00:1ce0::,32,n/a
ripencc,2a00:1fe0::,32,ir.parvaresh;Parvaresh Dadeha Co. Private Joint Stock
ripencc,2a00:4000::,29,ir.asretelecom;Asr-e Enteghal-e Dadeha Company (Private J.S.)
ripencc,2a00:4c60::,32,n/a
ripencc,2a00:52e0::,32,n/a
ripencc,2a00:5ca0::,32,ir.mobinnet;Mobin Net Communication Company (Private Joint Stock)
ripencc,2a00:6380::,32,ir.petiak;Petiak System Co JSC
ripencc,2a00:63a0::,32,ir.fava;Razavi Information and communication technology company Plc
ripencc,2a00:6d60::,32,n/a
ripencc,2a00:7040::,32,n/a
ripencc,2a00:76c0::,29,n/a
ripencc,2a00:7d80::,29,n/a
ripencc,2a00:94c0::,32,ir.irangate-esfahan;Rasaneh Esfahan Net
ripencc,2a00:9b20::,32,n/a
ripencc,2a00:abe0::,32,ir.ghavamin;Bank Ghavamin (Public Joint Stock)
ripencc,2a00:b140::,32,n/a
ripencc,2a00:bc60::,32,n/a
ripencc,2a00:c4a0::,32,ir.saipa;Saipa Corporation Public Joint Stock
ripencc,2a00:d500::,32,n/a
ripencc,2a01:4ac0::,32,n/a
ripencc,2a01:5500::,29,ir.sepehrava;Sepehr Ava Data Processing Company (LTD)
ripencc,2a01:5840::,32,n/a
ripencc,2a01:5ec0::,32,n/a
ripencc,2a01:7320::,32,n/a
ripencc,2a01:9180::,32,ir.systec;Rayaneh Pardazan Baran Co. Ltd.
ripencc,2a01:9800::,32,n/a
ripencc,2a01:a120::,32,n/a
ripencc,2a01:a540::,32,n/a
ripencc,2a01:bd80::,29,n/a
ripencc,2a02:16c0::,29,ir.rdgir;Rayaneh Danesh Golestan Complex P.J.S. Co.
ripencc,2a02:1730::,32,ir.oracle;Oracle Telecommunication Company PJS
ripencc,2a02:2960::,32,ir.kishitgroup;Kish It Group Company Ltd.
ripencc,2a02:2b58::,29,ir.mabna;GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock)
ripencc,2a02:4540::,29,ir.mci;Mobile Communication Company of Iran PLC
ripencc,2a02:4e60::,32,ir.serverpars;Fanavari Serverpars Argham Gostar Company Ltd.
ripencc,2a02:5380::,32,ir.arianagostar;Ariana Gostar Spadana (PJSC)
ripencc,2a02:6040::,32,n/a
ripencc,2a02:6440::,32,ir.pishtaz;PISHTAZE E JADID INFORMATION COMPANY (Ltd.)
ripencc,2a02:6ec0::,29,n/a
ripencc,2a02:c3a0::,30,ir.pcomtelecom;Pouya shabakeh Asr Co. (LTD.)
