region,version,ip,prefixlength
apnic,ipv4,103.37.6.0,23
apnic,ipv4,103.167.82.0,23
apnic,ipv4,103.188.230.0,23
apnic,ipv4,103.189.190.0,23
apnic,ipv6,2407:6640::,32
arin,ipv4,104.153.164.0,23
arin,ipv4,168.202.0.0,16
arin,ipv4,199.103.119.0,24
arin,ipv4,204.79.130.0,23
arin,ipv4,204.79.132.0,24
arin,ipv4,204.79.240.0,24
arin,ipv4,204.231.237.0,24
arin,ipv6,2605:2e00::,36
ripencc,ipv4,2.32.0.0,12
ripencc,ipv4,2.56.92.0,22
ripencc,ipv4,2.56.128.0,22
ripencc,ipv4,2.57.32.0,22
ripencc,ipv4,2.57.84.0,22
ripencc,ipv4,2.58.128.0,22
ripencc,ipv4,2.58.136.0,22
ripencc,ipv4,2.58.184.0,22
ripencc,ipv4,2.58.208.0,22
ripencc,ipv4,2.59.4.0,22
ripencc,ipv4,2.59.16.0,22
ripencc,ipv4,2.59.140.0,22
ripencc,ipv4,2.59.228.0,22
ripencc,ipv4,2.59.248.0,22
ripencc,ipv4,2.112.0.0,13
ripencc,ipv4,2.156.0.0,14
ripencc,ipv4,2.192.0.0,13
ripencc,ipv4,2.224.0.0,12
ripencc,ipv4,5.1.42.0,24
ripencc,ipv4,5.1.44.0,24
ripencc,ipv4,5.2.0.0,20
ripencc,ipv4,5.8.96.0,19
ripencc,ipv4,5.11.32.0,21
ripencc,ipv4,5.11.96.0,19
ripencc,ipv4,5.23.32.0,21
ripencc,ipv4,5.28.8.0,21
ripencc,ipv4,5.34.184.0,21
ripencc,ipv4,5.42.144.0,21
ripencc,ipv4,5.43.232.0,21
ripencc,ipv4,5.43.248.0,21
ripencc,ipv4,5.56.8.0,21
ripencc,ipv4,5.57.208.0,24
ripencc,ipv4,5.61.0.0,21
ripencc,ipv4,5.61.192.0,21
ripencc,ipv4,5.61.216.0,21
ripencc,ipv4,5.62.72.0,21
ripencc,ipv4,5.63.136.0,21
ripencc,ipv4,5.63.168.0,21
ripencc,ipv4,5.77.64.0,18
ripencc,ipv4,5.83.104.0,24
ripencc,ipv4,5.83.105.0,24
ripencc,ipv4,5.83.106.0,23
ripencc,ipv4,5.83.108.0,22
ripencc,ipv4,5.83.120.0,21
ripencc,ipv4,5.84.0.0,14
ripencc,ipv4,5.88.0.0,13
ripencc,ipv4,5.96.0.0,14
ripencc,ipv4,5.100.232.0,21
ripencc,ipv4,5.102.0.0,19
ripencc,ipv4,5.104.24.0,21
ripencc,ipv4,5.133.32.0,21
ripencc,ipv4,5.133.48.0,20
ripencc,ipv4,5.133.96.0,22
ripencc,ipv4,5.133.114.0,24
ripencc,ipv4,5.134.120.0,21
ripencc,ipv4,5.144.160.0,20
ripencc,ipv4,5.144.184.0,21
ripencc,ipv4,5.145.120.0,21
ripencc,ipv4,5.150.128.0,20
ripencc,ipv4,5.152.128.0,22
ripencc,ipv4,5.152.144.0,22
ripencc,ipv4,5.152.148.0,23
ripencc,ipv4,5.152.154.0,23
ripencc,ipv4,5.152.156.0,22
ripencc,ipv4,5.152.240.0,21
ripencc,ipv4,5.154.192.0,19
ripencc,ipv4,5.154.237.0,24
ripencc,ipv4,5.154.238.0,24
ripencc,ipv4,5.157.96.0,19
ripencc,ipv4,5.158.64.0,20
ripencc,ipv4,5.168.0.0,14
ripencc,ipv4,5.172.64.0,19
ripencc,ipv4,5.172.96.0,23
ripencc,ipv4,5.172.98.0,23
ripencc,ipv4,5.172.100.0,22
ripencc,ipv4,5.172.104.0,21
ripencc,ipv4,5.172.112.0,20
ripencc,ipv4,5.172.208.0,21
ripencc,ipv4,5.175.32.0,21
ripencc,ipv4,5.175.48.0,21
ripencc,ipv4,5.175.64.0,20
ripencc,ipv4,5.178.40.0,21
ripencc,ipv4,5.178.88.0,21
ripencc,ipv4,5.178.120.0,21
ripencc,ipv4,5.179.128.0,18
ripencc,ipv4,5.180.68.0,22
ripencc,ipv4,5.180.108.0,22
ripencc,ipv4,5.180.168.0,22
ripencc,ipv4,5.180.204.0,22
ripencc,ipv4,5.180.236.0,22
ripencc,ipv4,5.181.68.0,22
ripencc,ipv4,5.181.144.0,22
ripencc,ipv4,5.181.160.0,24
ripencc,ipv4,5.181.192.0,22
ripencc,ipv4,5.182.68.0,22
ripencc,ipv4,5.182.240.0,22
ripencc,ipv4,5.183.108.0,22
ripencc,ipv4,5.198.224.0,20
ripencc,ipv4,5.249.128.0,19
ripencc,ipv4,5.252.16.0,22
ripencc,ipv4,5.252.44.0,22
ripencc,ipv4,5.252.84.0,22
ripencc,ipv4,5.252.240.0,22
ripencc,ipv4,5.253.48.0,22
ripencc,ipv4,5.253.196.0,22
ripencc,ipv4,5.253.212.0,22
ripencc,ipv4,31.3.160.0,19
ripencc,ipv4,31.6.80.0,20
ripencc,ipv4,31.7.144.0,20
ripencc,ipv4,31.10.48.0,21
ripencc,ipv4,31.11.32.0,21
ripencc,ipv4,31.12.8.0,21
ripencc,ipv4,31.13.136.0,21
ripencc,ipv4,31.13.194.0,24
ripencc,ipv4,31.13.210.0,24
ripencc,ipv4,31.13.249.0,24
ripencc,ipv4,31.13.250.0,23
ripencc,ipv4,31.14.28.0,24
ripencc,ipv4,31.14.128.0,20
ripencc,ipv4,31.14.163.0,24
ripencc,ipv4,31.14.183.0,24
ripencc,ipv4,31.14.184.0,21
ripencc,ipv4,31.14.233.0,24
ripencc,ipv4,31.15.72.0,21
ripencc,ipv4,31.15.96.0,21
ripencc,ipv4,31.24.136.0,21
ripencc,ipv4,31.25.32.0,21
ripencc,ipv4,31.26.0.0,15
ripencc,ipv4,31.31.40.0,21
ripencc,ipv4,31.44.16.0,20
ripencc,ipv4,31.44.112.0,20
ripencc,ipv4,31.44.160.0,20
ripencc,ipv4,31.132.40.0,22
ripencc,ipv4,31.132.48.0,22
ripencc,ipv4,31.156.0.0,14
ripencc,ipv4,31.169.104.0,21
ripencc,ipv4,31.170.40.0,21
ripencc,ipv4,31.171.136.0,21
ripencc,ipv4,31.177.40.0,21
ripencc,ipv4,31.177.112.0,21
ripencc,ipv4,31.185.16.0,21
ripencc,ipv4,31.185.96.0,21
ripencc,ipv4,31.186.40.0,21
ripencc,ipv4,31.187.104.0,21
ripencc,ipv4,31.188.0.0,14
ripencc,ipv4,31.193.16.0,20
ripencc,ipv4,31.193.56.0,21
ripencc,ipv4,31.193.144.0,20
ripencc,ipv4,31.194.0.0,15
ripencc,ipv4,31.196.0.0,14
ripencc,ipv4,31.207.96.0,19
ripencc,ipv4,31.214.153.0,24
ripencc,ipv4,31.216.128.0,22
ripencc,ipv4,31.216.152.0,21
ripencc,ipv4,31.216.240.0,20
ripencc,ipv4,31.217.200.0,21
ripencc,ipv4,31.223.240.0,20
ripencc,ipv4,37.9.224.0,20
ripencc,ipv4,37.10.80.0,20
ripencc,ipv4,37.32.80.0,20
ripencc,ipv4,37.32.104.0,21
ripencc,ipv4,37.34.32.0,21
ripencc,ipv4,37.34.40.0,21
ripencc,ipv4,37.34.72.0,21
ripencc,ipv4,37.60.32.0,21
ripencc,ipv4,37.61.228.0,24
