region,ip,prefixlength,org
apnic,103.37.6.0,23,n/a
apnic,103.167.82.0,23,n/a
apnic,103.188.230.0,23,n/a
apnic,103.189.190.0,23,n/a
arin,104.153.164.0,23,n/a
arin,168.202.0.0,16,n/a
arin,199.103.119.0,24,n/a
arin,204.79.130.0,23,n/a
arin,204.79.132.0,24,n/a
arin,204.79.240.0,24,n/a
arin,204.231.237.0,24,n/a
ripencc,2.32.0.0,12,it.vodafone;Vodafone Italia S.p.A.
ripencc,2.56.92.0,22,it.datacenter;Data Center S.R.L.
ripencc,2.56.128.0,22,n/a
ripencc,2.57.32.0,22,it.melita;Enel Energia SPA
ripencc,2.57.84.0,22,it.francescobovenet;FRANCESCO BOVE
ripencc,2.58.128.0,22,it.connesi;Connesi s.p.a.
ripencc,2.58.136.0,22,n/a
ripencc,2.58.184.0,22,n/a
ripencc,2.58.208.0,22,n/a
ripencc,2.59.4.0,22,it.hygieitalia;Hygie Italia srl
ripencc,2.59.16.0,22,it.fidoka;FIDOKA SRL
ripencc,2.59.140.0,22,n/a
ripencc,2.59.228.0,22,n/a
ripencc,2.59.248.0,22,n/a
ripencc,2.112.0.0,13,it.interbusiness;Telecom Italia S.p.A.
ripencc,2.156.0.0,14,it.h3g;WIND TRE S.P.A.
ripencc,2.192.0.0,13,it.tim;Telecom Italia S.p.A.
ripencc,2.224.0.0,12,n/a
ripencc,5.1.42.0,24,it.lumianetwork;LUMIA NETWORK SRL
ripencc,5.1.44.0,24,n/a
ripencc,5.2.0.0,20,n/a
ripencc,5.8.96.0,19,it.twt;TWT S.p.A.
ripencc,5.11.32.0,21,n/a
ripencc,5.11.96.0,19,n/a
ripencc,5.23.32.0,21,n/a
ripencc,5.28.8.0,21,it.benesolutions;Benesolutions S.R.L.S
ripencc,5.34.184.0,21,it.pkloss;Packet Loss s.r.l.
ripencc,5.42.144.0,21,n/a
ripencc,5.43.232.0,21,it.tcrs;Terrecablate Reti e Servizi S.R.L.
ripencc,5.43.248.0,21,it.nord-com;Nordcom S.p.a.
ripencc,5.56.8.0,21,n/a
ripencc,5.57.208.0,24,it.libraesva1;Libraesva srl
ripencc,5.61.0.0,21,it.itswispi;WISPI SRL
ripencc,5.61.192.0,21,it.skylogic;SKYLOGIC S.P.A.
ripencc,5.61.216.0,21,it.netoip;NetoIP.com srl
ripencc,5.62.72.0,21,it.nhm;NHM - S.R.L.
ripencc,5.63.136.0,21,n/a
ripencc,5.63.168.0,21,it.twt;TWT S.p.A.
ripencc,5.77.64.0,18,n/a
ripencc,5.83.104.0,24,it.it-seta;SETA S.R.L.
ripencc,5.83.105.0,24,n/a
ripencc,5.83.106.0,23,n/a
ripencc,5.83.108.0,22,n/a
ripencc,5.83.120.0,21,n/a
ripencc,5.84.0.0,14,it.h3g;WIND TRE S.P.A.
ripencc,5.88.0.0,13,it.vodafone;Vodafone Italia S.p.A.
ripencc,5.96.0.0,14,it.interbusiness;Telecom Italia S.p.A.
ripencc,5.100.232.0,21,it.trivenet;Trivenet S.R.L.
ripencc,5.102.0.0,19,n/a
ripencc,5.104.24.0,21,it.atcall;ATCALL SRL
ripencc,5.133.32.0,21,it.suedtirolnet;SUEDTIROLNET G.M.B.H
ripencc,5.133.48.0,20,n/a
ripencc,5.133.96.0,22,n/a
ripencc,5.133.114.0,24,n/a
ripencc,5.134.120.0,21,n/a
ripencc,5.144.160.0,20,n/a
ripencc,5.144.184.0,21,n/a
ripencc,5.145.120.0,21,n/a
ripencc,5.150.128.0,20,n/a
ripencc,5.152.128.0,22,n/a
ripencc,5.152.144.0,22,n/a
ripencc,5.152.148.0,23,n/a
ripencc,5.152.154.0,23,n/a
ripencc,5.152.156.0,22,n/a
ripencc,5.152.240.0,21,n/a
ripencc,5.154.192.0,19,it.connesi;Connesi s.p.a.
ripencc,5.154.237.0,24,it.connesi;Connesi s.p.a.
ripencc,5.154.238.0,24,it.connesi;Connesi s.p.a.
ripencc,5.157.96.0,19,it.ngi;EOLO S.p.A.
ripencc,5.158.64.0,20,n/a
ripencc,5.168.0.0,14,it.tim;Telecom Italia S.p.A.
ripencc,5.172.64.0,19,it.intred;INTRED S.P.A.
ripencc,5.172.96.0,23,it.telex;TELEX S.r.l.
ripencc,5.172.98.0,23,n/a
ripencc,5.172.100.0,22,n/a
ripencc,5.172.104.0,21,n/a
ripencc,5.172.112.0,20,n/a
ripencc,5.172.208.0,21,it.isiline;ISI Line srl
ripencc,5.175.32.0,21,it.autovie;Autovie Venete S.p.A.
ripencc,5.175.48.0,21,it.almaviva;Almaviva S.p.A.
ripencc,5.175.64.0,20,it.skylogic;SKYLOGIC S.P.A.
ripencc,5.178.40.0,21,it.seabone;TELECOM ITALIA SPARKLE S.p.A.
ripencc,5.178.88.0,21,n/a
ripencc,5.178.120.0,21,it.cerberoos;CERBEROOS SRL
ripencc,5.179.128.0,18,n/a
ripencc,5.180.68.0,22,it.maggioli;Maggioli S.p.a.
ripencc,5.180.108.0,22,it.finit;FIN.IT SRL
ripencc,5.180.168.0,22,it.springosrl;Springo Srl
ripencc,5.180.204.0,22,n/a
ripencc,5.180.236.0,22,it.fidoka;FIDOKA SRL
ripencc,5.181.68.0,22,it.connesi;Connesi s.p.a.
ripencc,5.181.144.0,22,n/a
ripencc,5.181.160.0,24,it.redder;Redder Telco s.r.l.
ripencc,5.181.192.0,22,n/a
ripencc,5.182.68.0,22,n/a
ripencc,5.182.240.0,22,n/a
ripencc,5.183.108.0,22,n/a
ripencc,5.198.224.0,20,it.isiline;ISI Line srl
ripencc,5.249.128.0,19,it.technorail;Aruba S.p.A.
ripencc,5.252.16.0,22,n/a
ripencc,5.252.44.0,22,it.netstorming;NETSTORMING S.R.L.
ripencc,5.252.84.0,22,it.coopitalia;COOP ITALIA SOCIETA' COOPERATIVA
ripencc,5.252.240.0,22,it.intred;INTRED S.P.A.
ripencc,5.253.48.0,22,it.airnet;AIRNET S.R.L.S.
ripencc,5.253.196.0,22,n/a
ripencc,5.253.212.0,22,n/a
ripencc,31.3.160.0,19,n/a
ripencc,31.6.80.0,20,n/a
ripencc,31.7.144.0,20,n/a
ripencc,31.10.48.0,21,n/a
ripencc,31.11.32.0,21,it.technorail;Aruba S.p.A.
ripencc,31.12.8.0,21,n/a
ripencc,31.13.136.0,21,it.dts;Digital Telecommunication Services S.r.l.
ripencc,31.13.194.0,24,n/a
ripencc,31.13.210.0,24,it.enegan;Enegan S.p.A.
ripencc,31.13.249.0,24,n/a
ripencc,31.13.250.0,23,n/a
ripencc,31.14.28.0,24,n/a
ripencc,31.14.128.0,20,it.technorail;Aruba S.p.A.
ripencc,31.14.163.0,24,it.incubatec-com;INCUBATEC GmbH - Srl
ripencc,31.14.183.0,24,n/a
ripencc,31.14.184.0,21,n/a
ripencc,31.14.233.0,24,it.airgridnet;Airgrid S.R.L.
ripencc,31.15.72.0,21,it.optima;Optima Italia S.p.A.
ripencc,31.15.96.0,21,it.iclos;WAYPOINT SRLS
ripencc,31.24.136.0,21,it.wimore;WiMore S.r.l.
