region,version,ip,prefixlength
apnic,ipv6,2001:df0:c840::,48
apnic,ipv6,2001:df0:d840::,48
apnic,ipv6,2001:df1:82c0::,48
ripencc,ipv4,31.129.125.0,24
ripencc,ipv4,31.131.240.0,21
ripencc,ipv4,84.38.48.0,20
ripencc,ipv4,89.200.244.0,24
ripencc,ipv4,91.142.143.0,24
ripencc,ipv4,91.192.124.0,22
ripencc,ipv4,91.193.44.0,22
ripencc,ipv4,91.194.142.0,23
ripencc,ipv4,91.198.84.0,24
ripencc,ipv4,91.199.36.0,24
ripencc,ipv4,91.199.170.0,24
ripencc,ipv4,91.199.173.0,24
ripencc,ipv4,91.200.208.0,22
ripencc,ipv4,91.205.80.0,22
ripencc,ipv4,91.206.74.0,23
ripencc,ipv4,91.206.128.0,23
ripencc,ipv4,91.207.150.0,23
ripencc,ipv4,91.208.14.0,24
ripencc,ipv4,91.208.152.0,24
ripencc,ipv4,91.208.195.0,24
ripencc,ipv4,91.209.97.0,24
ripencc,ipv4,91.209.194.0,24
ripencc,ipv4,91.211.156.0,22
ripencc,ipv4,91.212.52.0,24
ripencc,ipv4,91.212.167.0,24
ripencc,ipv4,91.212.219.0,24
ripencc,ipv4,91.212.249.0,24
ripencc,ipv4,91.213.7.0,24
ripencc,ipv4,91.213.129.0,24
ripencc,ipv4,91.213.153.0,24
ripencc,ipv4,91.213.210.0,24
ripencc,ipv4,91.214.60.0,22
ripencc,ipv4,91.214.72.0,22
ripencc,ipv4,91.216.17.0,24
ripencc,ipv4,91.216.38.0,24
ripencc,ipv4,91.216.127.0,24
ripencc,ipv4,91.218.224.0,22
ripencc,ipv4,91.220.4.0,24
ripencc,ipv4,91.220.142.0,24
ripencc,ipv4,91.220.168.0,24
ripencc,ipv4,91.221.32.0,23
ripencc,ipv4,91.221.236.0,23
ripencc,ipv4,91.223.12.0,24
ripencc,ipv4,91.224.72.0,23
ripencc,ipv4,91.225.180.0,22
ripencc,ipv4,91.225.244.0,22
ripencc,ipv4,91.226.74.0,23
ripencc,ipv4,91.226.108.0,23
ripencc,ipv4,91.226.147.0,24
ripencc,ipv4,91.227.109.0,24
ripencc,ipv4,91.229.186.0,24
ripencc,ipv4,91.229.188.0,24
ripencc,ipv4,91.230.96.0,24
ripencc,ipv4,91.230.102.0,23
ripencc,ipv4,91.230.145.0,24
ripencc,ipv4,91.231.62.0,24
ripencc,ipv4,91.231.164.0,22
ripencc,ipv4,91.231.172.0,23
ripencc,ipv4,91.231.179.0,24
ripencc,ipv4,91.232.180.0,24
ripencc,ipv4,91.233.180.0,23
ripencc,ipv4,91.235.120.0,23
ripencc,ipv4,91.237.16.0,23
ripencc,ipv4,91.238.116.0,22
ripencc,ipv4,91.238.250.0,24
ripencc,ipv4,91.240.166.0,23
ripencc,ipv4,91.241.76.0,23
ripencc,ipv4,130.136.0.0,16
ripencc,ipv4,130.186.0.0,19
ripencc,ipv4,130.186.64.0,18
ripencc,ipv4,130.192.0.0,18
ripencc,ipv4,130.192.64.0,19
ripencc,ipv4,130.192.96.0,18
ripencc,ipv4,130.192.160.0,21
ripencc,ipv4,130.192.168.0,21
ripencc,ipv4,130.192.176.0,20
ripencc,ipv4,130.192.192.0,19
ripencc,ipv4,130.192.224.0,20
ripencc,ipv4,130.192.240.0,20
ripencc,ipv4,130.251.0.0,16
ripencc,ipv4,131.1.0.0,16
ripencc,ipv4,131.114.0.0,16
ripencc,ipv4,131.154.0.0,16
ripencc,ipv4,131.175.0.0,16
ripencc,ipv4,137.204.0.0,16
ripencc,ipv4,138.41.0.0,16
ripencc,ipv4,138.66.0.0,16
ripencc,ipv4,138.132.0.0,16
ripencc,ipv4,139.128.0.0,16
ripencc,ipv4,140.105.0.0,16
ripencc,ipv4,140.164.0.0,16
ripencc,ipv4,141.108.0.0,16
ripencc,ipv4,141.250.0.0,16
ripencc,ipv4,143.225.0.0,16
ripencc,ipv4,145.14.160.0,19
ripencc,ipv4,146.48.0.0,16
ripencc,ipv4,146.100.0.0,16
ripencc,ipv4,146.133.0.0,16
ripencc,ipv4,147.122.0.0,16
ripencc,ipv4,147.123.0.0,16
ripencc,ipv4,147.162.0.0,16
ripencc,ipv4,147.163.0.0,16
ripencc,ipv4,147.185.106.0,23
ripencc,ipv4,147.185.162.0,23
ripencc,ipv4,147.189.208.0,22
ripencc,ipv4,149.132.0.0,16
ripencc,ipv4,149.139.0.0,16
ripencc,ipv4,150.145.0.0,16
ripencc,ipv4,150.146.0.0,16
ripencc,ipv4,150.178.0.0,16
ripencc,ipv4,150.217.0.0,16
ripencc,ipv4,151.3.0.0,10
ripencc,ipv4,151.80.0.0,16
ripencc,ipv4,151.81.0.0,14
ripencc,ipv4,151.85.0.0,16
ripencc,ipv4,151.86.0.0,16
ripencc,ipv4,151.87.0.0,16
ripencc,ipv4,151.88.0.0,16
ripencc,ipv4,151.89.0.0,16
ripencc,ipv4,151.90.0.0,16
ripencc,ipv4,151.91.0.0,16
ripencc,ipv4,151.92.0.0,16
ripencc,ipv4,151.93.0.0,16
ripencc,ipv4,151.95.0.0,16
ripencc,ipv4,151.96.0.0,16
ripencc,ipv4,151.97.0.0,16
ripencc,ipv4,151.98.0.0,16
ripencc,ipv4,151.100.0.0,16
ripencc,ipv4,153.92.176.0,22
ripencc,ipv4,155.185.0.0,16
ripencc,ipv4,155.253.0.0,16
ripencc,ipv4,156.14.0.0,16
ripencc,ipv4,156.54.0.0,16
ripencc,ipv4,156.67.20.0,22
ripencc,ipv4,156.148.0.0,16
ripencc,ipv4,157.27.0.0,16
ripencc,ipv4,157.28.0.0,15
ripencc,ipv4,157.97.160.0,22
ripencc,ipv4,157.138.0.0,16
ripencc,ipv4,157.138.200.0,18
ripencc,ipv4,158.47.0.0,16
ripencc,ipv4,158.102.0.0,16
ripencc,ipv4,158.110.0.0,16
ripencc,ipv4,159.149.0.0,16
ripencc,ipv4,159.210.0.0,16
ripencc,ipv4,159.213.0.0,16
ripencc,ipv4,160.66.0.0,16
ripencc,ipv4,160.78.0.0,16
