region,ip,prefixlength
ripencc,91.192.64.0,22
ripencc,91.205.48.0,22
ripencc,91.207.28.0,23
ripencc,91.213.233.0,24
ripencc,91.229.224.0,23
ripencc,91.247.56.0,22
ripencc,91.247.60.0,22
ripencc,93.157.224.0,21
ripencc,95.215.244.0,22
ripencc,176.123.224.0,19
ripencc,176.126.164.0,22
ripencc,178.216.208.0,21
ripencc,178.217.168.0,21
ripencc,185.1.110.0,24
ripencc,185.1.151.0,24
ripencc,193.106.48.0,22
ripencc,193.151.226.0,24
ripencc,194.152.36.0,23
ripencc,194.176.111.0,24
ripencc,195.54.180.0,23
ripencc,195.216.237.0,24
ripencc,213.109.64.0,21
