region,ip,prefixlength
ripencc,5.182.132.0,22
ripencc,31.203.0.0,16
ripencc,31.214.0.0,17
ripencc,31.217.224.0,21
ripencc,37.34.128.0,17
ripencc,37.36.0.0,14
ripencc,37.231.0.0,16
ripencc,45.15.228.0,22
ripencc,45.66.0.0,22
ripencc,45.130.36.0,22
ripencc,45.158.96.0,22
ripencc,46.186.128.0,17
ripencc,62.150.0.0,16
ripencc,62.215.0.0,16
ripencc,78.89.0.0,16
ripencc,78.154.192.0,19
ripencc,78.154.224.0,19
ripencc,78.159.160.0,19
ripencc,80.184.0.0,16
ripencc,83.68.160.0,19
ripencc,83.96.0.0,17
ripencc,84.246.72.0,21
ripencc,85.239.0.0,19
ripencc,87.236.120.0,21
ripencc,89.203.0.0,17
ripencc,89.251.80.0,20
ripencc,91.102.32.0,21
ripencc,91.102.144.0,21
ripencc,91.102.232.0,21
ripencc,91.140.128.0,17
ripencc,91.229.212.0,24
ripencc,93.191.64.0,21
ripencc,94.29.128.0,17
ripencc,94.128.0.0,15
ripencc,94.187.160.0,19
ripencc,94.187.192.0,18
ripencc,95.66.0.0,17
ripencc,95.141.240.0,20
ripencc,149.147.0.0,16
ripencc,176.97.212.0,24
ripencc,176.98.36.0,22
ripencc,178.53.0.0,16
ripencc,178.61.0.0,16
ripencc,178.161.0.0,17
ripencc,178.249.176.0,21
ripencc,185.9.196.0,22
ripencc,185.16.4.0,22
ripencc,185.19.76.0,22
ripencc,185.33.124.0,22
ripencc,185.36.176.0,22
ripencc,185.41.216.0,22
ripencc,185.46.144.0,22
ripencc,185.48.188.0,22
ripencc,185.64.200.0,22
ripencc,185.75.56.0,22
ripencc,185.95.4.0,22
ripencc,185.96.228.0,22
ripencc,185.132.204.0,22
ripencc,185.133.124.0,22
ripencc,185.133.168.0,22
ripencc,185.142.104.0,22
ripencc,185.146.240.0,22
ripencc,185.147.28.0,22
ripencc,185.150.216.0,22
ripencc,185.154.188.0,22
ripencc,185.166.92.0,22
ripencc,185.170.116.0,22
ripencc,185.173.40.0,22
ripencc,185.187.176.0,22
ripencc,185.192.236.0,22
ripencc,185.206.96.0,22
ripencc,185.211.104.0,22
ripencc,185.230.100.0,24
ripencc,188.70.0.0,15
ripencc,188.236.0.0,16
ripencc,193.32.228.0,22
ripencc,193.56.9.0,24
ripencc,193.107.14.0,24
ripencc,194.54.136.0,22
ripencc,194.54.192.0,19
ripencc,194.54.224.0,19
ripencc,194.126.32.0,19
ripencc,195.39.128.0,18
ripencc,195.114.31.0,24
ripencc,195.226.224.0,19
ripencc,212.6.37.0,24
ripencc,212.43.0.0,19
ripencc,213.34.192.0,19
ripencc,213.132.224.0,19
ripencc,213.189.64.0,19
ripencc,217.69.176.0,20
