region,ip,prefixlength,org
ripencc,2a02:c08::,32,kw.fast-telco;Fast Communication Company Ltd
ripencc,2a06:280::,29,n/a
ripencc,2a07:740::,29,kw.paci;Public Authority for Civil Information
ripencc,2a00:1850::,29,n/a
ripencc,2a00:4520::,29,n/a
ripencc,2a01:5ca0::,32,kw.diyar;Diyar United Trading & Contracting Company LLC / Mohammed Marouf & Co.
ripencc,2a01:70e0::,32,kw.mustafa-ibrahim;mustafa ibrahim
ripencc,2a01:7780::,32,n/a
ripencc,2a01:7f40::,32,n/a
ripencc,2a01:9b20::,32,n/a
ripencc,2a02:16b0::,32,n/a
ripencc,2a02:2ba0::,32,kw.zajil;Zajil International Telecom Company KSCC
ripencc,2a02:7500::,32,n/a
ripencc,2a02:e080::,29,kw.aubk;AHLI UNITED BANK KSC
ripencc,2a03:1660::,32,n/a
ripencc,2a03:4780::,29,kw.ktc;Kuwait Telecommunication Company (Under Association)
ripencc,2a03:5780::,32,kw.gulfsat;GULFSATCOMMUNICATIONS COMPANY K.S.C.
ripencc,2a03:6700::,29,n/a
ripencc,2a05:25c0::,29,kw.giants;Giants For Renting Computer Systems Company W.L.L.
ripencc,2a06:16c0::,29,kw.wimd;Wireless Mobile Data Company Shareholding Closed
ripencc,2a06:e440::,29,n/a
ripencc,2a07:7c40::,29,n/a
ripencc,2a07:8ec0::,29,kw.alsharq;Alsharq International Computers Co WLL
ripencc,2a0a:da00::,32,n/a
ripencc,2a0b:13c0::,29,n/a
ripencc,2a0b:c9c0::,29,n/a
ripencc,2a0c:c9c0::,29,kw.citra;Communications and Information Technology Regulatory Authority
ripencc,2a0c:ca00::,29,kw.pwc;Agility Public Warehousing Company K.S.C.P.
ripencc,2a0d:2980::,29,kw.gulfins;Gulf Insurance and Reinsurance Company Shareholding Closed
ripencc,2a0e:1140::,29,kw.kuwait-dc;Fast Communication Company Ltd
ripencc,2a0e:2480::,29,kw.mofa;Ministry of Foreign Affairs
ripencc,2a0e:3280::,29,kw.kipic-kw;Kuwait Integrated Petroleum Industries Company (KIPIC) C.S.C
ripencc,2a0e:53c0::,29,n/a
ripencc,2a0f:5980::,29,kw.bsalmutawa;Office of Heirs of Bader Salem Al Abdul Wahab for General Trading
ripencc,2a10:be80::,29,n/a
ripencc,2a11:dcc0::,29,n/a
ripencc,2a13:3740::,29,kw.kfhcapital;KFH Capital Investment Company Closed Joint Stock Company
