region,ip,prefixlength
arin,23.188.0.0,24
arin,63.136.112.0,21
arin,74.117.216.0,21
arin,74.222.64.0,19
arin,76.76.15.0,24
arin,138.43.115.0,24
arin,138.43.248.0,22
arin,149.112.19.0,24
arin,161.199.132.0,22
arin,162.211.136.0,22
arin,162.247.220.0,22
arin,162.249.128.0,21
arin,173.225.208.0,20
arin,192.0.4.0,22
arin,192.160.250.0,24
arin,199.201.84.0,22
arin,208.82.216.0,22
arin,208.157.144.0,21
arin,208.168.224.0,19
arin,209.27.52.0,22
arin,209.27.60.0,22
arin,216.144.80.0,20
ripencc,45.145.36.0,22
