region,ip,prefixlength,org
ripencc,2a06:580::,29,kz.nls;NLS Kazakhstan LLC
ripencc,2a06:940::,29,n/a
ripencc,2a00:12f8::,32,n/a
ripencc,2a00:1a08::,32,kz.10g;10G.KZ LLC
ripencc,2a00:5da0::,29,n/a
ripencc,2a00:8d20::,32,n/a
ripencc,2a00:ab40::,32,n/a
ripencc,2a01:42e0::,32,kz.rbk;Radiobaylanys LLP
ripencc,2a01:4b40::,32,kz.ipnet-kar-tel;Kar-Tel LLC
ripencc,2a01:4d40::,32,kz.too-smartnet;SMARTNET TOO
ripencc,2a01:68c0::,32,n/a
ripencc,2a01:7640::,32,n/a
ripencc,2a01:8ce0::,32,kz.voip;Network Kazakhstan LLC
ripencc,2a01:99e0::,32,n/a
ripencc,2a01:b0c0::,32,kz.ipnet-kar-tel;Kar-Tel LLC
ripencc,2a02:4400::,32,kz.satti-telecom;Satti Telecom LLC
ripencc,2a02:50c0::,29,kz.gsm-kazakhstan;Kcell JSC
ripencc,2a02:7300::,32,kz.kazrena1;KazRENA
ripencc,2a02:7b60::,32,n/a
ripencc,2a03:32c0::,32,n/a
ripencc,2a03:4ac0::,32,n/a
ripencc,2a03:6340::,32,"kz.bainet;TOO ""IK-Broker"""
ripencc,2a03:7b20::,32,kz.buzachi;Buzachi Operating Ltd.
ripencc,2a03:a300::,32,kz.kaztranscom;Jusan Mobile JSC
ripencc,2a04:3a80::,29,n/a
ripencc,2a04:4f40::,29,n/a
ripencc,2a04:5140::,29,kz.d-cloud;D-Cloud LLC
ripencc,2a05:e040::,29,kz.citicom;LLC Citicom Systems
ripencc,2a05:f040::,29,n/a
ripencc,2a06:1600::,29,n/a
ripencc,2a06:1a00::,29,kz.almatv;JSC Alma Telecommunications
ripencc,2a06:6780::,29,kz.xcom;X-COMMUNICATION LLP
ripencc,2a06:8900::,29,"kz.newtech;""ASTEL"" JSC"
ripencc,2a07:1e00::,29,n/a
ripencc,2a09:3200::,29,kz.noc;National Innovation Center LLC
ripencc,2a09:6140::,29,kz.vista-technology;Vista Technology LLP
ripencc,2a0a:7380::,29,kz.noc;National Innovation Center LLC
ripencc,2a0b:abc0::,29,n/a
ripencc,2a0c:8600::,29,n/a
ripencc,2a0c:f080::,30,n/a
ripencc,2a0d:b200::,29,kz.ipnet-kar-tel;Kar-Tel LLC
ripencc,2a0d:bcc0::,29,kz.optinet;Optinet LLP
ripencc,2a0d:c6c0::,29,kz.gohost;PE Fedinyak Sergey Vyacheslavovich
ripencc,2a0e:6600::,29,kz.anna;Anna Revenko trading as Ip.Rent
ripencc,2a0e:9340::,29,n/a
ripencc,2a0e:d100::,29,kz.sirius-2014;Sirius-2014 LLC
ripencc,2a0e:d280::,29,kz.nls;NLS Kazakhstan LLC
ripencc,2a0e:db80::,29,n/a
ripencc,2a0f:fd80::,29,kz.tele2;Mobile Telecom-Service LLP
ripencc,2a10:b0c0::,32,kz.qazcloudkz;QazCloud LLP
ripencc,2a10:b780::,29,kz.asiabell1;Bazovaya Set LLP
ripencc,2a11:2200::,29,n/a
ripencc,2a11:aa80::,32,n/a
ripencc,2a11:de80::,29,n/a
ripencc,2a12:2440::,29,n/a
ripencc,2a12:2ac0::,29,n/a
ripencc,2a12:3880::,32,n/a
ripencc,2a12:85c0::,29,n/a
ripencc,2a12:8a40::,29,n/a
ripencc,2a12:ce40::,29,n/a
ripencc,2a13:1240::,29,kz.teraline-telecom;Teraline Telecom LLP
ripencc,2a13:19c0::,29,n/a
ripencc,2a13:3940::,29,kz.itglobal;ITGLOBALCOM KAZ LLP
ripencc,2a13:53c0::,29,n/a
